time/total_timesteps,eval/mean_ep_length,eval/mean_reward,train/value_loss,train/policy_gradient_loss,train/entropy_loss,train/loss,train/explained_variance,train/approx_kl,train/clip_fraction,train/learning_rate,train/clip_range,train/n_updates,time/time_elapsed,time/fps,rollout/ep_rew_mean,rollout/ep_len_mean,time/iterations
107520,27.0,39.92678451538086,71656.62860107422,-0.018726633355254308,-5.62538506090641,34438.140625,1.1920928955078125e-07,0.007499759,0.02099609375,0.0003,0.2,520,,,,,
108544,27.0,41.75169372558594,,,,,,,,,,,,,,,
109568,27.0,40.013919830322266,68289.12165527344,-0.02200860195152927,-5.6149412333965305,29683.1640625,0.0,0.007381802,0.04697265625,0.0003,0.2,530,,,,,
110592,27.0,40.6510009765625,,,,,,,,,,,,,,,
111616,27.0,40.56059265136719,76359.69420166015,-0.021291049585852307,-5.6055023074150085,31804.330078125,-1.1920928955078125e-07,0.007400647,0.04345703125,0.0003,0.2,540,,,,,
112640,27.0,41.25968551635742,,,,,,,,,,,,,,,
113664,27.0,35.737674713134766,71852.94180908203,-0.020835409538995008,-5.603142741322517,34315.859375,0.0,0.007609858,0.0287109375,0.0003,0.2,550,,,,,
114688,27.0,36.96221923828125,,,,,,,,,,,,,,,
115712,27.0,38.47035217285156,68849.8148071289,-0.022242070233915,-5.611087584495545,37336.0546875,-1.1920928955078125e-07,0.0080715185,0.03974609375,0.0003,0.2,560,,,,,
116736,27.0,42.077491760253906,,,,,,,,,,,,,,,
117760,27.0,41.286922454833984,67144.01176757812,-0.01848612368485192,-5.613672129809856,28242.841796875,0.0,0.0065867156,0.03515625,0.0003,0.2,570,,,,,
118784,27.0,44.22095489501953,,,,,,,,,,,,,,,
119808,27.0,39.415592193603516,73778.03935546875,-0.017678442895703483,-5.615681947767735,37574.53515625,0.0,0.006287325,0.0228515625,0.0003,0.2,580,,,,,
120832,27.0,40.54425811767578,,,,,,,,,,,,,,,
121856,27.0,38.58732604980469,70203.7082763672,-0.02152330926473951,-5.605723525583744,36005.02734375,0.0,0.0077592535,0.041357421875,0.0003,0.2,590,,,,,
122880,27.0,41.24150085449219,,,,,,,,,,,,,,,
122880,,,,,,,,,,,,,281,437,723.1635029,27.0,60
123904,27.0,42.14370346069336,67304.28065185547,-0.021110874239820988,-5.5781968668103215,35621.71484375,-1.1920928955078125e-07,0.0076044714,0.042626953125,0.0003,0.2,600,,,,,
124928,27.0,37.13774108886719,,,,,,,,,,,,,,,
125952,27.0,41.949623107910156,67387.87943115234,-0.021379587601404636,-5.55283039957285,27736.25390625,0.0,0.008149537,0.0408203125,0.0003,0.2,610,,,,,
126976,27.0,38.32431411743164,,,,,,,,,,,,,,,
128000,27.0,41.70709228515625,71456.96146240234,-0.01908652200945653,-5.5405552923679355,37590.37890625,0.0,0.0071004126,0.0326171875,0.0003,0.2,620,,,,,
129024,27.0,38.88955307006836,,,,,,,,,,,,,,,
130048,27.0,35.599769592285156,69904.19857177735,-0.01922895298630465,-5.527720193564892,39634.80078125,0.0,0.007455943,0.03876953125,0.0003,0.2,630,,,,,
131072,27.0,40.66307830810547,,,,,,,,,,,,,,,
132096,27.0,40.8503303527832,64225.837646484375,-0.02005105218559038,-5.519336603581905,31678.28125,0.0,0.0081296805,0.030908203125,0.0003,0.2,640,,,,,
133120,27.0,38.78205108642578,,,,,,,,,,,,,,,
134144,27.0,44.20918655395508,73329.90502929688,-0.020694973201898392,-5.512385360896587,40555.34765625,0.0,0.007895157,0.04921875,0.0003,0.2,650,,,,,
135168,27.0,45.396331787109375,,,,,,,,,,,,,,,
136192,27.0,41.21382522583008,65803.56588134766,-0.02241314510756638,-5.500958167016506,35009.69921875,-1.1920928955078125e-07,0.007918083,0.03828125,0.0003,0.2,660,,,,,
137216,27.0,44.338287353515625,,,,,,,,,,,,,,,
138240,27.0,44.82307434082031,67841.08377685546,-0.018188166347681545,-5.496923303604126,33334.078125,0.0,0.0074220533,0.031396484375,0.0003,0.2,670,,,,,
139264,27.0,39.38712692260742,,,,,,,,,,,,,,,
140288,27.0,41.35797119140625,70282.54157714844,-0.016886477635853225,-5.4945045620203015,34459.7265625,0.0,0.0073085064,0.024462890625,0.0003,0.2,680,,,,,
141312,27.0,38.225196838378906,,,,,,,,,,,,,,,
142336,27.0,39.83875274658203,68328.8494140625,-0.01940601312671788,-5.479977078735828,29667.587890625,0.0,0.007155669,0.04482421875,0.0003,0.2,690,,,,,
143360,27.0,41.36762237548828,,,,,,,,,,,,,,,
143360,,,,,,,,,,,,,324,441,745.82604862,27.0,70
144384,27.0,39.639862060546875,69537.67155761718,-0.020402494237350764,-5.459455817937851,32001.23828125,0.0,0.008623232,0.0451171875,0.0003,0.2,700,,,,,
145408,27.0,49.03975296020508,,,,,,,,,,,,,,,
