time/total_timesteps,eval/mean_ep_length,eval/mean_reward,train/explained_variance,train/value_loss,train/n_updates,train/policy_gradient_loss,train/learning_rate,train/clip_fraction,train/loss,train/clip_range,train/approx_kl,train/entropy_loss,time/iterations,time/time_elapsed,rollout/ep_rew_mean,rollout/ep_len_mean,time/fps
437248,180.0,48.84903335571289,0.0,56.217061787843704,2130,-0.022614129460998812,0.0003,0.2412109375,34.87434387207031,0.2,0.022286188,-3.8712533310055735,,,,,
438272,180.0,51.347923278808594,,,,,,,,,,,,,,,
439296,180.0,50.17973327636719,0.0,48.581294590234755,2140,-0.018733179569244383,0.0003,0.210693359375,10.193041801452637,0.2,0.016608361,-3.8951205857098103,,,,,
440320,180.0,50.8591194152832,,,,,,,,,,,,,,,
441344,180.0,50.38800811767578,5.960464477539063e-08,63.17873081564903,2150,-0.021571431434131226,0.0003,0.23359375,22.295244216918945,0.2,0.019671893,-3.897868366539478,,,,,
442368,180.0,48.709346771240234,,,,,,,,,,,,,,,
443392,180.0,49.17610168457031,-1.1920928955078125e-07,52.72262046337128,2160,-0.020597675930912374,0.0003,0.211083984375,28.21593475341797,0.2,0.016474698,-3.8890130929648876,,,,,
444416,180.0,48.356109619140625,,,,,,,,,,,,,,,
445440,180.0,47.43008804321289,5.960464477539063e-08,44.393962597846986,2170,-0.02116107968467986,0.0003,0.21337890625,25.048627853393555,0.2,0.017703237,-3.9198926642537115,,,,,
446464,180.0,46.4105224609375,,,,,,,,,,,,,,,
447488,180.0,49.89118194580078,1.1920928955078125e-07,62.267578452825546,2180,-0.018060999645967968,0.0003,0.206787109375,34.09048843383789,0.2,0.015957326,-3.9400670118629932,,,,,
448512,180.0,52.515899658203125,,,,,,,,,,,,,,,
449536,180.0,52.24810028076172,0.0,56.70411677360535,2190,-0.019741388814873063,0.0003,0.2271484375,33.64851760864258,0.2,0.017022498,-3.89998384937644,,,,,
450560,180.0,44.16172790527344,,,,,,,,,,,,,,,
450560,,,,,,,,,,,,,220,1341,48.73332178,180.0,335
451584,180.0,50.13458251953125,1.1920928955078125e-07,60.845992636680606,2200,-0.017945168309961446,0.0003,0.1861328125,15.017338752746582,0.2,0.017279524,-3.8856263726949694,,,,,
452608,180.0,52.334510803222656,,,,,,,,,,,,,,,
453632,180.0,51.93535614013672,0.0,57.399946111440656,2210,-0.022249811246001627,0.0003,0.212109375,24.201757431030273,0.2,0.018069899,-3.882355372607708,,,,,
454656,180.0,51.96885681152344,,,,,,,,,,,,,,,
455680,180.0,50.515037536621094,-1.1920928955078125e-07,64.86582943201066,2220,-0.023234754662553314,0.0003,0.24326171875,41.16170120239258,0.2,0.01810503,-3.879445642232895,,,,,
456704,180.0,50.29381561279297,,,,,,,,,,,,,,,
457728,180.0,52.51581573486328,0.0,59.4445598423481,2230,-0.01594108981807949,0.0003,0.18037109375,34.20874786376953,0.2,0.016751299,-3.852894739061594,,,,,
458752,180.0,55.69871520996094,,,,,,,,,,,,,,,
459776,180.0,53.77619171142578,0.0,52.01618171334267,2240,-0.01718407205407857,0.0003,0.186865234375,17.866016387939453,0.2,0.01729405,-3.8653210453689097,,,,,
460800,180.0,53.12110900878906,,,,,,,,,,,,,,,
461824,180.0,50.29507064819336,-1.1920928955078125e-07,63.34474637508392,2250,-0.019523396174190567,0.0003,0.22099609375,29.949705123901367,0.2,0.017229175,-3.868336247652769,,,,,
462848,180.0,54.008827209472656,,,,,,,,,,,,,,,
463872,180.0,52.81707000732422,0.0,66.8514830827713,2260,-0.021101337509026052,0.0003,0.223974609375,37.54726791381836,0.2,0.0194707,-3.8428961411118507,,,,,
464896,180.0,53.83091735839844,,,,,,,,,,,,,,,
