time/total_timesteps,eval/mean_ep_length,eval/mean_reward,train/n_updates,train/approx_kl,train/learning_rate,train/clip_range,train/entropy_loss,train/value_loss,train/policy_gradient_loss,train/loss,train/clip_fraction,train/explained_variance,time/iterations,rollout/ep_rew_mean,time/fps,time/time_elapsed,rollout/ep_len_mean
45500,50.0,5.956183433532715,220,0.013283581,0.0003,0.2,-5.014364409446716,10356.656079101562,-0.02453216637368314,5426.23388671875,0.145068359375,0.0,,,,,
46000,50.0,6.885378837585449,,,,,,,,,,,,,,,
46500,50.0,8.893120765686035,,,,,,,,,,,,,,,
47000,50.0,5.338226318359375,,,,,,,,,,,,,,,
47500,50.0,4.564543724060059,230,0.013452606,0.0003,0.2,-4.994778460264206,9640.138008117676,-0.024117913402733393,3811.39404296875,0.151025390625,0.0,,,,,
48000,50.0,4.63739538192749,,,,,,,,,,,,,,,
48500,50.0,5.067718505859375,,,,,,,,,,,,,,,
49000,50.0,6.535276412963867,,,,,,,,,,,,,,,
49500,50.0,5.140733242034912,240,0.014587961,0.0003,0.2,-4.984705749154091,8595.597695922852,-0.027707623381866144,3336.72021484375,0.17509765625,0.0,,,,,
50000,50.0,5.196744918823242,,,,,,,,,,,,,,,
50500,50.0,5.505085468292236,,,,,,,,,,,,,,,
51000,50.0,6.518575668334961,,,,,,,,,,,,,,,
51500,50.0,5.824095726013184,250,0.015544241,0.0003,0.2,-4.967358973622322,9407.961401367187,-0.029470721403777135,3852.449462890625,0.178515625,0.0,,,,,
52000,50.0,4.2097978591918945,,,,,,,,,,,,,,,
52500,50.0,4.635408401489258,,,,,,,,,,,,,,,
53000,50.0,7.1164984703063965,,,,,,,,,,,,,,,
53500,50.0,5.840992450714111,260,0.01411488,0.0003,0.2,-4.957208684086799,10043.624745178222,-0.02720149339584168,4351.6767578125,0.15009765625,0.0,,,,,
54000,50.0,6.188538551330566,,,,,,,,,,,,,,,
54500,50.0,4.324309349060059,,,,,,,,,,,,,,,
