eval/mean_ep_length,time/total_timesteps,eval/mean_reward,train/approx_kl,train/loss,train/value_loss,train/entropy_loss,train/clip_fraction,train/explained_variance,train/clip_range,train/learning_rate,train/policy_gradient_loss,train/n_updates,time/time_elapsed,time/iterations,rollout/ep_rew_mean,rollout/ep_len_mean,time/fps
180.0,150528,70.05204010009766,0.028674306,18.6986141204834,48.8402130484581,-3.39624562561512,0.533935546875,5.960464477539063e-08,0.2,0.0003,-0.0368575746746501,730,,,,,
180.0,151552,72.70794677734375,,,,,,,,,,,,,,,
180.0,152576,75.9227294921875,0.02475962,23.198163986206055,48.44162990450859,-3.414431821554899,0.496337890625,-1.1920928955078125e-07,0.2,0.0003,-0.044584386950009505,740,,,,,
180.0,153600,73.91715240478516,,,,,,,,,,,,,,,
180.0,154624,75.26298522949219,0.03439857,21.652355194091797,51.29562993645668,-3.360344757139683,0.62451171875,0.0,0.2,0.0003,-0.04159224680479383,750,,,,,
180.0,155648,75.16102600097656,,,,,,,,,,,,,,,
180.0,156672,75.71163940429688,0.017633393,13.154767036437988,44.744654363393785,-3.385382691025734,0.362646484375,0.0,0.2,0.0003,-0.043813911093457135,760,,,,,
180.0,157696,72.37702178955078,,,,,,,,,,,,,,,
180.0,158720,75.36310577392578,0.021816805,27.769994735717773,54.49471777677536,-3.4015009731054304,0.42451171875,0.0,0.2,0.0003,-0.03590029046172276,770,,,,,
180.0,159744,77.24221801757812,,,,,,,,,,,,,,,
180.0,160768,72.84353637695312,0.024877485,20.213111877441406,50.67485988140106,-3.4019537448883055,0.441748046875,0.0,0.2,0.0003,-0.038768374132632746,780,,,,,
180.0,161792,74.98029327392578,,,,,,,,,,,,,,,
180.0,162816,73.21737670898438,0.019408993,28.853628158569336,49.77186242938042,-3.3952307969331743,0.434423828125,0.0,0.2,0.0003,-0.03570870403927984,790,,,,,
180.0,163840,77.67196655273438,,,,,,,,,,,,,,,
,163840,,,,,,,,,,,,522,80,71.79109869,180.0,313
180.0,164864,76.76126861572266,0.02282102,30.95880699157715,54.036629581451415,-3.3901870362460613,0.472802734375,0.0,0.2,0.0003,-0.04397683966963086,800,,,,,
180.0,165888,74.26788330078125,,,,,,,,,,,,,,,
180.0,166912,79.9540023803711,0.020548662,20.21629524230957,46.18360796570778,-3.404797776788473,0.4080078125,-1.1920928955078125e-07,0.2,0.0003,-0.03824869704549201,810,,,,,
180.0,167936,77.75218200683594,,,,,,,,,,,,,,,
180.0,168960,76.24021911621094,0.023489585,27.77890968322754,53.86044574975968,-3.414775864779949,0.441357421875,0.0,0.2,0.0003,-0.035697470552986485,820,,,,,
180.0,169984,75.55625915527344,,,,,,,,,,,,,,,
180.0,171008,79.5619125366211,0.023245644,32.59421920776367,56.192305475473404,-3.4064448572695256,0.44169921875,0.0,0.2,0.0003,-0.04451003346184734,830,,,,,
180.0,172032,78.8564224243164,,,,,,,,,,,,,,,
180.0,173056,76.41189575195312,0.024151012,27.531219482421875,60.31326847672462,-3.4200278341770174,0.472314453125,-1.1920928955078125e-07,0.2,0.0003,-0.040248512270045465,840,,,,,
180.0,174080,79.1305160522461,,,,,,,,,,,,,,,
180.0,175104,79.97140502929688,0.022671755,34.157752990722656,63.8120885014534,-3.4088596969842913,0.436181640625,0.0,0.2,0.0003,-0.04420472480414901,850,,,,,
180.0,176128,81.62307739257812,,,,,,,,,,,,,,,
180.0,177152,80.1840591430664,0.022027444,17.388507843017578,58.819983661174774,-3.3912835001945494,0.45634765625,0.0,0.2,0.0003,-0.03713040830771206,860,,,,,
180.0,178176,79.50605773925781,,,,,,,,,,,,,,,
180.0,179200,79.68702697753906,0.019544564,35.085758209228516,54.12949589490891,-3.4098066546022894,0.39921875,5.960464477539063e-08,0.2,0.0003,-0.042844284485909157,870,,,,,
180.0,180224,79.21978759765625,,,,,,,,,,,,,,,
180.0,181248,82.68736267089844,0.020378392,21.255949020385742,61.22951809763909,-3.4207265891134737,0.398095703125,0.0,0.2,0.0003,-0.03839715894428082,880,,,,,
180.0,182272,79.07130432128906,,,,,,,,,,,,,,,
180.0,183296,80.50418090820312,0.01954772,39.292572021484375,65.07994649410247,-3.4168016001582147,0.3888671875,1.1920928955078125e-07,0.2,0.0003,-0.03456459996668855,890,,,,,
180.0,184320,77.59341430664062,,,,,,,,,,,,,,,
,184320,,,,,,,,,,,,587,90,76.72531345000002,180.0,313
180.0,185344,82.7862319946289,0.021245627,26.809907913208008,53.559104460477826,-3.4119629420340063,0.447900390625,0.0,0.2,0.0003,-0.03891305705765262,900,,,,,
180.0,186368,83.42829895019531,,,,,,,,,,,,,,,
180.0,187392,82.6953353881836,0.016876886,22.452957153320312,60.85151381492615,-3.4132261015474796,0.3501953125,1.1920928955078125e-07,0.2,0.0003,-0.03738640804949682,910,,,,,
180.0,188416,79.87660217285156,,,,,,,,,,,,,,,
180.0,189440,78.87322235107422,0.02081581,21.48101043701172,55.08730741143226,-3.402645938843489,0.420703125,0.0,0.2,0.0003,-0.037883704161504286,920,,,,,
180.0,190464,80.85484313964844,,,,,,,,,,,,,,,
180.0,191488,82.05813598632812,0.025628975,33.01246643066406,58.72017098069191,-3.3813570350408555,0.551025390625,0.0,0.2,0.0003,-0.04160778163713985,930,,,,,
