time/total_timesteps,eval/mean_reward,eval/mean_ep_length,train/n_updates,train/learning_rate,train/entropy_loss,train/policy_gradient_loss,train/clip_fraction,train/explained_variance,train/value_loss,train/clip_range,train/loss,train/approx_kl,rollout/ep_rew_mean,rollout/ep_len_mean,time/iterations,time/time_elapsed,time/fps
177152,20.452472686767578,12.0,860,0.0003,-2.3708780728280545,-0.001227865944383666,0.385986328125,5.960464477539063e-08,2672.131001663208,0.2,1255.548583984375,0.107407406,,,,,
178176,22.500511169433594,12.0,,,,,,,,,,,,,,,
179200,18.28046226501465,12.0,870,0.0003,-2.369570380449295,0.0022867548570502548,0.404833984375,5.960464477539063e-08,3813.343299102783,0.2,1784.0511474609375,0.112522215,,,,,
180224,21.035587310791016,12.0,,,,,,,,,,,,,,,
181248,22.62119483947754,12.0,880,0.0003,-2.3522154234349726,0.00399021559060202,0.464453125,0.0,4073.7558868408205,0.2,1962.7064208984375,0.1273644,,,,,
182272,22.37871551513672,12.0,,,,,,,,,,,,,,,
183296,24.857685089111328,12.0,890,0.0003,-2.3581994742155077,-0.003066954808309674,0.442138671875,0.0,3497.5439529418945,0.2,1650.1075439453125,0.13036326,,,,,
184320,21.321821212768555,12.0,,,,,,,,,,,,,,,
184320,,,,,,,,,,,,,143.96716994,12.0,90,407,452
185344,24.65342903137207,12.0,900,0.0003,-2.3783791862428187,-0.002024510800401913,0.43330078125,0.0,3421.318985748291,0.2,1548.9261474609375,0.10270806,,,,,
186368,22.430133819580078,12.0,,,,,,,,,,,,,,,
187392,22.30099868774414,12.0,910,0.0003,-2.384779167175293,0.0007546938650193624,0.4166015625,1.1920928955078125e-07,3322.405923461914,0.2,1581.08349609375,0.10132998,,,,,
188416,21.998580932617188,12.0,,,,,,,,,,,,,,,
189440,18.642377853393555,12.0,920,0.0003,-2.400634030252695,-0.001799274137010798,0.39609375,0.0,3630.805279541016,0.2,1440.0711669921875,0.09769486,,,,,
190464,15.821308135986328,12.0,,,,,,,,,,,,,,,
191488,18.06683921813965,12.0,930,0.0003,-2.397939717769623,-0.003882198602514109,0.401171875,-1.1920928955078125e-07,2854.0771728515624,0.2,1473.95361328125,0.08308522,,,,,
192512,21.178512573242188,12.0,,,,,,,,,,,,,,,
193536,14.518136978149414,12.0,940,0.0003,-2.3825332537293433,-0.006694449110364075,0.38798828125,0.0,3235.334311676025,0.2,1340.3656005859375,0.064854376,,,,,
194560,24.936355590820312,12.0,,,,,,,,,,,,,,,
195584,13.902107238769531,12.0,950,0.0003,-2.3713198229670525,-0.008891796323587187,0.353857421875,0.0,2890.8738033294676,0.2,1154.7593994140625,0.06968484,,,,,
196608,4.3642964363098145,12.0,,,,,,,,,,,,,,,
