time/total_timesteps,eval/mean_reward,eval/mean_ep_length,train/learning_rate,train/value_loss,train/clip_range,train/entropy_loss,train/approx_kl,train/policy_gradient_loss,train/n_updates,train/clip_fraction,train/loss,train/explained_variance,rollout/ep_rew_mean,rollout/ep_len_mean,time/iterations,time/time_elapsed,time/fps
99328,36.130859375,21.0,0.0003,26.23400198817253,0.2,-3.4776020161807537,0.061810844,-0.04216155331523623,480,0.41875,9.837132453918457,0.0,,,,,
100352,35.476463317871094,21.0,,,,,,,,,,,,,,,
101376,36.98101043701172,21.0,0.0003,26.594842773675918,0.2,-3.441053131222725,0.05198005,-0.041768849131767635,490,0.372998046875,13.767693519592285,-1.1920928955078125e-07,,,,,
102400,37.07516098022461,21.0,,,,,,,,,,,,,,,
102400,,,,,,,,,,,,,38.702446689999995,21.0,50,142,720
103424,37.14509582519531,21.0,0.0003,28.104481434822084,0.2,-3.4140230156481266,0.057431303,-0.052134355192538354,500,0.3734375,14.002148628234863,0.0,,,,,
104448,37.250701904296875,21.0,,,,,,,,,,,,,,,
105472,37.988624572753906,21.0,0.0003,27.99879071712494,0.2,-3.3817900106310845,0.057294004,-0.034368492450448686,510,0.380712890625,13.983194351196289,0.0,,,,,
106496,36.36643981933594,21.0,,,,,,,,,,,,,,,
107520,33.58680725097656,21.0,0.0003,27.55875944495201,0.2,-3.361011625081301,0.065891154,-0.03637053608399583,520,0.3904296875,16.849994659423828,0.0,,,,,
108544,36.246368408203125,21.0,,,,,,,,,,,,,,,
109568,41.17298889160156,21.0,0.0003,25.67717451751232,0.2,-3.3084777265787126,0.072746634,-0.05516715992125683,530,0.441455078125,13.181735038757324,5.960464477539063e-08,,,,,
110592,37.50971984863281,21.0,,,,,,,,,,,,,,,
111616,39.702117919921875,21.0,0.0003,24.48335152864456,0.2,-3.2749030500650407,0.05904181,-0.04943594579526689,540,0.389208984375,14.570932388305664,0.0,,,,,
112640,37.13142776489258,21.0,,,,,,,,,,,,,,,
113664,42.37470245361328,21.0,0.0003,25.50554129779339,0.2,-3.2570653036236763,0.06322603,-0.05189782262314111,550,0.389111328125,13.956121444702148,0.0,,,,,
114688,42.14936828613281,21.0,,,,,,,,,,,,,,,
115712,38.21488571166992,21.0,0.0003,23.813267934322358,0.2,-3.2197218224406243,0.06856315,-0.03974642992834561,560,0.417626953125,9.083989143371582,5.960464477539063e-08,,,,,
116736,37.57048034667969,21.0,,,,,,,,,,,,,,,
