time/total_timesteps,eval/mean_reward,eval/mean_ep_length,train/n_updates,train/approx_kl,train/learning_rate,train/policy_gradient_loss,train/value_loss,train/clip_fraction,train/loss,train/clip_range,train/explained_variance,train/entropy_loss,time/fps,time/iterations,time/time_elapsed,rollout/ep_len_mean,rollout/ep_rew_mean
62464,16.478225708007812,180.0,300,0.020780735,0.0003,-0.03486828821551171,16.868022254109384,0.359326171875,6.143377304077148,0.2,0.0,-5.074660068750381,,,,,
63488,17.397201538085938,180.0,,,,,,,,,,,,,,,
64512,16.70681381225586,180.0,310,0.01898733,0.0003,-0.030642140537383965,14.01011643409729,0.292236328125,6.916090965270996,0.2,0.0,-5.075870019197464,,,,,
65536,18.282188415527344,180.0,,,,,,,,,,,,,,,
66560,17.03121566772461,180.0,320,0.020055598,0.0003,-0.02886492283287225,17.26011877954006,0.323486328125,6.483814716339111,0.2,0.0,-5.022119663655758,,,,,
67584,16.712932586669922,180.0,,,,,,,,,,,,,,,
68608,17.526668548583984,180.0,330,0.02148072,0.0003,-0.03558378441666719,14.756378415226937,0.365771484375,6.996493339538574,0.2,0.0,-4.946347251534462,,,,,
69632,16.865694046020508,180.0,,,,,,,,,,,,,,,
70656,17.879085540771484,180.0,340,0.019516116,0.0003,-0.02791256852215156,18.808432744443415,0.29658203125,10.32226848602295,0.2,0.0,-4.921221284568309,,,,,
71680,17.942886352539062,180.0,,,,,,,,,,,,,,,
72704,18.770050048828125,180.0,350,0.01887726,0.0003,-0.030488837126176803,15.833887408673764,0.30263671875,6.9020562171936035,0.2,0.0,-4.872610284388065,,,,,
73728,18.785940170288086,180.0,,,,,,,,,,,,,,,
74752,18.943580627441406,180.0,360,0.01930114,0.0003,-0.027424260888074058,13.923763623833656,0.30654296875,7.818376541137695,0.2,0.0,-4.830831940472126,,,,,
75776,16.883377075195312,180.0,,,,,,,,,,,,,,,
76800,17.651063919067383,180.0,370,0.019080907,0.0003,-0.028461640019668267,15.61297514885664,0.3123046875,7.814724922180176,0.2,5.960464477539063e-08,-4.799228993058205,,,,,
77824,18.58543586730957,180.0,,,,,,,,,,,,,,,
78848,17.686702728271484,180.0,380,0.017603477,0.0003,-0.023746555956313385,17.644614219665527,0.2677734375,6.875007152557373,0.2,0.0,-4.752075588703155,,,,,
79872,18.946640014648438,180.0,,,,,,,,,,,,,,,
80896,20.067846298217773,180.0,390,0.01855737,0.0003,-0.02659916931152111,18.12039267718792,0.2810546875,8.351593017578125,0.2,0.0,-4.697342324256897,,,,,
81920,19.797008514404297,180.0,,,,,,,,,,,,,,,
81920,,,,,,,,,,,,,201,40,406,180.0,18.188513219999997
82944,18.59112548828125,180.0,400,0.02030475,0.0003,-0.027002037155034485,16.393085858225824,0.304248046875,5.8226141929626465,0.2,0.0,-4.653650769591332,,,,,
83968,19.167518615722656,180.0,,,,,,,,,,,,,,,
84992,19.395790100097656,180.0,410,0.020039026,0.0003,-0.029902285273419694,18.790718321502208,0.312646484375,13.713285446166992,0.2,0.0,-4.600185720622539,,,,,
86016,20.686080932617188,180.0,,,,,,,,,,,,,,,
87040,20.845781326293945,180.0,420,0.018358648,0.0003,-0.024325432546902448,15.701376596093178,0.284716796875,6.3115234375,0.2,0.0,-4.5787952780723575,,,,,
88064,22.075389862060547,180.0,,,,,,,,,,,,,,,
89088,20.865936279296875,180.0,430,0.017674701,0.0003,-0.026251908874837682,17.596087327599527,0.288427734375,10.480429649353027,0.2,-1.1920928955078125e-07,-4.515332916378975,,,,,
90112,20.258220672607422,180.0,,,,,,,,,,,,,,,
91136,19.87322998046875,180.0,440,0.019085724,0.0003,-0.02573548409854993,16.08998089581728,0.293115234375,7.239487171173096,0.2,0.0,-4.477412874996662,,,,,
92160,21.029834747314453,180.0,,,,,,,,,,,,,,,
