eval/mean_ep_length,eval/mean_reward,time/total_timesteps,train/explained_variance,train/n_updates,train/clip_range,train/value_loss,train/learning_rate,train/policy_gradient_loss,train/clip_fraction,train/loss,train/entropy_loss,train/approx_kl,rollout/ep_len_mean,time/time_elapsed,time/fps,rollout/ep_rew_mean,time/iterations
80.0,41.63602066040039,138240,1.1920928955078125e-07,670,0.2,33.91008668839932,3e-05,-0.019801015835400903,0.02734375,21.763925552368164,-4.906812043488026,0.0066609825,,,,,
80.0,44.92145538330078,139264,,,,,,,,,,,,,,,
80.0,43.14588928222656,140288,0.0,680,0.2,34.113843095302585,3e-05,-0.016194035235093905,0.022998046875,21.148366928100586,-4.871199693530798,0.0055089677,,,,,
80.0,38.23702621459961,141312,,,,,,,,,,,,,,,
80.0,45.317352294921875,142336,0.0,690,0.2,32.37472556084394,3e-05,-0.01510701732331654,0.010498046875,17.121606826782227,-4.845363214612007,0.0048619006,,,,,
80.0,42.966285705566406,143360,,,,,,,,,,,,,,,
,,143360,,,,,,,,,,,80.0,360,397,42.405788040000004,70
80.0,43.19309997558594,144384,-2.384185791015625e-07,700,0.2,31.835854613035917,3e-05,-0.0147329321163852,0.0111328125,13.344160079956055,-4.816806557029485,0.005705125,,,,,
80.0,43.290489196777344,145408,,,,,,,,,,,,,,,
80.0,43.97174072265625,146432,0.0,710,0.2,33.263404466211796,3e-05,-0.016645915121625877,0.008837890625,25.268739700317383,-4.744937079399824,0.0062908977,,,,,
80.0,45.133148193359375,147456,,,,,,,,,,,,,,,
80.0,43.87847900390625,148480,-1.1920928955078125e-07,720,0.2,33.675204664468765,3e-05,-0.01546021835602005,0.012060546875,27.766197204589844,-4.722340621799231,0.00705608,,,,,
80.0,46.742679595947266,149504,,,,,,,,,,,,,,,
80.0,48.80664825439453,150528,0.0,730,0.2,31.34942727535963,3e-05,-0.013379111589893,0.01142578125,28.060665130615234,-4.713739570975304,0.0048649143,,,,,
80.0,43.34428024291992,151552,,,,,,,,,,,,,,,
80.0,43.10026550292969,152576,0.0,740,0.2,29.89075186252594,3e-05,-0.014298433908697917,0.014892578125,17.105283737182617,-4.689219146221876,0.004843884,,,,,
80.0,47.6428337097168,153600,,,,,,,,,,,,,,,
80.0,41.961849212646484,154624,0.0,750,0.2,33.659608614444736,3e-05,-0.012856907729292289,0.01005859375,17.044965744018555,-4.677493783831596,0.0043805065,,,,,
80.0,47.99346923828125,155648,,,,,,,,,,,,,,,
80.0,47.20838928222656,156672,0.0,760,0.2,30.58990036994219,3e-05,-0.014644543205940863,0.013623046875,17.54024887084961,-4.676580346375704,0.006250062,,,,,
80.0,46.80127716064453,157696,,,,,,,,,,,,,,,
