time/total_timesteps,eval/mean_ep_length,eval/mean_reward,time/time_elapsed,rollout/ep_len_mean,time/fps,time/iterations,rollout/ep_rew_mean,train/learning_rate,train/clip_range,train/entropy_loss,train/clip_fraction,train/loss,train/explained_variance,train/approx_kl,train/std,train/policy_gradient_loss,train/n_updates,train/value_loss
511440,1200.0,14209.814589,,,,,,0.0003,0.2,-269.20025339126585,0.351708984375,5.675138473510742,0.0,0.038857475,0.9392871260643005,-0.032286719186231494,2480,10.237729886174202
512352,,,570,1200.0,247,69,4920.6771052,,,,,,,,,,,
512640,1200.0,14261.657994,,,,,,0.0003,0.2,-269.0383062362671,0.345166015625,5.402045726776123,0.0,0.033913303,0.9382395148277283,-0.033761036704527216,2490,11.630795580148696
513840,1200.0,14254.264768,,,,,,,,,,,,,,,,
514400,,,579,1200.0,247,70,4936.10515443,,,,,,,,,,,
515040,1200.0,14248.366975,,,,,,0.0003,0.2,-268.824301815033,0.33603515625,4.665629863739014,-1.1920928955078125e-07,0.034891527,0.9375759959220886,-0.03259184578200802,2500,12.44869585931301
516240,1200.0,14247.415674,,,,,,,,,,,,,,,,
516448,,,588,1200.0,247,71,4951.3564701899995,,,,,,,,,,,
517440,1200.0,12724.94478,,,,,,0.0003,0.2,-268.696137046814,0.36611328125,4.1321330070495605,0.0,0.038251508,0.937537670135498,-0.032436857697030065,2510,9.900156979262828
518496,,,594,1200.0,247,72,4959.4206963199995,,,,,,,,,,,
518640,1200.0,12229.443519,,,,,,0.0003,0.2,-268.69645738601685,0.360791015625,3.5897395610809326,0.0,0.03773015,0.9376834630966187,-0.03486671505961567,2520,10.054765033721925
519840,1200.0,12216.258706,,,,,,,,,,,,,,,,
520544,,,603,1200.0,247,73,4976.43771245,,,,,,,,,,,
521040,1200.0,10242.749349,,,,,,0.0003,0.2,-268.6231650352478,0.34033203125,5.857141494750977,0.0,0.035543554,0.9374574422836304,-0.030333375146437903,2530,11.579237934947013
522240,1200.0,10264.674889,,,,,,,,,,,,,,,,
522592,,,612,1200.0,247,74,4992.9414953099995,,,,,,,,,,,
523440,1200.0,10047.020679,,,,,,0.0003,0.2,-268.4816096305847,0.355810546875,6.083834648132324,0.0,0.0409258,0.9366097450256348,-0.036029598387540315,2540,11.787002827227116
524640,1200.0,10083.75542,,,,,,,,,,,,,,,,
524640,,,621,1200.0,247,75,5010.59297613,,,,,,,,,,,
525840,1200.0,10809.07017,,,,,,0.0003,0.2,-268.36032190322874,0.3142578125,7.196385860443115,5.960464477539063e-08,0.03544057,0.9365792870521545,-0.029806409876619,2550,13.598142927885055
526688,,,628,1200.0,247,76,5019.3503992000005,,,,,,,,,,,
527040,1200.0,9686.703577,,,,,,0.0003,0.2,-268.2359058380127,0.346435546875,6.5315775871276855,0.0,0.037752844,0.9358430504798889,-0.032232930509781,2560,11.292968109250069
528240,1200.0,9609.819724,,,,,,,,,,,,,,,,
528736,,,637,1200.0,247,77,5036.77197546,,,,,,,,,,,
529440,1200.0,9643.690414,,,,,,0.0003,0.2,-268.09130182266233,0.351025390625,6.062304973602295,0.0,0.033894237,0.9356201887130737,-0.03347257067507599,2570,11.067266501486301
530640,1200.0,9619.424278,,,,,,,,,,,,,,,,
530784,,,645,1200.0,247,78,5056.066513059999,,,,,,,,,,,
531840,1200.0,9544.02719,,,,,,0.0003,0.2,-267.94607629776,0.343310546875,5.759943962097168,0.0,0.037564486,0.9346054792404175,-0.03076787889294792,2580,13.900398853421212
532832,,,652,1200.0,247,79,5065.685433219999,,,,,,,,,,,
533040,1200.0,9724.946212,,,,,,0.0003,0.2,-267.6752728462219,0.3419921875,5.382120609283447,0.0,0.037244834,0.9335085153579712,-0.03281489156652242,2590,12.147166807949542
534240,1200.0,9674.928609,,,,,,,,,,,,,,,,
534880,,,661,1200.0,247,80,5084.6674448799995,,,,,,,,,,,
535440,1200.0,9894.42576,,,,,,0.0003,0.2,-267.4109287261963,0.374462890625,7.148443222045898,1.1920928955078125e-07,0.039274167,0.9325664043426514,-0.03847432440379635,2600,15.76851196885109
536640,1200.0,9865.694857,,,,,,,,,,,,,,,,
536928,,,670,1200.0,247,81,5104.24209155,,,,,,,,,,,
537840,1200.0,10152.58259,,,,,,0.0003,0.2,-267.1675651550293,0.3794921875,7.941976547241211,5.960464477539063e-08,0.04090913,0.9317354559898376,-0.03756344606808852,2610,15.037637332081795
538976,,,677,1200.0,248,82,5114.339878729999,,,,,,,,,,,
539040,1200.0,9711.755798,,,,,,0.0003,0.2,-266.9573748588562,0.341748046875,4.71490478515625,-1.1920928955078125e-07,0.031998675,0.9305485486984253,-0.029720829996222164,2620,11.079766653478146
540240,1200.0,9704.717745,,,,,,,,,,,,,,,,
541024,,,686,1200.0,247,83,5133.675875059999,,,,,,,,,,,
541440,1200.0,9711.427347,,,,,,0.0003,0.2,-266.7010081291199,0.3619140625,6.5912909507751465,-1.1920928955078125e-07,0.037393242,0.9299054741859436,-0.03643967486859765,2630,13.369197176396847
542640,1200.0,9699.179809,,,,,,,,,,,,,,,,
543072,,,694,1200.0,247,84,5154.784265079999,,,,,,,,,,,
543840,1200.0,9707.295911,,,,,,0.0003,0.2,-266.56122694015505,0.3248046875,7.236123561859131,-1.1920928955078125e-07,0.031962454,0.9293005466461182,-0.02793304103106493,2640,12.85361197590828
545040,1200.0,9701.812776,,,,,,,,,,,,,,,,
545120,,,703,1200.0,247,85,5176.56086048,,,,,,,,,,,
546240,1200.0,9642.807385,,,,,,0.0003,0.2,-266.47921857833865,0.34052734375,7.953874588012695,-1.1920928955078125e-07,0.035241276,0.9293164014816284,-0.031159494057646953,2650,17.106748768687247
547168,,,710,1200.0,247,86,5187.692131159999,,,,,,,,,,,
547440,1200.0,9694.523136,,,,,,0.0003,0.2,-266.32642669677733,0.355224609375,6.2422194480896,0.0,0.036040008,0.9279352426528931,-0.033756867778720334,2660,14.76684929728508
548640,1200.0,9695.916769,,,,,,,,,,,,,,,,
549216,,,719,1200.0,247,87,5209.39061278,,,,,,,,,,,
549840,1200.0,11687.385598,,,,,,0.0003,0.2,-266.0441650390625,0.378369140625,6.82778263092041,-1.1920928955078125e-07,0.038292777,0.9268441200256348,-0.03546342359040864,2670,12.21787592023611
551040,1200.0,11723.582134,,,,,,,,,,,,,,,,
551264,,,728,1200.0,247,88,5232.20895656,,,,,,,,,,,
552240,1200.0,9773.743332,,,,,,0.0003,0.2,-265.8372977256775,0.322802734375,7.1502885818481445,0.0,0.03513692,0.925812840461731,-0.031244681737734935,2680,15.396114346385001
553312,,,734,1200.0,247,89,5243.97267506,,,,,,,,,,,
553440,1200.0,11861.678703,,,,,,0.0003,0.2,-265.59536571502684,0.32666015625,8.635329246520996,0.0,0.033712626,0.924764096736908,-0.03521568637515884,2690,16.452804014086723
554640,1200.0,11793.973547,,,,,,,,,,,,,,,,
555360,,,743,1200.0,247,90,5267.34547776,,,,,,,,,,,
555840,1200.0,11829.021819,,,,,,0.0003,0.2,-265.396333026886,0.364501953125,8.45233154296875,0.0,0.03897377,0.923963725566864,-0.035397146109608,2700,17.653371199965477
557040,1200.0,11804.541406,,,,,,,,,,,,,,,,
557408,,,752,1200.0,247,91,5291.27415405,,,,,,,,,,,
558240,1200.0,11861.586281,,,,,,0.0003,0.2,-265.25301494598386,0.34404296875,7.650331020355225,0.0,0.03703753,0.9235680103302002,-0.032476484988001174,2710,16.128705677390098
559440,1200.0,11892.264891,,,,,,,,,,,,,,,,
559456,,,761,1200.0,247,92,5315.2780384,,,,,,,,,,,
560640,1200.0,11720.116214,,,,,,0.0003,0.2,-265.0021145820618,0.35322265625,7.088385581970215,0.0,0.03768655,0.9222151041030884,-0.03371383410412818,2720,15.630640631914138
561504,,,768,1200.0,247,93,5326.769815510001,,,,,,,,,,,
561840,1200.0,11799.713442,,,,,,0.0003,0.2,-264.75155506134035,0.37158203125,8.713242530822754,0.0,0.04354822,0.9211127758026123,-0.03574052832700545,2730,22.66868698298931
563040,1200.0,11793.781849,,,,,,,,,,,,,,,,
563552,,,777,1200.0,247,94,5352.18668018,,,,,,,,,,,
564240,1200.0,9982.652359,,,,,,0.0003,0.2,-264.6216304779053,0.346826171875,7.781103134155273,1.1920928955078125e-07,0.03399153,0.9209110140800476,-0.028892835586157163,2740,17.322934511303902
565440,1200.0,9964.626785,,,,,,,,,,,,,,,,
565600,,,786,1200.0,247,95,5376.747446439999,,,,,,,,,,,
566640,1200.0,10448.780451,,,,,,0.0003,0.2,-264.4968810081482,0.346728515625,11.855266571044922,0.0,0.04264038,0.9203872680664062,-0.029323808287153953,2750,21.16726912856102
567648,,,792,1200.0,247,96,5388.36450162,,,,,,,,,,,
567840,1200.0,11842.597128,,,,,,0.0003,0.2,-264.28180141448973,0.353125,7.652960300445557,0.0,0.034836233,0.9192855954170227,-0.02941602561622858,2760,17.46437350511551
569040,1200.0,11842.779861,,,,,,,,,,,,,,,,
569696,,,801,1200.0,247,97,5414.67630423,,,,,,,,,,,
570240,1200.0,11845.324395,,,,,,0.0003,0.2,-264.05154609680176,0.368017578125,8.639451026916504,0.0,0.043365564,0.9182965755462646,-0.037332827760837975,2770,19.614829432964324
571440,1200.0,11811.775108,,,,,,,,,,,,,,,,
571744,,,810,1200.0,247,98,5438.993387269999,,,,,,,,,,,
572640,1200.0,11838.973863,,,,,,0.0003,0.2,-264.01573572158816,0.3908203125,7.90111780166626,0.0,0.038848717,0.919200599193573,-0.031279652303783226,2780,14.971694262325764
573792,,,817,1200.0,248,99,5451.92223964,,,,,,,,,,,
573840,1200.0,10221.590072,,,,,,0.0003,0.2,-264.01954011917115,0.382470703125,6.453376293182373,0.0,0.04531552,0.9185163974761963,-0.036434401822043584,2790,21.14193876981735
575040,1200.0,10228.740808,,,,,,,,,,,,,,,,
575840,,,826,1200.0,247,100,5477.84737108,,,,,,,,,,,
576240,1200.0,9743.247545,,,,,,0.0003,0.2,-263.8959391593933,0.350732421875,8.913351058959961,0.0,0.037618577,0.9179394245147705,-0.032114206621190536,2800,18.924078264832495
577440,1200.0,9713.838804,,,,,,,,,,,,,,,,
577888,,,835,1200.0,247,101,5504.5134237600005,,,,,,,,,,,
578640,1200.0,10284.788467,,,,,,0.0003,0.2,-263.8477945327759,0.354541015625,9.975489616394043,5.960464477539063e-08,0.03335158,0.9186234474182129,-0.03594657135836314,2810,21.56139920055866
579840,1200.0,10285.003358,,,,,,,,,,,,,,,,
579936,,,843,1200.0,247,102,5530.575515419999,,,,,,,,,,,
581040,1200.0,11413.065706,,,,,,0.0003,0.2,-263.81637020111083,0.3638671875,7.202814102172852,0.0,0.03241084,0.9177935123443604,-0.031940157800272574,2820,15.590090662240982
581984,,,850,1200.0,247,103,5543.185562119999,,,,,,,,,,,
582240,1200.0,13813.514802,,,,,,0.0003,0.2,-263.56655130386355,0.362158203125,9.371620178222656,0.0,0.033786938,0.9167066216468811,-0.030502336518839,2830,20.841588154435158
583440,1200.0,13801.334912,,,,,,,,,,,,,,,,
584032,,,859,1200.0,247,104,5571.642577770001,,,,,,,,,,,
584640,1200.0,11220.525571,,,,,,0.0003,0.2,-263.3709297180176,0.3080078125,10.484964370727539,-1.1920928955078125e-07,0.03217732,0.9159941673278809,-0.028543950476159808,2840,21.367838886380195
585840,1200.0,11228.035008,,,,,,,,,,,,,,,,
