eval/mean_ep_length,eval/mean_reward,time/total_timesteps,train/learning_rate,train/approx_kl,train/explained_variance,train/clip_range,train/policy_gradient_loss,train/value_loss,train/n_updates,train/clip_fraction,train/loss,train/entropy_loss,time/time_elapsed,time/iterations,rollout/ep_rew_mean,rollout/ep_len_mean,time/fps
50.0,5.9981584548950195,72000,0.0003,0.06547935,0.0,0.2,0.06997913938830606,10376.182748413086,350,0.350341796875,5485.71875,-3.8929948404431345,,,,,
50.0,7.502547264099121,72500,,,,,,,,,,,,,,,
50.0,5.772751331329346,73000,,,,,,,,,,,,,,,
50.0,6.244884014129639,73500,,,,,,,,,,,,,,,
50.0,3.8522276878356934,74000,0.0003,0.06313685,5.960464477539063e-08,0.2,0.06801751126768067,9713.386352539062,360,0.323828125,4449.61474609375,-3.897351337224245,,,,,
50.0,6.383493900299072,74500,,,,,,,,,,,,,,,
50.0,5.091888427734375,75000,,,,,,,,,,,,,,,
50.0,5.447343826293945,75500,,,,,,,,,,,,,,,
50.0,5.024068355560303,76000,0.0003,0.06386353,0.0,0.2,0.05926437669986626,10473.644491577148,370,0.293017578125,4990.79150390625,-3.8980763122439384,,,,,
50.0,3.9333746433258057,76500,,,,,,,,,,,,,,,
50.0,7.677648544311523,77000,,,,,,,,,,,,,,,
50.0,4.117890357971191,77500,,,,,,,,,,,,,,,
50.0,6.981034278869629,78000,0.0003,0.06589322,5.960464477539063e-08,0.2,0.059666661504888904,10411.49252319336,380,0.303125,5595.28564453125,-3.8906167961657045,,,,,
50.0,5.982895851135254,78500,,,,,,,,,,,,,,,
50.0,5.984175205230713,79000,,,,,,,,,,,,,,,
50.0,8.568944931030273,79500,,,,,,,,,,,,,,,
50.0,6.47337007522583,80000,0.0003,0.06957252,0.0,0.2,0.06940913339785766,9502.992008972167,390,0.346630859375,5295.14306640625,-3.8895750500261785,,,,,
50.0,5.663201332092285,80500,,,,,,,,,,,,,,,
50.0,4.613580703735352,81000,,,,,,,,,,,,,,,
50.0,7.20298957824707,81500,,,,,,,,,,,,,,,
,,81920,,,,,,,,,,,171,40,502.07331548999997,50.0,476
50.0,7.530882835388184,82000,0.0003,0.06823037,0.0,0.2,0.07420062205637805,9571.977487182618,400,0.3205078125,4621.00341796875,-3.8936301983892916,,,,,
50.0,5.121949195861816,82500,,,,,,,,,,,,,,,
50.0,4.299037933349609,83000,,,,,,,,,,,,,,,
50.0,5.947990417480469,83500,,,,,,,,,,,,,,,
50.0,6.778918266296387,84000,0.0003,0.06437981,0.0,0.2,0.06457947223389056,8361.017092895509,410,0.333349609375,4415.25439453125,-3.8976720049977303,,,,,
50.0,5.9566192626953125,84500,,,,,,,,,,,,,,,
50.0,4.291843414306641,85000,,,,,,,,,,,,,,,
50.0,6.426982402801514,85500,,,,,,,,,,,,,,,
50.0,6.0407257080078125,86000,,,,,,,,,,,,,,,
50.0,8.299044609069824,86500,0.0003,0.06921326,0.0,0.2,0.06525074685778236,9996.05654449463,420,0.327294921875,4399.35302734375,-3.8935219652950765,,,,,
50.0,7.344925403594971,87000,,,,,,,,,,,,,,,
50.0,4.713850498199463,87500,,,,,,,,,,,,,,,
50.0,5.766864776611328,88000,,,,,,,,,,,,,,,
50.0,7.205184459686279,88500,0.0003,0.058958314,0.0,0.2,0.06207386133028194,10235.43408203125,430,0.31708984375,5307.0703125,-3.8966391414403914,,,,,
50.0,8.156604766845703,89000,,,,,,,,,,,,,,,
50.0,4.447593688964844,89500,,,,,,,,,,,,,,,
50.0,4.635531425476074,90000,,,,,,,,,,,,,,,
50.0,6.756848335266113,90500,0.0003,0.058546595,0.0,0.2,0.066149812360527,10442.741535949706,440,0.265087890625,5846.2724609375,-3.899415998160839,,,,,
50.0,4.4413347244262695,91000,,,,,,,,,,,,,,,
50.0,4.259692192077637,91500,,,,,,,,,,,,,,,
50.0,5.42360782623291,92000,,,,,,,,,,,,,,,
50.0,5.758164405822754,92500,0.0003,0.06807099,0.0,0.2,0.05878355301101692,9395.559658813476,450,0.3626953125,3831.727294921875,-3.8963256172835825,,,,,
50.0,5.590693473815918,93000,,,,,,,,,,,,,,,
50.0,4.793671607971191,93500,,,,,,,,,,,,,,,
50.0,9.044158935546875,94000,,,,,,,,,,,,,,,
50.0,5.988016605377197,94500,0.0003,0.066361584,0.0,0.2,0.06825543491868302,9541.049691772461,460,0.344287109375,4315.45166015625,-3.894414512068033,,,,,
50.0,6.116471290588379,95000,,,,,,,,,,,,,,,
50.0,7.789249420166016,95500,,,,,,,,,,,,,,,
50.0,5.437891960144043,96000,,,,,,,,,,,,,,,
50.0,3.741389513015747,96500,0.0003,0.06372193,0.0,0.2,0.07984569665277377,8605.258851623536,470,0.292822265625,4210.92626953125,-3.8973593309521677,,,,,
50.0,4.179530620574951,97000,,,,,,,,,,,,,,,
50.0,5.4158935546875,97500,,,,,,,,,,,,,,,
50.0,6.5131731033325195,98000,,,,,,,,,,,,,,,
50.0,7.603940963745117,98500,0.0003,0.063504174,0.0,0.2,0.07055746015685145,9250.4439163208,480,0.302880859375,4916.06494140625,-3.8988723196089268,,,,,
50.0,7.152653694152832,99000,,,,,,,,,,,,,,,
50.0,6.218929290771484,99500,,,,,,,,,,,,,,,
50.0,8.657068252563477,100000,,,,,,,,,,,,,,,
50.0,4.126828193664551,100500,0.0003,0.06373249,5.960464477539063e-08,0.2,0.07117897431307937,8050.393862915039,490,0.289599609375,4104.1728515625,-3.8951886743307114,,,,,
50.0,6.443398952484131,101000,,,,,,,,,,,,,,,
50.0,4.945026397705078,101500,,,,,,,,,,,,,,,
50.0,5.368213653564453,102000,,,,,,,,,,,,,,,
,,102400,,,,,,,,,,,214,50,500.30614556000006,50.0,477
50.0,5.40247917175293,102500,0.0003,0.06402293,0.0,0.2,0.06965676079271362,8161.406256103515,500,0.330712890625,4014.23876953125,-3.895496644079685,,,,,
50.0,5.877560615539551,103000,,,,,,,,,,,,,,,
50.0,6.000417709350586,103500,,,,,,,,,,,,,,,
50.0,6.070163249969482,104000,,,,,,,,,,,,,,,
50.0,6.401182174682617,104500,0.0003,0.05611851,0.0,0.2,0.053037687626783736,9400.770329284667,510,0.314501953125,3785.9873046875,-3.8971988305449488,,,,,
50.0,3.9392409324645996,105000,,,,,,,,,,,,,,,
50.0,7.35856819152832,105500,,,,,,,,,,,,,,,
50.0,5.2300496101379395,106000,,,,,,,,,,,,,,,
50.0,8.805998802185059,106500,0.0003,0.06495015,0.0,0.2,0.061769164178986105,8674.66317138672,520,0.310205078125,2991.33154296875,-3.8972224824130537,,,,,
50.0,4.850236892700195,107000,,,,,,,,,,,,,,,
50.0,5.072103977203369,107500,,,,,,,,,,,,,,,
50.0,7.583350658416748,108000,,,,,,,,,,,,,,,
50.0,4.035211563110352,108500,,,,,,,,,,,,,,,
50.0,5.717278480529785,109000,0.0003,0.060617857,0.0,0.2,0.07053227429278194,8851.346145629883,530,0.331005859375,3832.380615234375,-3.896379903703928,,,,,
50.0,5.829025745391846,109500,,,,,,,,,,,,,,,
50.0,6.385967254638672,110000,,,,,,,,,,,,,,,
50.0,4.303323745727539,110500,,,,,,,,,,,,,,,
50.0,7.136014938354492,111000,0.0003,0.06040159,0.0,0.2,0.06189852673851419,8536.19825592041,540,0.331640625,4552.515625,-3.8964932270348074,,,,,
50.0,4.540658950805664,111500,,,,,,,,,,,,,,,
50.0,8.010425567626953,112000,,,,,,,,,,,,,,,
50.0,4.695662975311279,112500,,,,,,,,,,,,,,,
50.0,4.0517578125,113000,0.0003,0.06256095,0.0,0.2,0.07423577004519757,8178.462657165527,550,0.343408203125,3213.082763671875,-3.8976557292044163,,,,,
50.0,6.936519622802734,113500,,,,,,,,,,,,,,,
50.0,4.499781608581543,114000,,,,,,,,,,,,,,,
50.0,8.91964340209961,114500,,,,,,,,,,,,,,,
50.0,6.518584251403809,115000,0.0003,0.061913084,0.0,0.2,0.055930098594399166,6769.199095153808,560,0.3330078125,4453.42626953125,-3.8959316723048687,,,,,
50.0,5.216941833496094,115500,,,,,,,,,,,,,,,
50.0,4.21811580657959,116000,,,,,,,,,,,,,,,
50.0,4.785649299621582,116500,,,,,,,,,,,,,,,
50.0,5.50786018371582,117000,0.0003,0.066725194,0.0,0.2,0.05981919916521292,6673.049908447266,570,0.3384765625,2516.106201171875,-3.89228313267231,,,,,
50.0,4.087800025939941,117500,,,,,,,,,,,,,,,
50.0,7.841577053070068,118000,,,,,,,,,,,,,,,
50.0,3.962888240814209,118500,,,,,,,,,,,,,,,
50.0,4.834785461425781,119000,0.0003,0.06603944,5.960464477539063e-08,0.2,0.05686166268424131,6785.539042663574,580,0.352587890625,3557.8603515625,-3.8867339633405207,,,,,
50.0,8.22177505493164,119500,,,,,,,,,,,,,,,
50.0,5.848946571350098,120000,,,,,,,,,,,,,,,
50.0,5.659358024597168,120500,,,,,,,,,,,,,,,
50.0,5.729541301727295,121000,0.0003,0.07065038,0.0,0.2,0.07018312290019821,7395.210176086426,590,0.328857421875,3250.551025390625,-3.893187715858221,,,,,
50.0,5.171626091003418,121500,,,,,,,,,,,,,,,
50.0,6.166430473327637,122000,,,,,,,,,,,,,,,
50.0,5.2916364669799805,122500,,,,,,,,,,,,,,,
,,122880,,,,,,,,,,,258,60,503.65161793,50.0,476
50.0,5.780493259429932,123000,0.0003,0.063651055,0.0,0.2,0.06539212131174281,7407.963716125489,600,0.306591796875,3755.720703125,-3.8958040073513986,,,,,
50.0,5.478606700897217,123500,,,,,,,,,,,,,,,
50.0,5.037433624267578,124000,,,,,,,,,,,,,,,
50.0,6.538075923919678,124500,,,,,,,,,,,,,,,
50.0,5.667412281036377,125000,0.0003,0.061541423,-1.1920928955078125e-07,0.2,0.06125428057857789,6344.578858947754,610,0.34755859375,3126.148681640625,-3.892458587884903,,,,,
50.0,8.006287574768066,125500,,,,,,,,,,,,,,,
50.0,5.389571189880371,126000,,,,,,,,,,,,,,,
50.0,6.405579090118408,126500,,,,,,,,,,,,,,,
50.0,4.147227764129639,127000,0.0003,0.062118888,5.960464477539063e-08,0.2,0.07012224495119881,7212.171049499511,620,0.335986328125,4088.123291015625,-3.891774082928896,,,,,
50.0,5.203133583068848,127500,,,,,,,,,,,,,,,
50.0,6.467479705810547,128000,,,,,,,,,,,,,,,
50.0,4.3729376792907715,128500,,,,,,,,,,,,,,,
50.0,5.973020553588867,129000,,,,,,,,,,,,,,,
50.0,6.123635292053223,129500,0.0003,0.065904126,0.0,0.2,0.0660412899160292,6994.2436447143555,630,0.3439453125,3007.517822265625,-3.8928228497505186,,,,,
50.0,9.71313190460205,130000,,,,,,,,,,,,,,,
50.0,5.4269022941589355,130500,,,,,,,,,,,,,,,
50.0,6.85553503036499,131000,,,,,,,,,,,,,,,
50.0,4.126862525939941,131500,0.0003,0.058768455,0.0,0.2,0.06570653883100022,7536.322994995117,640,0.30439453125,3358.374755859375,-3.8973209179937838,,,,,
50.0,6.861239433288574,132000,,,,,,,,,,,,,,,
50.0,5.381224155426025,132500,,,,,,,,,,,,,,,
50.0,6.128595352172852,133000,,,,,,,,,,,,,,,
50.0,6.316572189331055,133500,0.0003,0.05995272,1.1920928955078125e-07,0.2,0.063674454196007,6136.341885375977,650,0.273876953125,2938.46728515625,-3.8984112732112406,,,,,
50.0,6.00588846206665,134000,,,,,,,,,,,,,,,
