time/total_timesteps,eval/mean_reward,eval/mean_ep_length,train/policy_gradient_loss,train/learning_rate,train/clip_fraction,train/value_loss,train/n_updates,train/clip_range,train/entropy_loss,train/loss,train/explained_variance,train/approx_kl,time/fps,rollout/ep_len_mean,rollout/ep_rew_mean,time/iterations,time/time_elapsed
195584,31.2522029876709,40.0,-0.054289329494349656,0.0003,0.612548828125,33.814922952651976,950,0.2,-3.4042626067996027,14.929794311523438,0.0,0.11134182,,,,,
196608,40.32793426513672,40.0,,,,,,,,,,,,,,,
197632,74.51341247558594,40.0,-0.01593821764254244,0.0003,0.65283203125,26.38474532067776,960,0.2,-3.412943430989981,14.004021644592285,0.0,0.08519208,,,,,
198656,72.43315124511719,40.0,,,,,,,,,,,,,,,
199680,50.462589263916016,40.0,-0.05384300424193498,0.0003,0.605859375,33.16409785151482,970,0.2,-3.4423554852604865,17.688800811767578,0.0,0.09795891,,,,,
200704,51.022300720214844,40.0,,,,,,,,,,,,,,,
201728,66.88410949707031,40.0,-0.047426963996258564,0.0003,0.63134765625,32.87742519974709,980,0.2,-3.4307045809924603,15.669129371643066,0.0,0.10742676,,,,,
202752,66.58759307861328,40.0,,,,,,,,,,,,,,,
203776,67.78972625732422,40.0,-0.043844802561216055,0.0003,0.658203125,27.735311993956564,990,0.2,-3.4099992610514165,13.112677574157715,-1.1920928955078125e-07,0.12970385,,,,,
204800,71.54286193847656,40.0,,,,,,,,,,,,,,,
204800,,,,,,,,,,,,,392,40.0,61.82939844999999,100,521
205824,48.97435760498047,40.0,-0.03932944226835389,0.0003,0.5904296875,25.36547876894474,1000,0.2,-3.4151179932057856,15.580946922302246,0.0,0.093664445,,,,,
206848,35.60493087768555,40.0,,,,,,,,,,,,,,,
207872,58.09956359863281,40.0,-0.04822186005185358,0.0003,0.600048828125,40.449462592601776,1010,0.2,-3.424074386060238,21.175329208374023,0.0,0.08747459,,,,,
208896,76.1923599243164,40.0,,,,,,,,,,,,,,,
209920,67.3128890991211,40.0,-0.026421654057048726,0.0003,0.56376953125,27.19022904932499,1020,0.2,-3.4330175846815107,18.902057647705078,5.960464477539063e-08,0.087113105,,,,,
210944,64.80766296386719,40.0,,,,,,,,,,,,,,,
211968,50.569305419921875,40.0,-0.05492087731254287,0.0003,0.604638671875,36.78660253286362,1030,0.2,-3.4241428077220917,21.225963592529297,0.0,0.09436469,,,,,
212992,36.1602783203125,40.0,,,,,,,,,,,,,,,
