time/total_timesteps,eval/mean_ep_length,eval/mean_reward,train/clip_range,train/loss,train/clip_fraction,train/learning_rate,train/approx_kl,train/explained_variance,train/value_loss,train/policy_gradient_loss,train/n_updates,train/entropy_loss,time/time_elapsed,time/iterations,time/fps,rollout/ep_rew_mean,rollout/ep_len_mean
160768,180.0,78.34750366210938,0.2,15.88696002960205,0.6630859375,0.0003,0.03743542,0.0,39.58526218533516,-0.04484457510989159,780,-2.9282760970294475,,,,,
161792,180.0,77.18873596191406,,,,,,,,,,,,,,,
162816,180.0,79.25991821289062,0.2,24.00277328491211,0.660302734375,0.0003,0.033259496,0.0,35.4510519862175,-0.04351705641311128,790,-2.952713195234537,,,,,
163840,180.0,81.05631256103516,,,,,,,,,,,,,,,
163840,,,,,,,,,,,,,476,80,343,77.07028674000001,180.0
164864,180.0,79.80093383789062,0.2,16.33517074584961,0.6669921875,0.0003,0.041842967,-1.1920928955078125e-07,39.69648092985153,-0.0449490126746241,800,-2.8972753338515758,,,,,
165888,180.0,75.06352233886719,,,,,,,,,,,,,,,
166912,180.0,79.74759674072266,0.2,18.53455924987793,0.508154296875,0.0003,0.021935426,-2.384185791015625e-07,38.7356099486351,-0.04526876809541136,810,-2.966469530016184,,,,,
167936,180.0,78.47344207763672,,,,,,,,,,,,,,,
168960,180.0,78.85684204101562,0.2,29.647199630737305,0.521533203125,0.0003,0.023888174,5.960464477539063e-08,42.831970953941344,-0.04405887059983797,820,-2.952668546140194,,,,,
169984,180.0,80.67913818359375,,,,,,,,,,,,,,,
171008,180.0,73.53323364257812,0.2,24.064773559570312,0.400390625,0.0003,0.019954585,0.0,38.492649900913236,-0.042588310255086984,830,-2.9852888971567153,,,,,
172032,180.0,79.28108215332031,,,,,,,,,,,,,,,
173056,180.0,81.01222229003906,0.2,22.755043029785156,0.524658203125,0.0003,0.023339855,0.0,40.802684819698335,-0.04198222593113314,840,-2.9711481779813766,,,,,
174080,180.0,80.79300689697266,,,,,,,,,,,,,,,
175104,180.0,79.86721801757812,0.2,25.865459442138672,0.64755859375,0.0003,0.035029516,0.0,43.14437218904495,-0.04690966271737125,850,-2.9323629938066005,,,,,
176128,180.0,80.01782989501953,,,,,,,,,,,,,,,
177152,180.0,77.23970031738281,0.2,16.456850051879883,0.50673828125,0.0003,0.025399636,0.0,33.805569380521774,-0.046992874279385435,860,-2.949745400995016,,,,,
178176,180.0,77.82196044921875,,,,,,,,,,,,,,,
179200,180.0,78.33747863769531,0.2,25.93499755859375,0.579443359375,0.0003,0.030725779,0.0,38.873764243721965,-0.042199198718299157,870,-2.9678238585591314,,,,,
180224,180.0,75.42332458496094,,,,,,,,,,,,,,,
181248,180.0,77.64604187011719,0.2,16.016862869262695,0.506640625,0.0003,0.029422048,0.0,42.87687683701515,-0.04861200921004638,880,-2.9630213864147663,,,,,
182272,180.0,78.02644348144531,,,,,,,,,,,,,,,
183296,180.0,78.39256286621094,0.2,29.405113220214844,0.514501953125,0.0003,0.020430217,0.0,44.04520610570908,-0.043728231778368355,890,-2.9850018590688707,,,,,
184320,180.0,80.52786254882812,,,,,,,,,,,,,,,
184320,,,,,,,,,,,,,536,90,343,81.13030527,180.0
185344,180.0,78.71320343017578,0.2,14.032195091247559,0.513037109375,0.0003,0.022366516,0.0,39.53349087238312,-0.04186640769330552,900,-2.987007808685303,,,,,
186368,180.0,81.38096618652344,,,,,,,,,,,,,,,
187392,180.0,79.65086364746094,0.2,21.64470863342285,0.599658203125,0.0003,0.028252892,-1.1920928955078125e-07,42.7084158539772,-0.04378862122248393,910,-2.9652176782488824,,,,,
188416,180.0,80.1168212890625,,,,,,,,,,,,,,,
189440,180.0,77.61468505859375,0.2,22.300878524780273,0.565625,0.0003,0.031513162,1.7881393432617188e-07,42.437537032365796,-0.04350471415382344,920,-2.9827377386391163,,,,,
190464,180.0,79.13053894042969,,,,,,,,,,,,,,,
191488,180.0,79.17510986328125,0.2,25.1801815032959,0.57451171875,0.0003,0.026500031,1.1920928955078125e-07,39.18244545459747,-0.04549704523524269,930,-2.96507031545043,,,,,
192512,180.0,75.54765319824219,,,,,,,,,,,,,,,
193536,180.0,78.75471496582031,0.2,17.000843048095703,0.4876953125,0.0003,0.031477097,1.1920928955078125e-07,40.53128787279129,-0.04226895343163051,940,-2.9861830070614817,,,,,
194560,180.0,77.38473510742188,,,,,,,,,,,,,,,
195584,180.0,79.70220947265625,0.2,30.71248435974121,0.551220703125,0.0003,0.026427481,0.0,41.02072623372078,-0.042828294822538734,950,-2.96153127476573,,,,,
196608,180.0,80.53269958496094,,,,,,,,,,,,,,,
197632,180.0,79.82337951660156,0.2,12.56086254119873,0.647900390625,0.0003,0.03533589,0.0,38.43057565093041,-0.04706948887614999,960,-2.9166171714663505,,,,,
198656,180.0,78.68144226074219,,,,,,,,,,,,,,,
199680,180.0,81.63716888427734,0.2,15.553417205810547,0.615966796875,0.0003,0.033856675,0.0,33.87873249948025,-0.04473658833885565,970,-2.931146513670683,,,,,
200704,180.0,80.00877380371094,,,,,,,,,,,,,,,
201728,180.0,81.85182189941406,0.2,14.61851978302002,0.619580078125,0.0003,0.025042888,1.1920928955078125e-07,42.29361070990562,-0.04316351466695778,980,-2.951452716439962,,,,,
202752,180.0,82.60836029052734,,,,,,,,,,,,,,,
203776,180.0,78.74640655517578,0.2,23.79814338684082,0.593896484375,0.0003,0.029927483,0.0,41.72859200835228,-0.0468314371741144,990,-2.959076940268278,,,,,
204800,180.0,82.53250885009766,,,,,,,,,,,,,,,
204800,,,,,,,,,,,,,595,100,343,81.37669582,180.0
205824,180.0,82.31172180175781,0.2,17.410276412963867,0.566796875,0.0003,0.026273169,0.0,38.84833726882935,-0.041113768817740495,1000,-2.967730264365673,,,,,
206848,180.0,81.39788818359375,,,,,,,,,,,,,,,
207872,180.0,80.84849548339844,0.2,14.76916790008545,0.598779296875,0.0003,0.03628686,0.0,40.04311699867249,-0.04337523390422575,1010,-2.933250247687101,,,,,
208896,180.0,82.53562927246094,,,,,,,,,,,,,,,
209920,180.0,79.92694091796875,0.2,26.357847213745117,0.606787109375,0.0003,0.030452209,0.0,42.02846183776855,-0.04476421374274651,1020,-2.9430102698504923,,,,,
210944,180.0,77.89996337890625,,,,,,,,,,,,,,,
211968,180.0,79.01351928710938,0.2,23.934049606323242,0.554248046875,0.0003,0.024256652,0.0,40.660532587766646,-0.04186998193908949,1030,-2.949737375229597,,,,,
212992,180.0,82.42662048339844,,,,,,,,,,,,,,,
214016,180.0,80.4484634399414,0.2,28.627120971679688,0.64208984375,0.0003,0.027427271,0.0,48.42137152552605,-0.04451525881595444,1040,-2.9409783206880094,,,,,
215040,180.0,84.17897033691406,,,,,,,,,,,,,,,
216064,180.0,79.54292297363281,0.2,14.715048789978027,0.661962890625,0.0003,0.031170413,0.0,41.94293110370636,-0.04309268814104143,1050,-2.9317987874150275,,,,,
217088,180.0,81.19844055175781,,,,,,,,,,,,,,,
218112,180.0,81.70220184326172,0.2,21.126806259155273,0.578271484375,0.0003,0.02277316,5.960464477539063e-08,44.38711581230164,-0.04326944969507167,1060,-2.965096178650856,,,,,
219136,180.0,79.30813598632812,,,,,,,,,,,,,,,
220160,180.0,84.94572448730469,0.2,24.70038414001465,0.48427734375,0.0003,0.023193166,0.0,51.218550860881805,-0.04177533719630446,1070,-2.9841520681977274,,,,,
221184,180.0,82.76044464111328,,,,,,,,,,,,,,,
222208,180.0,82.39643859863281,0.2,12.947637557983398,0.597265625,0.0003,0.03594429,0.0,44.41511644124985,-0.04289630576968193,1080,-2.9567049890756607,,,,,
223232,180.0,83.80207824707031,,,,,,,,,,,,,,,
224256,180.0,80.86407470703125,0.2,22.861820220947266,0.628857421875,0.0003,0.03165016,1.1920928955078125e-07,40.76333605647087,-0.042897368111880496,1090,-2.9450900189578535,,,,,
225280,180.0,81.65782165527344,,,,,,,,,,,,,,,
225280,,,,,,,,,,,,,655,110,343,83.42553864,180.0
226304,180.0,82.7757568359375,0.2,19.188426971435547,0.53623046875,0.0003,0.02196103,0.0,37.80074364542961,-0.043368492246372625,1100,-2.9832734033465385,,,,,
227328,180.0,83.79888916015625,,,,,,,,,,,,,,,
