eval/mean_ep_length,eval/mean_reward,time/total_timesteps,train/explained_variance,train/learning_rate,train/value_loss,train/approx_kl,train/clip_fraction,train/policy_gradient_loss,train/loss,train/n_updates,train/entropy_loss,train/clip_range,time/fps,rollout/ep_rew_mean,rollout/ep_len_mean,time/time_elapsed,time/iterations
40.0,50.636138916015625,35840,1.1920928955078125e-07,0.0003,188334.11552734376,0.078576684,0.42880859375,-0.029381227963312995,83213.0234375,170,-6.389774926006794,0.2,,,,,
40.0,46.07563781738281,36864,,,,,,,,,,,,,,,
40.0,42.87532043457031,37888,0.0,0.0003,170135.25512695312,0.07446086,0.4173828125,-0.03372221452300437,83789.2265625,180,-6.389209327101708,0.2,,,,,
40.0,50.500640869140625,38912,,,,,,,,,,,,,,,
40.0,45.66249084472656,39936,0.0,0.0003,153981.55295410156,0.07615141,0.421826171875,-0.034620424019522034,80222.640625,190,-6.388517156243324,0.2,,,,,
40.0,57.20273208618164,40960,,,,,,,,,,,,,,,
,,40960,,,,,,,,,,,219,1302.7330684400001,40.0,186,20
40.0,46.07548522949219,41984,1.7881393432617188e-07,0.0003,189181.59868164064,0.07607925,0.42197265625,-0.03322741656738799,95317.8203125,200,-6.387928438186646,0.2,,,,,
40.0,46.05942916870117,43008,,,,,,,,,,,,,,,
40.0,59.05397033691406,44032,1.7881393432617188e-07,0.0003,179988.30864257814,0.07739575,0.43154296875,-0.02855829838226782,97048.8828125,210,-6.387521658837795,0.2,,,,,
40.0,53.31607437133789,45056,,,,,,,,,,,,,,,
40.0,59.48223876953125,46080,0.0,0.0003,161037.8125,0.069439985,0.405908203125,-0.03431816850497853,72895.9296875,220,-6.387060567736626,0.2,,,,,
40.0,51.70918655395508,47104,,,,,,,,,,,,,,,
40.0,46.85986328125,48128,0.0,0.0003,193426.4975097656,0.07724157,0.432177734375,-0.028253925379249267,108296.40625,230,-6.386489647626877,0.2,,,,,
40.0,49.34552764892578,49152,,,,,,,,,,,,,,,
