eval/mean_ep_length,eval/mean_reward,time/total_timesteps,train/explained_variance,train/learning_rate,train/value_loss,train/approx_kl,train/clip_fraction,train/policy_gradient_loss,train/loss,train/n_updates,train/entropy_loss,train/clip_range,time/fps,rollout/ep_rew_mean,rollout/ep_len_mean,time/time_elapsed,time/iterations
40.0,45.00324249267578,185344,0.0,0.0003,131354.15529785157,0.07898863,0.42666015625,-0.021423257514834405,66849.0234375,900,-6.333198842406273,0.2,,,,,
40.0,49.82228088378906,186368,,,,,,,,,,,,,,,
40.0,52.08876037597656,187392,0.0,0.0003,125540.56057128907,0.07642545,0.39765625,-0.02614720476558432,60206.19921875,910,-6.3318347617983815,0.2,,,,,
40.0,47.282310485839844,188416,,,,,,,,,,,,,,,
40.0,46.52838897705078,189440,0.0,0.0003,120730.32033691407,0.07388917,0.41513671875,-0.027841813920531422,61648.31640625,920,-6.33118117004633,0.2,,,,,
40.0,47.22958755493164,190464,,,,,,,,,,,,,,,
40.0,51.69291687011719,191488,0.0,0.0003,128877.48576660156,0.072806545,0.416455078125,-0.019593225863354748,64459.48046875,930,-6.330725196003914,0.2,,,,,
40.0,54.99120330810547,192512,,,,,,,,,,,,,,,
40.0,55.15399169921875,193536,0.0,0.0003,113964.24602050781,0.073303014,0.415478515625,-0.01905024679726921,63494.2578125,940,-6.328998225927353,0.2,,,,,
40.0,46.128841400146484,194560,,,,,,,,,,,,,,,
40.0,52.54429244995117,195584,0.0,0.0003,130991.55234375,0.07963402,0.40595703125,-0.022395732389122715,62534.4453125,950,-6.327766418457031,0.2,,,,,
40.0,50.10841369628906,196608,,,,,,,,,,,,,,,
40.0,48.20217514038086,197632,0.0,0.0003,122723.8595703125,0.07594654,0.41279296875,-0.02358384823310189,62310.21875,960,-6.327058726549149,0.2,,,,,
40.0,50.899864196777344,198656,,,,,,,,,,,,,,,
40.0,47.64095687866211,199680,0.0,0.0003,123807.62504882812,0.07467036,0.420849609375,-0.01714500142406905,58124.99609375,970,-6.326523971557617,0.2,,,,,
40.0,49.70698928833008,200704,,,,,,,,,,,,,,,
40.0,51.86066436767578,201728,0.0,0.0003,124980.29113769531,0.07816765,0.427001953125,-0.016814048499509227,58532.4921875,980,-6.325781051814556,0.2,,,,,
40.0,56.11662292480469,202752,,,,,,,,,,,,,,,
40.0,44.31780242919922,203776,0.0,0.0003,127134.95380859375,0.07787186,0.44189453125,-0.017705144119099715,66520.96875,990,-6.325171689689159,0.2,,,,,
40.0,44.849830627441406,204800,,,,,,,,,,,,,,,
,,204800,,,,,,,,,,,221,1343.3376484699997,40.0,926,100
40.0,48.64665603637695,205824,0.0,0.0003,149799.64543457032,0.07669048,0.428125,-0.029316998705326114,78975.5625,1000,-6.324403442442417,0.2,,,,,
40.0,47.51544189453125,206848,,,,,,,,,,,,,,,
40.0,49.077613830566406,207872,5.960464477539063e-08,0.0003,115333.21279296876,0.078603595,0.418994140625,-0.02051252746168757,61728.0078125,1010,-6.322620895504952,0.2,,,,,
40.0,52.49766540527344,208896,,,,,,,,,,,,,,,
40.0,52.761131286621094,209920,0.0,0.0003,137306.4760253906,0.07613693,0.396240234375,-0.023309246654389427,67331.9453125,1020,-6.320983771979809,0.2,,,,,
40.0,51.36919403076172,210944,,,,,,,,,,,,,,,
40.0,52.281612396240234,211968,-1.1920928955078125e-07,0.0003,114542.46252441406,0.07411856,0.407861328125,-0.02165402219106909,57458.875,1030,-6.320765842497349,0.2,,,,,
40.0,50.23018264770508,212992,,,,,,,,,,,,,,,
40.0,56.59812545776367,214016,5.960464477539063e-08,0.0003,108062.79777832031,0.07967037,0.4259765625,-0.024487901674729074,52336.109375,1040,-6.319600382447243,0.2,,,,,
40.0,49.651214599609375,215040,,,,,,,,,,,,,,,
40.0,48.84770202636719,216064,0.0,0.0003,146017.58395996093,0.077916935,0.42255859375,-0.026220512759755364,74759.625,1050,-6.318348282575608,0.2,,,,,
40.0,47.6551513671875,217088,,,,,,,,,,,,,,,
40.0,49.55370330810547,218112,0.0,0.0003,134034.409765625,0.06993051,0.408447265625,-0.022567727509886025,58798.8828125,1060,-6.3177140086889265,0.2,,,,,
40.0,53.382137298583984,219136,,,,,,,,,,,,,,,
40.0,51.887264251708984,220160,0.0,0.0003,126590.02758789062,0.07236674,0.423779296875,-0.017985209973994644,63533.24609375,1070,-6.316656513512134,0.2,,,,,
40.0,46.415000915527344,221184,,,,,,,,,,,,,,,
40.0,47.16382598876953,222208,-1.1920928955078125e-07,0.0003,120899.05275878907,0.07516958,0.415771484375,-0.014009543153224512,61219.39453125,1080,-6.315364672243595,0.2,,,,,
40.0,44.23966979980469,223232,,,,,,,,,,,,,,,
