eval/mean_ep_length,time/total_timesteps,eval/mean_reward,train/clip_fraction,train/entropy_loss,train/approx_kl,train/loss,train/learning_rate,train/n_updates,train/value_loss,train/policy_gradient_loss,train/clip_range,train/explained_variance,rollout/ep_rew_mean,rollout/ep_len_mean,time/fps,time/iterations,time/time_elapsed
180.0,38912,15.90859603881836,,,,,,,,,,,,,,,
180.0,39936,17.091598510742188,0.29921875,-5.446785482764244,0.02147352,32.68996810913086,0.0003,190,47.80690720677376,-0.03168406662880443,0.2,0.0,,,,,
180.0,40960,17.951824188232422,,,,,,,,,,,,,,,
,40960,,,,,,,,,,,,15.81221306,180.0,265,20,154
180.0,41984,15.424166679382324,0.325,-5.4211767464876175,0.022676311,14.055569648742676,0.0003,200,42.5016307592392,-0.03311680615297519,0.2,-1.1920928955078125e-07,,,,,
180.0,43008,17.672039031982422,,,,,,,,,,,,,,,
180.0,44032,16.9322452545166,0.3390625,-5.372080937027931,0.023291871,26.249298095703125,0.0003,210,39.2916190803051,-0.030611062576645053,0.2,0.0,,,,,
180.0,45056,17.361591339111328,,,,,,,,,,,,,,,
180.0,46080,17.595470428466797,0.34541015625,-5.345023755729199,0.021728806,16.21263313293457,0.0003,220,45.332556647062304,-0.03741809953498887,0.2,5.960464477539063e-08,,,,,
180.0,47104,18.802696228027344,,,,,,,,,,,,,,,
180.0,48128,19.669387817382812,0.34404296875,-5.351083055138588,0.021961167,23.250341415405273,0.0003,230,42.06462738513947,-0.03127435085916659,0.2,-1.1920928955078125e-07,,,,,
180.0,49152,18.688949584960938,,,,,,,,,,,,,,,
180.0,50176,16.501066207885742,0.330078125,-5.323998308181762,0.020650478,13.791083335876465,0.0003,240,36.26893316507339,-0.03433782719221199,0.2,0.0,,,,,
180.0,51200,16.88457489013672,,,,,,,,,,,,,,,
180.0,52224,17.533098220825195,0.291357421875,-5.274690556526184,0.019865269,14.503706932067871,0.0003,250,36.29293871819973,-0.028246591747301864,0.2,0.0,,,,,
180.0,53248,20.657819747924805,,,,,,,,,,,,,,,
180.0,54272,18.451730728149414,0.302587890625,-5.226213394105434,0.018845141,16.062606811523438,0.0003,260,46.363342601060864,-0.030745820014271886,0.2,-1.1920928955078125e-07,,,,,
180.0,55296,18.19586944580078,,,,,,,,,,,,,,,
180.0,56320,19.061962127685547,0.3181640625,-5.215115775167942,0.022153191,16.945682525634766,0.0003,270,41.114914011955264,-0.03514363753056386,0.2,-1.1920928955078125e-07,,,,,
180.0,57344,21.007801055908203,,,,,,,,,,,,,,,
180.0,58368,18.242055892944336,0.30869140625,-5.172663441300392,0.020614441,34.680179595947266,0.0003,280,49.69368866682053,-0.030670460771943908,0.2,0.0,,,,,
