time/total_timesteps,eval/mean_reward,eval/mean_ep_length,train/clip_fraction,train/entropy_loss,train/learning_rate,train/value_loss,train/approx_kl,train/explained_variance,train/loss,train/policy_gradient_loss,train/n_updates,train/clip_range,rollout/ep_len_mean,time/fps,time/iterations,rollout/ep_rew_mean,time/time_elapsed
111616,38.30500793457031,180.0,0.2056640625,-4.028531534969806,0.0003,47.91868791282177,0.0151156755,-1.1920928955078125e-07,31.75324249267578,-0.02055635653232457,540,0.2,,,,,
112640,38.80668640136719,180.0,,,,,,,,,,,,,,,
113664,43.46612548828125,180.0,0.25634765625,-3.9338575124740602,0.0003,43.379676872491835,0.017163856,-1.1920928955078125e-07,23.83378791809082,-0.023877489179722034,550,0.2,,,,,
114688,43.64302062988281,180.0,,,,,,,,,,,,,,,
115712,39.04309844970703,180.0,0.231591796875,-3.9136011742055414,0.0003,47.7295457303524,0.018150443,0.0,11.155878067016602,-0.022729202375921888,560,0.2,,,,,
116736,45.18096923828125,180.0,,,,,,,,,,,,,,,
117760,43.71036148071289,180.0,0.21279296875,-3.8493300452828407,0.0003,43.95396537780762,0.016784059,5.960464477539063e-08,25.51483726501465,-0.01942209636035841,570,0.2,,,,,
118784,46.51434326171875,180.0,,,,,,,,,,,,,,,
119808,45.33155059814453,180.0,0.24345703125,-3.8173492811620235,0.0003,49.36629285216331,0.019208508,0.0,29.015697479248047,-0.02078279543420649,580,0.2,,,,,
120832,48.652374267578125,180.0,,,,,,,,,,,,,,,
121856,49.54059600830078,180.0,0.191748046875,-3.7690144427120686,0.0003,51.56118829846382,0.0145321945,5.960464477539063e-08,33.4622688293457,-0.01694599501643097,590,0.2,,,,,
122880,43.86907196044922,180.0,,,,,,,,,,,,,,,
122880,,,,,,,,,,,,,180.0,143,60,39.912792499999995,858
123904,48.921756744384766,180.0,0.235400390625,-3.7927798070013523,0.0003,41.40048482716084,0.01928404,1.7881393432617188e-07,18.599538803100586,-0.019841276700026354,600,0.2,,,,,
124928,46.737518310546875,180.0,,,,,,,,,,,,,,,
125952,49.66059875488281,180.0,0.25595703125,-3.729282172769308,0.0003,41.91104848980903,0.017796025,0.0,12.649968147277832,-0.0229923908773344,610,0.2,,,,,
126976,49.14098358154297,180.0,,,,,,,,,,,,,,,
128000,51.801612854003906,180.0,0.19716796875,-3.7278800904750824,0.0003,48.92283638119697,0.016488027,0.0,22.251922607421875,-0.019368528430641165,620,0.2,,,,,
129024,50.75041198730469,180.0,,,,,,,,,,,,,,,
130048,52.889381408691406,180.0,0.2046875,-3.6802467830479144,0.0003,48.45376731753349,0.01791175,-1.1920928955078125e-07,23.850133895874023,-0.018708976346533745,630,0.2,,,,,
131072,51.02375030517578,180.0,,,,,,,,,,,,,,,
132096,45.335357666015625,180.0,0.19912109375,-3.687563944607973,0.0003,49.75467874407768,0.015223842,5.960464477539063e-08,27.32805061340332,-0.01862863653805107,640,0.2,,,,,
133120,50.67937469482422,180.0,,,,,,,,,,,,,,,
134144,52.245784759521484,180.0,0.223193359375,-3.6012266099452974,0.0003,48.337469410896304,0.015918657,-1.1920928955078125e-07,19.637083053588867,-0.019571864516183268,650,0.2,,,,,
135168,54.58346939086914,180.0,,,,,,,,,,,,,,,
