time/total_timesteps,eval/mean_ep_length,eval/mean_reward,train/clip_range,train/loss,train/clip_fraction,train/learning_rate,train/approx_kl,train/explained_variance,train/value_loss,train/policy_gradient_loss,train/n_updates,train/entropy_loss,time/time_elapsed,time/iterations,time/fps,rollout/ep_rew_mean,rollout/ep_len_mean
140288,180.0,77.96810913085938,0.2,20.268482208251953,0.587451171875,0.0003,0.023890115,0.0,54.59218614697456,-0.04126273978326935,680,-3.1572412446141245,,,,,
141312,180.0,78.38703918457031,,,,,,,,,,,,,,,
142336,180.0,77.87310028076172,0.2,15.7319974899292,0.5291015625,0.0003,0.023729207,0.0,48.31692416071892,-0.04653167917276733,690,-3.1500855132937433,,,,,
143360,180.0,76.47772216796875,,,,,,,,,,,,,,,
143360,,,,,,,,,,,,,415,70,344,74.26125397,180.0
144384,180.0,80.584228515625,0.2,18.9252986907959,0.466259765625,0.0003,0.024373308,0.0,48.29725962281227,-0.0443797616957454,700,-3.1375910833477976,,,,,
145408,180.0,78.30368041992188,,,,,,,,,,,,,,,
146432,180.0,80.51400756835938,0.2,15.90768814086914,0.515234375,0.0003,0.027714405,5.960464477539063e-08,50.16224447488785,-0.04191814418882132,710,-3.091966800391674,,,,,
147456,180.0,81.9521255493164,,,,,,,,,,,,,,,
148480,180.0,83.14581298828125,0.2,28.762022018432617,0.5283203125,0.0003,0.02516928,0.0,47.53386691808701,-0.04659673239802942,720,-3.064430369436741,,,,,
149504,180.0,80.81571960449219,,,,,,,,,,,,,,,
150528,180.0,81.73782348632812,0.2,17.222137451171875,0.686328125,0.0003,0.0343125,0.0,45.766179925203325,-0.04479991608241107,730,-2.9949326306581496,,,,,
151552,180.0,79.51937866210938,,,,,,,,,,,,,,,
152576,180.0,78.26197814941406,0.2,32.94944763183594,0.572119140625,0.0003,0.027344618,5.960464477539063e-08,45.454553830623624,-0.046055249049095436,740,-3.02142571285367,,,,,
153600,180.0,80.24327850341797,,,,,,,,,,,,,,,
154624,180.0,80.42147827148438,0.2,30.81892204284668,0.548193359375,0.0003,0.025717739,0.0,46.02245312333107,-0.0434720115212258,750,-3.034377861022949,,,,,
155648,180.0,77.5333480834961,,,,,,,,,,,,,,,
156672,180.0,82.7349853515625,0.2,21.96653175354004,0.573681640625,0.0003,0.031707823,0.0,41.47185491323471,-0.0432982090045698,760,-3.019810575991869,,,,,
157696,180.0,82.76864624023438,,,,,,,,,,,,,,,
158720,180.0,79.97390747070312,0.2,16.488439559936523,0.472998046875,0.0003,0.021345742,0.0,48.30570281147957,-0.04739404463907704,770,-3.03536467179656,,,,,
159744,180.0,79.64798736572266,,,,,,,,,,,,,,,
160768,180.0,77.99415588378906,0.2,16.240047454833984,0.515869140625,0.0003,0.024138857,1.1920928955078125e-07,42.3732849240303,-0.041572044871281834,780,-3.0077792063355444,,,,,
161792,180.0,80.31361389160156,,,,,,,,,,,,,,,
162816,180.0,81.52959442138672,0.2,19.58638572692871,0.5125,0.0003,0.0251625,0.0,38.19862254858017,-0.04403598697099369,790,-3.018102966248989,,,,,
163840,180.0,80.36334228515625,,,,,,,,,,,,,,,
163840,,,,,,,,,,,,,475,80,344,79.08280747999999,180.0
164864,180.0,82.3406982421875,0.2,18.450366973876953,0.562109375,0.0003,0.024181776,0.0,45.239450722932816,-0.04340278474264778,800,-2.9888338394463063,,,,,
165888,180.0,77.37808227539062,,,,,,,,,,,,,,,
166912,180.0,81.1085205078125,0.2,32.72294998168945,0.447021484375,0.0003,0.02103706,0.0,44.20984983146191,-0.04179127496900037,810,-3.0193761229515075,,,,,
167936,180.0,82.35263061523438,,,,,,,,,,,,,,,
168960,180.0,80.42613220214844,0.2,37.7551155090332,0.45537109375,0.0003,0.024226,5.960464477539063e-08,44.13706967830658,-0.043325320261646996,820,-3.015106562525034,,,,,
169984,180.0,80.81365966796875,,,,,,,,,,,,,,,
171008,180.0,82.56694793701172,0.2,29.612085342407227,0.620556640625,0.0003,0.03460135,0.0,52.20951393842697,-0.04569563232071232,830,-2.966707641631365,,,,,
172032,180.0,79.93634796142578,,,,,,,,,,,,,,,
173056,180.0,81.40907287597656,0.2,22.07158088684082,0.500390625,0.0003,0.023179498,0.0,40.18092040419579,-0.04593232084880583,840,-2.998600808531046,,,,,
174080,180.0,79.37010955810547,,,,,,,,,,,,,,,
175104,180.0,83.49725341796875,0.2,27.327045440673828,0.6470703125,0.0003,0.03163261,-1.1920928955078125e-07,46.45706169605255,-0.04700757316895761,850,-2.954127866029739,,,,,
176128,180.0,78.99276733398438,,,,,,,,,,,,,,,
177152,180.0,81.99272918701172,0.2,16.67100715637207,0.456689453125,0.0003,0.019881003,0.0,50.34301478266716,-0.04597495605412405,860,-3.029585437476635,,,,,
178176,180.0,80.66685485839844,,,,,,,,,,,,,,,
179200,180.0,83.67111206054688,0.2,35.60212326049805,0.566259765625,0.0003,0.025770046,0.0,46.416824015974996,-0.042701012824545616,870,-3.009745690971613,,,,,
180224,180.0,78.94339752197266,,,,,,,,,,,,,,,
181248,180.0,79.05087280273438,0.2,18.90622901916504,0.611962890625,0.0003,0.032273747,0.0,51.79330576658249,-0.047260901189292784,880,-2.9734670713543894,,,,,
182272,180.0,79.8697738647461,,,,,,,,,,,,,,,
183296,180.0,84.46058654785156,0.2,23.135299682617188,0.60029296875,0.0003,0.024175111,5.960464477539063e-08,48.063657373189926,-0.04396102374303155,890,-3.0132355228066445,,,,,
184320,180.0,80.44625854492188,,,,,,,,,,,,,,,
184320,,,,,,,,,,,,,534,90,344,82.29740712,180.0
185344,180.0,81.03495788574219,0.2,33.21591567993164,0.514501953125,0.0003,0.025968343,0.0,52.43692858219147,-0.04459893747698516,900,-3.031128004193306,,,,,
186368,180.0,83.81897735595703,,,,,,,,,,,,,,,
187392,180.0,83.52609252929688,0.2,19.19430160522461,0.575,0.0003,0.023663374,0.0,50.416832458972934,-0.04487941868428606,910,-3.0190670184791086,,,,,
188416,180.0,81.68329620361328,,,,,,,,,,,,,,,
189440,180.0,81.48426818847656,0.2,16.480100631713867,0.627587890625,0.0003,0.037493475,0.0,47.15688142180443,-0.04193582292064093,920,-3.002802360802889,,,,,
190464,180.0,79.57466888427734,,,,,,,,,,,,,,,
191488,180.0,81.72674560546875,0.2,29.56344985961914,0.528955078125,0.0003,0.02159095,-1.1920928955078125e-07,47.41907796263695,-0.04557182537391782,930,-3.0288454592227936,,,,,
192512,180.0,82.31820678710938,,,,,,,,,,,,,,,
193536,180.0,82.70954895019531,0.2,20.99124526977539,0.55537109375,0.0003,0.029557329,0.0,49.41374894380569,-0.04253688399330713,940,-3.011980577558279,,,,,
194560,180.0,79.64720153808594,,,,,,,,,,,,,,,
195584,180.0,80.64634704589844,0.2,22.0854549407959,0.541650390625,0.0003,0.027069889,0.0,45.60841290950775,-0.04123708729748614,950,-3.0141992650926115,,,,,
196608,180.0,83.37109375,,,,,,,,,,,,,,,
197632,180.0,81.82566833496094,0.2,25.208148956298828,0.468701171875,0.0003,0.022105288,0.0,46.16890877485275,-0.045048495469382034,960,-3.0316385038197042,,,,,
198656,180.0,79.86425018310547,,,,,,,,,,,,,,,
199680,180.0,83.72438049316406,0.2,27.685693740844727,0.58779296875,0.0003,0.036033843,0.0,45.69293608665466,-0.04257716472202446,970,-2.973064436018467,,,,,
200704,180.0,83.44091796875,,,,,,,,,,,,,,,
