eval/mean_ep_length,eval/mean_reward,time/total_timesteps,train/loss,train/approx_kl,train/policy_gradient_loss,train/learning_rate,train/n_updates,train/explained_variance,train/clip_fraction,train/value_loss,train/entropy_loss,train/clip_range,time/iterations,time/time_elapsed,rollout/ep_len_mean,time/fps,rollout/ep_rew_mean
40.0,51.27976989746094,154624,21.066707611083984,0.0060878787,-0.01628559524251614,3e-05,750,0.0,0.017724609375,29.34493993371725,-4.996128910034895,0.2,,,,,
40.0,47.646202087402344,155648,,,,,,,,,,,,,,,
40.0,47.031227111816406,156672,21.208831787109375,0.0043493826,-0.01290564677947259,3e-05,760,1.1920928955078125e-07,0.011669921875,25.75361829996109,-4.975971035659313,0.2,,,,,
40.0,50.378944396972656,157696,,,,,,,,,,,,,,,
40.0,53.52399826049805,158720,18.17323875427246,0.0054688035,-0.016482775249824045,3e-05,770,0.0,0.023291015625,30.196201293170454,-4.964371130615473,0.2,,,,,
40.0,46.659034729003906,159744,,,,,,,,,,,,,,,
40.0,49.924522399902344,160768,18.817432403564453,0.0050977687,-0.015578888389791245,3e-05,780,0.0,0.01259765625,29.86296011209488,-4.93275735899806,0.2,,,,,
40.0,49.440940856933594,161792,,,,,,,,,,,,,,,
40.0,52.450958251953125,162816,23.185863494873047,0.0043046866,-0.01438176814262988,3e-05,790,0.0,0.01494140625,29.80599295347929,-4.907439036667347,0.2,,,,,
40.0,54.05595779418945,163840,,,,,,,,,,,,,,,
,,163840,,,,,,,,,,,80,354,40.0,461,50.27414399
40.0,43.864585876464844,164864,25.487890243530273,0.0051222974,-0.015358691348592402,3e-05,800,0.0,0.021484375,28.23823876529932,-4.8933763459324835,0.2,,,,,
40.0,53.28329086303711,165888,,,,,,,,,,,,,,,
40.0,49.03044128417969,166912,20.231548309326172,0.004089096,-0.01266223696511588,3e-05,810,4.76837158203125e-07,0.00947265625,29.806591676175593,-4.881220195442438,0.2,,,,,
40.0,51.42206573486328,167936,,,,,,,,,,,,,,,
40.0,48.041221618652344,168960,16.89524269104004,0.0052984464,-0.014007794514327543,3e-05,820,0.0,0.01083984375,29.021322527527808,-4.854790478944778,0.2,,,,,
40.0,51.677085876464844,169984,,,,,,,,,,,,,,,
40.0,49.305572509765625,171008,20.262794494628906,0.006111234,-0.016909059526733473,3e-05,830,0.0,0.01806640625,29.029527470469475,-4.823723177611828,0.2,,,,,
40.0,50.19184494018555,172032,,,,,,,,,,,,,,,
40.0,51.94368362426758,173056,19.381057739257812,0.0048003495,-0.014312686779157957,3e-05,840,0.0,0.009765625,23.74204128086567,-4.806674110144376,0.2,,,,,
40.0,52.3437385559082,174080,,,,,,,,,,,,,,,
40.0,53.69453430175781,175104,18.132423400878906,0.006114432,-0.01532672034772986,3e-05,850,0.0,0.016064453125,25.71598544716835,-4.807218904793262,0.2,,,,,
40.0,51.002952575683594,176128,,,,,,,,,,,,,,,
40.0,50.86869812011719,177152,21.673965454101562,0.0053526983,-0.014024125329888193,3e-05,860,0.0,0.010986328125,29.531763526797295,-4.78293187469244,0.2,,,,,
40.0,50.084747314453125,178176,,,,,,,,,,,,,,,
40.0,46.55909729003906,179200,17.545351028442383,0.0065031755,-0.016973475323902677,3e-05,870,0.0,0.0232421875,27.71556213796139,-4.749493994563818,0.2,,,,,
40.0,52.5460205078125,180224,,,,,,,,,,,,,,,
40.0,51.312286376953125,181248,25.810579299926758,0.005628608,-0.015591278256033547,3e-05,880,0.0,0.018603515625,28.203128245472907,-4.730171515792608,0.2,,,,,
40.0,48.842315673828125,182272,,,,,,,,,,,,,,,
40.0,44.6234130859375,183296,20.628446578979492,0.0041866023,-0.010484109085882664,3e-05,890,0.0,0.004443359375,27.48276585638523,-4.714885055273771,0.2,,,,,
40.0,55.989166259765625,184320,,,,,,,,,,,,,,,
,,184320,,,,,,,,,,,90,399,40.0,461,51.3784195
