time/total_timesteps,eval/mean_reward,eval/mean_ep_length,train/value_loss,train/learning_rate,train/entropy_loss,train/policy_gradient_loss,train/explained_variance,train/loss,train/n_updates,train/clip_range,train/clip_fraction,train/approx_kl,time/fps,time/iterations,time/time_elapsed,rollout/ep_len_mean,rollout/ep_rew_mean
31744,15.840981483459473,180.0,41.57596929073334,0.0003,-5.509121026098728,-0.03101320130226668,-2.384185791015625e-07,22.08491325378418,150,0.2,0.319091796875,0.020656189,,,,,
32768,15.072568893432617,180.0,,,,,,,,,,,,,,,
33792,16.576810836791992,180.0,38.91057748794556,0.0003,-5.475231021642685,-0.035743616448598914,0.0,11.543816566467285,160,0.2,0.382861328125,0.02270403,,,,,
34816,15.833293914794922,180.0,,,,,,,,,,,,,,,
35840,16.018367767333984,180.0,40.69428813457489,0.0003,-5.451005607843399,-0.03395303524885094,1.1920928955078125e-06,23.522512435913086,170,0.2,0.3462890625,0.021687182,,,,,
36864,17.422870635986328,180.0,,,,,,,,,,,,,,,
37888,17.738521575927734,180.0,37.35901275277138,0.0003,-5.397226418554783,-0.035685033624758944,4.881620407104492e-05,18.083194732666016,180,0.2,0.358984375,0.023845851,,,,,
38912,14.115497589111328,180.0,,,,,,,,,,,,,,,
39936,18.0599365234375,180.0,37.604132837057115,0.0003,-5.373721762001514,-0.034651359768758994,0.0,25.746131896972656,190,0.2,0.372314453125,0.019845173,,,,,
40960,16.87854766845703,180.0,,,,,,,,,,,,,,,
40960,,,,,,,,,,,,,319,20,128,180.0,15.855514420000002
41984,16.725217819213867,180.0,36.41647541821003,0.0003,-5.3352598428726195,-0.030402214112109506,2.09808349609375e-05,22.719568252563477,200,0.2,0.346923828125,0.021140136,,,,,
43008,16.62763214111328,180.0,,,,,,,,,,,,,,,
44032,17.121440887451172,180.0,44.333395689725876,0.0003,-5.342989650368691,-0.03396733506087912,9.632110595703125e-05,19.934162139892578,210,0.2,0.3125,0.02065169,,,,,
45056,17.870281219482422,180.0,,,,,,,,,,,,,,,
46080,17.099573135375977,180.0,41.34804029464722,0.0003,-5.317713189125061,-0.02754338718805229,0.0,9.749982833862305,220,0.2,0.271533203125,0.018036548,,,,,
47104,15.609819412231445,180.0,,,,,,,,,,,,,,,
48128,16.465293884277344,180.0,37.901152262091635,0.0003,-5.283558787405491,-0.031423122287378646,0.0,34.959754943847656,230,0.2,0.290087890625,0.01979288,,,,,
49152,20.605533599853516,180.0,,,,,,,,,,,,,,,
50176,16.08809471130371,180.0,40.47322158515453,0.0003,-5.220345158874989,-0.02943699195893714,7.605552673339844e-05,29.363656997680664,240,0.2,0.337890625,0.021058543,,,,,
51200,16.170867919921875,180.0,,,,,,,,,,,,,,,
52224,18.16756820678711,180.0,39.7735079228878,0.0003,-5.160975714027882,-0.0311484102421673,0.0,19.912334442138672,250,0.2,0.353173828125,0.019577494,,,,,
53248,19.212799072265625,180.0,,,,,,,,,,,,,,,
54272,20.311687469482422,180.0,38.04574926495552,0.0003,-5.142146603763104,-0.036026184567163,-1.1920928955078125e-07,15.37814712524414,260,0.2,0.335302734375,0.022174617,,,,,
55296,17.36666488647461,180.0,,,,,,,,,,,,,,,
56320,18.461685180664062,180.0,43.024808946251866,0.0003,-5.101611465215683,-0.02754991781839635,-1.1920928955078125e-07,23.24762725830078,270,0.2,0.281005859375,0.020482272,,,,,
57344,19.465831756591797,180.0,,,,,,,,,,,,,,,
58368,17.56951904296875,180.0,42.7126557469368,0.0003,-5.063112762570381,-0.0317786465791869,0.0,27.416189193725586,280,0.2,0.319140625,0.020848526,,,,,
59392,21.12427520751953,180.0,,,,,,,,,,,,,,,
60416,19.655405044555664,180.0,42.30837783813477,0.0003,-5.050098744034767,-0.03268606338824611,0.0,32.178680419921875,290,0.2,0.3232421875,0.022401895,,,,,
61440,18.289703369140625,180.0,,,,,,,,,,,,,,,
61440,,,,,,,,,,,,,319,30,192,180.0,18.45560418
62464,21.628938674926758,180.0,40.984454318881035,0.0003,-4.9767898008227345,-0.029849631908291485,0.0,23.6466121673584,300,0.2,0.333837890625,0.021865167,,,,,
63488,21.173542022705078,180.0,,,,,,,,,,,,,,,
64512,21.787769317626953,180.0,40.07236750721931,0.0003,-4.918247365951538,-0.02849158773024101,0.0,22.400266647338867,310,0.2,0.3185546875,0.020041812,,,,,
65536,22.262304306030273,180.0,,,,,,,,,,,,,,,
66560,21.45688247680664,180.0,31.396020743250848,0.0003,-4.880901618301868,-0.027995681465108647,-1.1920928955078125e-07,15.661340713500977,320,0.2,0.2845703125,0.02058122,,,,,
67584,24.421627044677734,180.0,,,,,,,,,,,,,,,
68608,22.710161209106445,180.0,46.33208725452423,0.0003,-4.875498358905316,-0.026956443410017527,0.0,14.05675220489502,330,0.2,0.267822265625,0.019362118,,,,,
69632,24.025678634643555,180.0,,,,,,,,,,,,,,,
70656,23.806713104248047,180.0,37.32780151963234,0.0003,-4.800238187611103,-0.027139729374903256,0.0,15.889988899230957,340,0.2,0.283740234375,0.019409968,,,,,
71680,24.498632431030273,180.0,,,,,,,,,,,,,,,
72704,22.504117965698242,180.0,46.893442744016646,0.0003,-4.759912395477295,-0.026961484083585674,0.0002550482749938965,12.154759407043457,350,0.2,0.27421875,0.01946461,,,,,
73728,24.954940795898438,180.0,,,,,,,,,,,,,,,
74752,24.473657608032227,180.0,40.72852334678173,0.0003,-4.642785316705703,-0.02685531467141118,0.0,17.512470245361328,360,0.2,0.288134765625,0.019483902,,,,,
75776,25.93277359008789,180.0,,,,,,,,,,,,,,,
76800,26.18198013305664,180.0,39.60716804265976,0.0003,-4.482842588424683,-0.02765156718378421,0.0,24.914533615112305,370,0.2,0.31083984375,0.020707464,,,,,
77824,28.16234588623047,180.0,,,,,,,,,,,,,,,
78848,26.891653060913086,180.0,39.670665341615674,0.0003,-4.403016458451748,-0.02512277145142434,1.7881393432617188e-07,12.227197647094727,380,0.2,0.257861328125,0.016368086,,,,,
79872,27.845184326171875,180.0,,,,,,,,,,,,,,,
80896,27.582630157470703,180.0,38.01426859200001,0.0003,-4.33917925208807,-0.020309901030850598,0.0,18.187427520751953,390,0.2,0.221142578125,0.01617577,,,,,
81920,27.75532341003418,180.0,,,,,,,,,,,,,,,
81920,,,,,,,,,,,,,316,40,258,180.0,25.2393557
82944,28.5164852142334,180.0,40.80618874430657,0.0003,-4.226938141882419,-0.02377645119850058,0.0,22.576995849609375,400,0.2,0.257470703125,0.017605409,,,,,
83968,32.54937744140625,180.0,,,,,,,,,,,,,,,
84992,30.421451568603516,180.0,41.96366888284683,0.0003,-4.257954987883568,-0.02442802468140144,0.0,32.651031494140625,410,0.2,0.244580078125,0.016553376,,,,,
86016,28.627788543701172,180.0,,,,,,,,,,,,,,,
87040,33.726295471191406,180.0,39.78044146597385,0.0003,-4.188593293726444,-0.02366368647781201,0.0,34.01292037963867,420,0.2,0.274951171875,0.019163212,,,,,
88064,31.357410430908203,180.0,,,,,,,,,,,,,,,
89088,30.438398361206055,180.0,46.78854651451111,0.0003,-4.084621287882328,-0.024674728101672372,-8.344650268554688e-07,31.20791244506836,430,0.2,0.247119140625,0.017429486,,,,,
90112,30.829147338867188,180.0,,,,,,,,,,,,,,,
91136,33.05894470214844,180.0,39.114716374874114,0.0003,-3.9329909317195417,-0.020618698873295215,0.0,17.71432876586914,440,0.2,0.2203125,0.017484538,,,,,
92160,32.00025939941406,180.0,,,,,,,,,,,,,,,
93184,33.580474853515625,180.0,43.19145988821983,0.0003,-3.918091110140085,-0.02037895865069004,0.0,32.61222839355469,450,0.2,0.224072265625,0.014918505,,,,,
94208,34.256813049316406,180.0,,,,,,,,,,,,,,,
95232,38.65516662597656,180.0,37.96769678592682,0.0003,-3.833243218809366,-0.01944486444190261,-1.1920928955078125e-07,22.871294021606445,460,0.2,0.2001953125,0.013916198,,,,,
96256,35.27676010131836,180.0,,,,,,,,,,,,,,,
97280,38.672401428222656,180.0,44.180272698402405,0.0003,-3.8446424186229704,-0.02102188303542789,5.960464477539063e-08,27.831748962402344,470,0.2,0.196484375,0.01483604,,,,,
98304,35.086402893066406,180.0,,,,,,,,,,,,,,,
99328,38.29930877685547,180.0,42.670863789319995,0.0003,-3.951264151185751,-0.021577988426724915,0.0,10.520055770874023,480,0.2,0.219873046875,0.017873222,,,,,
100352,37.325782775878906,180.0,,,,,,,,,,,,,,,
101376,42.23707962036133,180.0,46.460629016160965,0.0003,-3.834638272225857,-0.01989907416718779,0.0,15.441472053527832,490,0.2,0.21826171875,0.018523857,,,,,
102400,38.210731506347656,180.0,,,,,,,,,,,,,,,
102400,,,,,,,,,,,,,317,50,322,180.0,34.75558792
103424,43.7740478515625,180.0,42.71758378446102,0.0003,-3.77550737708807,-0.019121541322238044,0.0,26.80762481689453,500,0.2,0.194189453125,0.015671046,,,,,
104448,39.457908630371094,180.0,,,,,,,,,,,,,,,
105472,42.47703552246094,180.0,45.20802715420723,0.0003,-3.7055504389107226,-0.016016426043643152,0.0,31.029170989990234,510,0.2,0.196142578125,0.013822831,,,,,
106496,41.72697830200195,180.0,,,,,,,,,,,,,,,
107520,42.913490295410156,180.0,40.12510874271393,0.0003,-3.742643942683935,-0.020461612998769852,0.0,18.381004333496094,520,0.2,0.202099609375,0.014757197,,,,,
108544,41.04573059082031,180.0,,,,,,,,,,,,,,,
109568,41.84431457519531,180.0,39.02476606369019,0.0003,-3.667575191706419,-0.016423261318414005,0.0,16.546689987182617,530,0.2,0.191064453125,0.014914656,,,,,
110592,43.17861557006836,180.0,,,,,,,,,,,,,,,
111616,43.337623596191406,180.0,43.97704861164093,0.0003,-3.7214158535003663,-0.02245061912253732,0.0,28.785791397094727,540,0.2,0.19580078125,0.019628134,,,,,
112640,42.40126037597656,180.0,,,,,,,,,,,,,,,
113664,40.66858673095703,180.0,39.11907846927643,0.0003,-3.7293534360826017,-0.018807354450109413,1.1920928955078125e-07,23.759178161621094,550,0.2,0.207763671875,0.015228916,,,,,
114688,47.09268569946289,180.0,,,,,,,,,,,,,,,
115712,44.19449234008789,180.0,51.24167268872261,0.0003,-3.7093666158616543,-0.019157337269280105,0.0,31.337251663208008,560,0.2,0.20537109375,0.016979545,,,,,
116736,45.537845611572266,180.0,,,,,,,,,,,,,,,
117760,44.13532257080078,180.0,35.654322552680966,0.0003,-3.6761770009994508,-0.016816407436272128,-1.1920928955078125e-07,19.84951400756836,570,0.2,0.177783203125,0.01368824,,,,,
118784,43.14483642578125,180.0,,,,,,,,,,,,,,,
119808,47.18379211425781,180.0,41.81072837114334,0.0003,-3.6288982361555098,-0.017468124473816717,0.0,19.958364486694336,580,0.2,0.1921875,0.0152535625,,,,,
120832,44.485374450683594,180.0,,,,,,,,,,,,,,,
121856,48.82127380371094,180.0,45.07486902475357,0.0003,-3.6007128074765204,-0.016957930632634087,-1.1920928955078125e-07,27.736207962036133,590,0.2,0.180419921875,0.013802599,,,,,
122880,47.6048583984375,180.0,,,,,,,,,,,,,,,
122880,,,,,,,,,,,,,317,60,386,180.0,44.73110763999998
123904,47.144466400146484,180.0,42.12059248685837,0.0003,-3.6391961477696895,-0.015506768984050723,0.0,27.043228149414062,600,0.2,0.183056640625,0.015431739,,,,,
124928,47.8192138671875,180.0,,,,,,,,,,,,,,,
