time/total_timesteps,eval/mean_reward,eval/mean_ep_length,train/learning_rate,train/policy_gradient_loss,train/value_loss,train/clip_fraction,train/loss,train/clip_range,train/explained_variance,train/approx_kl,train/n_updates,train/entropy_loss,rollout/ep_rew_mean,rollout/ep_len_mean,time/fps,time/time_elapsed,time/iterations
186368,29.042055130004883,80.0,3e-05,-0.012064697898131272,33.45805175676942,0.1643798828125,14.075425148010254,0.1,0.0,0.0033701132,450,-5.689962056651711,,,,,
188416,29.571130752563477,80.0,,,,,,,,,,,,,,,
190464,30.77727508544922,80.0,3e-05,-0.011858116362600413,34.65911936759949,0.171826171875,22.2252254486084,0.1,0.0,0.0035471693,460,-5.6816377934068445,,,,,
192512,25.522605895996094,80.0,,,,,,,,,,,,,,,
194560,31.134458541870117,80.0,3e-05,-0.011230365483788774,30.031939009577037,0.1650634765625,19.40494155883789,0.1,0.0,0.0033703167,470,-5.675012480467558,,,,,
196608,32.793495178222656,80.0,,,,,,,,,,,,,,,
198656,30.327491760253906,80.0,3e-05,-0.010920704566888161,34.803914016485216,0.1600341796875,31.15482521057129,0.1,0.0,0.0034791932,480,-5.669904191792011,,,,,
200704,31.22832489013672,80.0,,,,,,,,,,,,,,,
202752,34.07099151611328,80.0,3e-05,-0.012177286898622696,33.75491719171405,0.1725341796875,21.785762786865234,0.1,0.0,0.0035377382,490,-5.660591811314225,,,,,
204800,26.829893112182617,80.0,,,,,,,,,,,,,,,
204800,,,,,,,,,,,,,30.83323907,80.0,231,883,50
206848,31.079702377319336,80.0,3e-05,-0.011258709857247595,33.949717082828286,0.158154296875,22.7371883392334,0.1,0.0,0.0033327588,500,-5.651484398543834,,,,,
208896,31.393320083618164,80.0,,,,,,,,,,,,,,,
210944,36.33838653564453,80.0,3e-05,-0.011450032247557829,33.53608802631497,0.1606689453125,21.981599807739258,0.1,0.0,0.0034228507,510,-5.640905152633787,,,,,
212992,32.25159454345703,80.0,,,,,,,,,,,,,,,
215040,31.014108657836914,80.0,3e-05,-0.011877691891822906,33.81810086891055,0.1679443359375,28.244688034057617,0.1,0.0,0.0035401313,520,-5.632852237299085,,,,,
217088,32.71087646484375,80.0,,,,,,,,,,,,,,,
219136,31.29486656188965,80.0,3e-05,-0.012164655516608036,33.884885201603176,0.167919921875,21.758695602416992,0.1,0.0,0.003450819,530,-5.624947023019194,,,,,
221184,31.7579402923584,80.0,,,,,,,,,,,,,,,
223232,30.99390983581543,80.0,3e-05,-0.01167009231830889,34.7891379930079,0.1708740234375,26.325103759765625,0.1,0.0,0.0033196467,540,-5.611293481290341,,,,,
225280,31.712614059448242,80.0,,,,,,,,,,,,,,,
227328,33.896141052246094,80.0,3e-05,-0.01349461740028346,34.23846065104008,0.193359375,24.472736358642578,0.1,0.0,0.0036442657,550,-5.600174831598997,,,,,
229376,33.40092849731445,80.0,,,,,,,,,,,,,,,
