eval/mean_ep_length,eval/mean_reward,time/total_timesteps,train/explained_variance,train/loss,train/entropy_loss,train/clip_fraction,train/clip_range,train/policy_gradient_loss,train/learning_rate,train/value_loss,train/n_updates,train/approx_kl,rollout/ep_rew_mean,time/fps,time/iterations,time/time_elapsed,rollout/ep_len_mean
40.0,67.38438415527344,1240064,0.0,14236.6103515625,-4.104331494867802,0.3400390625,0.2,0.01006392913259333,0.0003,34173.47366333008,6050,0.031646986,,,,,
40.0,68.59530639648438,1241088,,,,,,,,,,,,,,,
40.0,70.79029083251953,1242112,-1.1920928955078125e-07,15072.5419921875,-4.1023719131946565,0.24267578125,0.2,0.010632049947162159,0.0003,31189.103619384765,6060,0.022635479,,,,,
40.0,71.92222595214844,1243136,,,,,,,,,,,,,,,
40.0,68.35903930664062,1244160,5.960464477539063e-08,15541.828125,-4.12051884829998,0.31689453125,0.2,0.016544417940895072,0.0003,35422.68602905273,6070,0.028178375,,,,,
40.0,73.6329345703125,1245184,,,,,,,,,,,,,,,
40.0,69.70567321777344,1246208,5.960464477539063e-08,13874.8671875,-4.140153992176056,0.314892578125,0.2,0.012998327224340755,0.0003,34550.25076904297,6080,0.026869081,,,,,
40.0,69.92264556884766,1247232,,,,,,,,,,,,,,,
40.0,69.22101593017578,1248256,0.0,15327.673828125,-4.157461482286453,0.37861328125,0.2,0.01652041948400438,0.0003,31685.230090332032,6090,0.033659466,,,,,
40.0,68.33290100097656,1249280,,,,,,,,,,,,,,,
,,1249280,,,,,,,,,,,1711.0955903799997,476,610,2623,40.0
40.0,74.13552856445312,1250304,5.960464477539063e-08,14680.87109375,-4.150600974261761,0.329833984375,0.2,0.016619399406772574,0.0003,29528.551544189453,6100,0.031366408,,,,,
40.0,72.49169921875,1251328,,,,,,,,,,,,,,,
40.0,69.53756713867188,1252352,0.0,12979.2578125,-4.146045988798141,0.340966796875,0.2,0.013318202216760255,0.0003,32093.23793334961,6110,0.029732503,,,,,
40.0,75.70914459228516,1253376,,,,,,,,,,,,,,,
40.0,70.16755676269531,1254400,0.0,19961.96484375,-4.136885073781014,0.302978515625,0.2,0.009594076756911818,0.0003,34648.12806396485,6120,0.027522057,,,,,
40.0,68.46188354492188,1255424,,,,,,,,,,,,,,,
40.0,73.73490142822266,1256448,0.0,18812.25390625,-4.130854703485966,0.3169921875,0.2,0.008496056652802508,0.0003,31622.84794921875,6130,0.026860427,,,,,
40.0,69.88636779785156,1257472,,,,,,,,,,,,,,,
40.0,70.72090148925781,1258496,5.960464477539063e-08,14192.630859375,-4.14724832624197,0.296923828125,0.2,0.014547160180518404,0.0003,32370.27427368164,6140,0.02653318,,,,,
40.0,66.88093566894531,1259520,,,,,,,,,,,,,,,
40.0,68.36971282958984,1260544,0.0,14979.494140625,-4.129426796734333,0.3576171875,0.2,0.017975985309749375,0.0003,31720.84876098633,6150,0.030510921,,,,,
