time/total_timesteps,eval/mean_ep_length,eval/mean_reward,train/policy_gradient_loss,train/value_loss,train/entropy_loss,train/learning_rate,train/loss,train/clip_range,train/explained_variance,train/clip_fraction,train/approx_kl,train/n_updates,time/fps,rollout/ep_rew_mean,time/iterations,time/time_elapsed,rollout/ep_len_mean
111616,27.0,32.70892333984375,-0.051466885686386375,52926.24583740234,-5.717301627993583,0.0003,26103.5703125,0.2,0.0,0.303125,0.03175697,540,,,,,
112640,27.0,35.07130432128906,,,,,,,,,,,,,,,
113664,27.0,37.014678955078125,-0.05303437466500327,48647.862060546875,-5.712732703983784,0.0003,23034.5078125,0.2,0.0,0.309375,0.032764137,550,,,,,
114688,27.0,35.117088317871094,,,,,,,,,,,,,,,
115712,27.0,40.57878875732422,-0.05426692981272936,48167.78486328125,-5.712066815793515,0.0003,20871.685546875,0.2,0.0,0.306298828125,0.033528868,560,,,,,
116736,27.0,41.59185028076172,,,,,,,,,,,,,,,
117760,27.0,35.81127166748047,-0.05083384798490442,51124.42568359375,-5.708174507319927,0.0003,24052.349609375,0.2,0.0,0.311376953125,0.033203863,570,,,,,
118784,27.0,35.8857536315918,,,,,,,,,,,,,,,
119808,27.0,37.16349411010742,-0.04984159334562719,49048.2952758789,-5.7014122501015665,0.0003,25381.974609375,0.2,0.0,0.322998046875,0.034793876,580,,,,,
120832,27.0,34.28175735473633,,,,,,,,,,,,,,,
121856,27.0,36.850059509277344,-0.05542102174367756,53580.69201660156,-5.695990081131458,0.0003,21913.03515625,0.2,0.0,0.307861328125,0.032795317,590,,,,,
122880,27.0,41.06256866455078,,,,,,,,,,,,,,,
122880,,,,,,,,,,,,,348,622.6239022799999,60,352,27.0
123904,27.0,39.849037170410156,-0.05306670485297218,45518.64090576172,-5.684588345885277,0.0003,23823.548828125,0.2,0.0,0.322119140625,0.034909584,600,,,,,
124928,27.0,32.869144439697266,,,,,,,,,,,,,,,
125952,27.0,36.109153747558594,-0.052270179433980955,46502.15290527344,-5.671870619058609,0.0003,23245.376953125,0.2,0.0,0.3341796875,0.035205565,610,,,,,
126976,27.0,26.00105094909668,,,,,,,,,,,,,,,
128000,27.0,32.10894012451172,-0.053424480592366305,46738.84652099609,-5.671019670367241,0.0003,24346.330078125,0.2,0.0,0.323779296875,0.036344174,620,,,,,
129024,27.0,33.95268630981445,,,,,,,,,,,,,,,
130048,27.0,39.0767822265625,-0.05303357988013886,45181.1920288086,-5.669186465442181,0.0003,20652.810546875,0.2,0.0,0.311279296875,0.0333056,630,,,,,
131072,27.0,36.00811004638672,,,,,,,,,,,,,,,
132096,27.0,35.461456298828125,-0.053597136272583154,52152.712927246095,-5.668635435402393,0.0003,27489.6484375,0.2,0.0,0.301513671875,0.032315504,640,,,,,
133120,27.0,39.10015869140625,,,,,,,,,,,,,,,
134144,27.0,37.561058044433594,-0.0546128187153954,50522.548400878906,-5.665663222968578,0.0003,26462.091796875,0.2,0.0,0.31875,0.034704212,650,,,,,
135168,27.0,43.59143829345703,,,,,,,,,,,,,,,
136192,27.0,38.658905029296875,-0.05569771641748957,57618.7138671875,-5.656125789880752,0.0003,24367.67578125,0.2,-1.1920928955078125e-07,0.33115234375,0.03304614,660,,,,,
137216,27.0,35.0838623046875,,,,,,,,,,,,,,,
138240,27.0,36.50346374511719,-0.05250311942072585,50831.79240722656,-5.641682973504066,0.0003,25197.15234375,0.2,0.0,0.31044921875,0.032831825,670,,,,,
139264,27.0,39.48699188232422,,,,,,,,,,,,,,,
140288,27.0,38.32516860961914,-0.059085569041781125,53718.84495849609,-5.622742508351803,0.0003,27368.265625,0.2,0.0,0.31708984375,0.034471303,680,,,,,
141312,27.0,36.32640838623047,,,,,,,,,,,,,,,
142336,27.0,35.250335693359375,-0.05309785614372231,50711.99624023437,-5.612680082023144,0.0003,24916.267578125,0.2,0.0,0.3013671875,0.031726815,690,,,,,
143360,27.0,37.91550827026367,,,,,,,,,,,,,,,
143360,,,,,,,,,,,,,349,633.8394845500001,70,409,27.0
144384,27.0,35.04636764526367,-0.05111352896783501,48587.96790771485,-5.612568220496177,0.0003,25487.009765625,0.2,0.0,0.315478515625,0.033657633,700,,,,,
145408,27.0,35.205955505371094,,,,,,,,,,,,,,,
146432,27.0,41.39682388305664,-0.048937691794708374,53606.15845947266,-5.620872288942337,0.0003,28492.2890625,0.2,0.0,0.2958984375,0.02970943,710,,,,,
147456,27.0,40.19659423828125,,,,,,,,,,,,,,,
148480,27.0,42.51325225830078,-0.047840483824256805,48640.459899902344,-5.631370484828949,0.0003,20765.90625,0.2,0.0,0.32802734375,0.033106834,720,,,,,
149504,27.0,38.20608901977539,,,,,,,,,,,,,,,
150528,27.0,30.478424072265625,-0.05604013519478031,53214.58575439453,-5.629788111150265,0.0003,27373.5078125,0.2,0.0,0.303173828125,0.032173656,730,,,,,
151552,27.0,32.30669403076172,,,,,,,,,,,,,,,
152576,27.0,38.68640899658203,-0.056057594093726945,43307.6257019043,-5.625708851218223,0.0003,19674.333984375,0.2,0.0,0.332373046875,0.036219105,740,,,,,
153600,27.0,38.986045837402344,,,,,,,,,,,,,,,
154624,27.0,35.149532318115234,-0.05613043729681522,49082.446740722655,-5.620580703020096,0.0003,25032.533203125,0.2,0.0,0.307958984375,0.03198003,750,,,,,
155648,27.0,39.451358795166016,,,,,,,,,,,,,,,
156672,27.0,33.106101989746094,-0.05453839526162483,47551.52716064453,-5.618510356545448,0.0003,21628.77734375,0.2,0.0,0.325537109375,0.03332743,760,,,,,
157696,27.0,36.93103790283203,,,,,,,,,,,,,,,
158720,27.0,41.46982955932617,-0.05530454435502179,46610.248364257815,-5.623585437238217,0.0003,21194.291015625,0.2,0.0,0.324462890625,0.031858563,770,,,,,
159744,27.0,36.82472610473633,,,,,,,,,,,,,,,
160768,27.0,41.799678802490234,-0.04994024186162278,46962.11328125,-5.623770286142826,0.0003,21801.583984375,0.2,0.0,0.306689453125,0.033127904,780,,,,,
161792,27.0,34.83681106567383,,,,,,,,,,,,,,,
162816,27.0,30.126789093017578,-0.0538249179138802,46490.4478515625,-5.624190367758274,0.0003,19749.25390625,0.2,0.0,0.333642578125,0.035960294,790,,,,,
163840,27.0,39.79052734375,,,,,,,,,,,,,,,
163840,,,,,,,,,,,,,349,626.64232925,80,468,27.0
164864,27.0,37.6046257019043,-0.05024933533277363,45496.85701904297,-5.630145265161991,0.0003,27527.482421875,0.2,0.0,0.32333984375,0.033508733,800,,,,,
165888,27.0,31.540597915649414,,,,,,,,,,,,,,,
166912,27.0,34.74573516845703,-0.0453898337262217,41853.08619995117,-5.622684931755066,0.0003,20639.064453125,0.2,0.0,0.325732421875,0.034333475,810,,,,,
167936,27.0,33.49888229370117,,,,,,,,,,,,,,,
168960,27.0,37.21438980102539,-0.05811860316316597,51867.66750488281,-5.613431710004806,0.0003,20959.759765625,0.2,0.0,0.306005859375,0.032777213,820,,,,,
169984,27.0,42.8458251953125,,,,,,,,,,,,,,,
171008,27.0,37.237266540527344,-0.05074448299710639,44529.718969726564,-5.613869498670101,0.0003,20003.482421875,0.2,5.960464477539063e-08,0.26640625,0.02652546,830,,,,,
172032,27.0,35.69860076904297,,,,,,,,,,,,,,,
173056,27.0,40.36048889160156,-0.053105495710042305,48580.5341796875,-5.617645426094532,0.0003,18862.166015625,0.2,-1.1920928955078125e-07,0.31982421875,0.030926842,840,,,,,
174080,27.0,39.668357849121094,,,,,,,,,,,,,,,
175104,27.0,37.25646209716797,-0.053772183129331096,50624.40682373047,-5.616763801872731,0.0003,24923.94921875,0.2,0.0,0.304443359375,0.031871594,850,,,,,
176128,27.0,39.30385208129883,,,,,,,,,,,,,,,
