time/total_timesteps,eval/mean_ep_length,eval/mean_reward,train/policy_gradient_loss,train/entropy_loss,train/approx_kl,train/explained_variance,train/n_updates,train/clip_fraction,train/learning_rate,train/value_loss,train/clip_range,train/loss,rollout/ep_rew_mean,time/iterations,rollout/ep_len_mean,time/fps,time/time_elapsed
62464,180.0,62.3825569152832,0.003513236951403087,-1.5786540284752846,0.37731075,0.513446182012558,300,0.726806640625,0.003,5.51857942417264,0.2,2.1996243000030518,,,,,
63488,180.0,66.7629623413086,,,,,,,,,,,,,,,
64512,180.0,64.57852172851562,-0.014323221135055065,-1.6824239756911994,0.29157197,0.28477048873901367,310,0.6650390625,0.003,7.312427206151187,0.2,3.4344289302825928,,,,,
65536,180.0,60.72600173950195,,,,,,,,,,,,,,,
66560,180.0,69.13124084472656,0.0036852232631645167,-1.603500696644187,0.29360008,0.30096858739852905,320,0.640869140625,0.003,5.542882863990963,0.2,0.9015482664108276,,,,,
67584,180.0,67.28370666503906,,,,,,,,,,,,,,,
68608,180.0,60.50206756591797,-0.028101973972934503,-1.3543786955997348,0.3923195,0.4611108899116516,330,0.629296875,0.003,7.97059060819447,0.2,4.493468284606934,,,,,
69632,180.0,72.28611755371094,,,,,,,,,,,,,,,
70656,180.0,68.74275207519531,-0.026663062568331952,-1.5412801798433065,0.73783994,0.5062469244003296,340,0.652880859375,0.003,5.2300512961111965,0.2,3.7559192180633545,,,,,
71680,180.0,67.79823303222656,,,,,,,,,,,,,,,
72704,180.0,63.2490119934082,-0.028319143148110015,-1.40090656504035,0.3323056,0.08821970224380493,350,0.60009765625,0.003,8.966197598725557,0.2,3.547287940979004,,,,,
73728,180.0,60.99394226074219,,,,,,,,,,,,,,,
74752,180.0,70.33599853515625,-0.0278552008618135,-1.6197369167581201,0.31254986,0.367731511592865,360,0.6892578125,0.003,5.37104072868824,0.2,3.014509677886963,,,,,
75776,180.0,75.06149291992188,,,,,,,,,,,,,,,
76800,180.0,69.50276184082031,-0.006328288833174156,-1.4841830940917133,0.39975163,0.626206636428833,370,0.633642578125,0.003,4.399422155693173,0.2,1.6766232252120972,,,,,
77824,180.0,74.46980285644531,,,,,,,,,,,,,,,
78848,180.0,72.01061248779297,-0.02593738625291735,-1.657707256823778,4.0715475,0.6379027962684631,380,0.64306640625,0.003,4.209578770305962,0.2,1.6882370710372925,,,,,
