time/total_timesteps,eval/mean_reward,eval/mean_ep_length,time/time_elapsed,time/iterations,rollout/ep_rew_mean,rollout/ep_len_mean,time/fps,train/clip_range,train/explained_variance,train/approx_kl,train/clip_fraction,train/policy_gradient_loss,train/value_loss,train/n_updates,train/learning_rate,train/std,train/entropy_loss,train/loss
285840,9935.991584,1200.0,,,,,,0.2,-1.1920928955078125e-07,0.033505347,0.350830078125,-0.036202870856504886,1.5462342513725162,1390,0.0003,0.9894647002220154,-280.7260214805603,0.6807608008384705
287040,9906.249648,1200.0,,,,,,,,,,,,,,,,
287488,,,849,26,4429.2830168,1200.0,62,,,,,,,,,,,
288240,10475.240135,1200.0,,,,,,0.2,5.960464477539063e-08,0.03190121,0.349658203125,-0.034220811488921754,1.942380102723837,1400,0.0003,0.989467203617096,-280.74175987243655,0.8709077835083008
289440,10480.107515,1200.0,,,,,,,,,,,,,,,,
289536,,,883,27,4431.77900593,1200.0,62,,,,,,,,,,,
290640,7858.467106,1200.0,,,,,,0.2,5.960464477539063e-08,0.033587523,0.342578125,-0.033513697434682396,1.7364650256931782,1410,0.0003,0.9898020029067993,-280.77281017303466,0.6523057818412781
291584,,,909,28,4432.80026394,1200.0,63,,,,,,,,,,,
291840,10391.738565,1200.0,,,,,,0.2,0.0,0.03073806,0.33525390625,-0.03140720905794296,2.364695895090699,1420,0.0003,0.9897630214691162,-280.8147192001343,1.1014702320098877
293040,10412.170563,1200.0,,,,,,,,,,,,,,,,
293632,,,944,29,4435.2284244699995,1200.0,62,,,,,,,,,,,
294240,11094.797253,1200.0,,,,,,0.2,0.0,0.035694588,0.391748046875,-0.041023153957212344,1.7885844910517334,1430,0.0003,0.9897929430007935,-280.8103249549866,0.9706851243972778
295440,11105.263632,1200.0,,,,,,,,,,,,,,,,
295680,,,978,30,4437.04571356,1200.0,62,,,,,,,,,,,
296640,10617.647832,1200.0,,,,,,0.2,0.0,0.03479261,0.358349609375,-0.03681593297224026,1.9912839248776435,1440,0.0003,0.9888317584991455,-280.67078971862793,0.8848962187767029
297728,,,1004,31,4437.87901875,1200.0,63,,,,,,,,,,,
297840,10662.066789,1200.0,,,,,,0.2,-1.1920928955078125e-07,0.034222003,0.3564453125,-0.0349461377307307,1.8246180269867183,1450,0.0003,0.9888496994972229,-280.5794059753418,0.8649460077285767
