eval/mean_reward,time/total_timesteps,eval/mean_ep_length,train/clip_fraction,train/learning_rate,train/entropy_loss,train/loss,train/policy_gradient_loss,train/explained_variance,train/clip_range,train/approx_kl,train/value_loss,train/n_updates,rollout/ep_len_mean,time/iterations,time/time_elapsed,rollout/ep_rew_mean,time/fps
52.14869689941406,545792,40.0,0.4080078125,0.0003,-5.758793905377388,40115.71875,-0.007359411525249016,0.0,0.2,0.06303185,69196.22653808593,2660,,,,,
59.209869384765625,546816,40.0,,,,,,,,,,,,,,,
49.70195770263672,547840,40.0,0.430908203125,0.0003,-5.749288964271545,24197.755859375,-0.005583987045247341,5.960464477539063e-08,0.2,0.06392795,51642.11145019531,2670,,,,,
50.29469299316406,548864,40.0,,,,,,,,,,,,,,,
54.937965393066406,549888,40.0,0.414501953125,0.0003,-5.744114238023758,27514.3984375,-0.0028250899544218556,0.0,0.2,0.06486527,54890.286560058594,2680,,,,,
50.77247619628906,550912,40.0,,,,,,,,,,,,,,,
48.00651550292969,551936,40.0,0.41162109375,0.0003,-5.734134176373482,34343.52734375,-0.006345279810193461,0.0,0.2,0.06221481,70995.944140625,2690,,,,,
49.58216094970703,552960,40.0,,,,,,,,,,,,,,,
,552960,,,,,,,,,,,,40.0,270,997,1299.3190812199998,554
49.22097396850586,553984,40.0,0.435986328125,0.0003,-5.719893303513527,26338.158203125,0.005154092387965647,-1.1920928955078125e-07,0.2,0.06736533,51350.37260742187,2700,,,,,
46.032920837402344,555008,40.0,,,,,,,,,,,,,,,
54.159271240234375,556032,40.0,0.39794921875,0.0003,-5.708487927913666,22594.5234375,-0.014266980136744678,0.0,0.2,0.056129128,47561.49918212891,2710,,,,,
52.91293716430664,557056,40.0,,,,,,,,,,,,,,,
47.27693176269531,558080,40.0,0.382080078125,0.0003,-5.707391737401485,26872.001953125,-0.005140836841019336,-1.1920928955078125e-07,0.2,0.056767672,54932.65173339844,2720,,,,,
54.13093566894531,559104,40.0,,,,,,,,,,,,,,,
53.10551071166992,560128,40.0,0.4076171875,0.0003,-5.702216675877571,28450.3203125,-0.00351935213257093,0.0,0.2,0.06260257,59087.890075683594,2730,,,,,
44.689361572265625,561152,40.0,,,,,,,,,,,,,,,
44.20193099975586,562176,40.0,0.3765625,0.0003,-5.69141262024641,32810.41796875,-0.01200510246999329,5.960464477539063e-08,0.2,0.052045107,73460.64223632813,2740,,,,,
43.271209716796875,563200,40.0,,,,,,,,,,,,,,,
48.263427734375,564224,40.0,0.3927734375,0.0003,-5.701909165084362,30573.2578125,-0.005811841905233451,0.0,0.2,0.058735363,62582.97669677735,2750,,,,,
36.49351119995117,565248,40.0,,,,,,,,,,,,,,,
