eval/mean_ep_length,time/total_timesteps,eval/mean_reward,train/clip_range,train/loss,train/explained_variance,train/entropy_loss,train/learning_rate,train/value_loss,train/approx_kl,train/policy_gradient_loss,train/n_updates,train/clip_fraction,rollout/ep_rew_mean,time/time_elapsed,time/iterations,rollout/ep_len_mean,time/fps
27.0,135168,38.87464141845703,,,,,,,,,,,,,,,
27.0,136192,43.778900146484375,0.2,24194.96875,0.0,-5.744864179193973,0.0003,64125.2943359375,0.032640677,-0.055107399757253005,660,0.3189453125,,,,,
27.0,137216,43.97103500366211,,,,,,,,,,,,,,,
27.0,138240,39.59494400024414,0.2,33254.53125,0.0,-5.7405083030462265,0.0003,64473.4222290039,0.03356662,-0.05904530619736761,670,0.315771484375,,,,,
27.0,139264,44.826629638671875,,,,,,,,,,,,,,,
27.0,140288,42.6588020324707,0.2,29533.33203125,0.0,-5.736275911331177,0.0003,65640.61964111328,0.03229363,-0.05459810448228382,680,0.319189453125,,,,,
27.0,141312,45.935333251953125,,,,,,,,,,,,,,,
27.0,142336,36.0244255065918,0.2,28845.2265625,0.0,-5.729996679723262,0.0003,66728.47067871093,0.028736038,-0.06171198911033571,690,0.302294921875,,,,,
27.0,143360,34.00409698486328,,,,,,,,,,,,,,,
,143360,,,,,,,,,,,,706.12419042,519,70,27.0,275
27.0,144384,37.130985260009766,0.2,28546.73828125,0.0,-5.725825579464436,0.0003,58177.4826171875,0.03429025,-0.05441599197802134,700,0.32255859375,,,,,
27.0,145408,45.08293914794922,,,,,,,,,,,,,,,
27.0,146432,43.137847900390625,0.2,31740.775390625,0.0,-5.723055365681648,0.0003,66580.4060546875,0.029482128,-0.05584090430056676,710,0.2931640625,,,,,
27.0,147456,40.511444091796875,,,,,,,,,,,,,,,
27.0,148480,36.561946868896484,0.2,27461.142578125,-1.1920928955078125e-07,-5.715773981809616,0.0003,63377.62686767578,0.030537536,-0.054894146451260895,720,0.297412109375,,,,,
27.0,149504,43.18115997314453,,,,,,,,,,,,,,,
27.0,150528,41.31159210205078,0.2,28723.876953125,0.0,-5.707749955356121,0.0003,60858.13137207031,0.03033851,-0.056486869894433765,730,0.3,,,,,
