eval/mean_ep_length,time/total_timesteps,eval/mean_reward,train/clip_range,train/explained_variance,train/entropy_loss,train/learning_rate,train/approx_kl,train/value_loss,train/n_updates,train/policy_gradient_loss,train/clip_fraction,train/loss,time/iterations,rollout/ep_len_mean,time/fps,rollout/ep_rew_mean,time/time_elapsed
180.0,52224,17.515605926513672,0.2,0.0,-5.237553578615189,0.0002,0.020346604,19.509888749569654,250,-0.030823290865919263,0.32119140625,16.09017562866211,,,,,
180.0,53248,18.937015533447266,,,,,,,,,,,,,,,
180.0,54272,16.997211456298828,0.2,0.0,-5.206557806581259,0.0002,0.020424493,20.920668272674085,260,-0.03137026639888063,0.312451171875,23.263099670410156,,,,,
180.0,55296,18.631195068359375,,,,,,,,,,,,,,,
180.0,56320,19.387413024902344,0.2,0.0,-5.147678907960653,0.0002,0.018548312,18.336271088570356,270,-0.029359744225803296,0.30390625,16.238454818725586,,,,,
180.0,57344,20.094696044921875,,,,,,,,,,,,,,,
180.0,58368,18.640979766845703,0.2,0.0,-5.1343040898442265,0.0002,0.019229813,20.113911344483494,280,-0.03273610843789356,0.315283203125,12.401310920715332,,,,,
180.0,59392,16.930082321166992,,,,,,,,,,,,,,,
180.0,60416,18.617130279541016,0.2,0.0,-5.061667777597904,0.0002,0.019452652,19.497354427352548,290,-0.031039889484236482,0.330322265625,24.209239959716797,,,,,
180.0,61440,20.5323486328125,,,,,,,,,,,,,,,
,61440,,,,,,,,,,,,30,180.0,261,17.58715868,234
180.0,62464,19.110794067382812,0.2,0.0,-5.002880366146565,0.0002,0.018919684,18.5283090390265,300,-0.033463925388787175,0.33896484375,13.599998474121094,,,,,
180.0,63488,19.797237396240234,,,,,,,,,,,,,,,
180.0,64512,19.09877586364746,0.2,0.0,-4.9388080455362795,0.0002,0.019558128,19.361678095906974,310,-0.03265241922999849,0.323974609375,7.2489848136901855,,,,,
180.0,65536,21.270709991455078,,,,,,,,,,,,,,,
180.0,66560,22.157581329345703,0.2,0.0,-4.949440934509039,0.0002,0.02123738,21.028147036582233,320,-0.03107162239139143,0.292724609375,13.071499824523926,,,,,
180.0,67584,20.535036087036133,,,,,,,,,,,,,,,
180.0,68608,20.50326919555664,0.2,0.0,-4.913127516210079,0.0002,0.017681748,17.14213542342186,330,-0.0292275462015823,0.29560546875,14.347246170043945,,,,,
180.0,69632,22.199119567871094,,,,,,,,,,,,,,,
180.0,70656,21.995220184326172,0.2,0.0,-4.850605976581574,0.0002,0.018408798,18.981906067579985,340,-0.02899097988192807,0.32138671875,12.382174491882324,,,,,
180.0,71680,22.57220458984375,,,,,,,,,,,,,,,
180.0,72704,24.8111572265625,0.2,0.0,-4.736996359378099,0.0002,0.01915926,18.27276818230748,350,-0.030653982468356843,0.316552734375,13.891430854797363,,,,,
180.0,73728,21.731069564819336,,,,,,,,,,,,,,,
180.0,74752,23.05515480041504,0.2,0.0,-4.719464351981879,0.0002,0.016832596,19.169113912433385,360,-0.02624855428439332,0.25458984375,14.474326133728027,,,,,
180.0,75776,20.734352111816406,,,,,,,,,,,,,,,
180.0,76800,25.521297454833984,0.2,1.1920928955078125e-07,-4.660266382992267,0.0002,0.019258395,17.62843563631177,370,-0.03100511339798686,0.312255859375,16.676916122436523,,,,,
180.0,77824,24.77748680114746,,,,,,,,,,,,,,,
