time/total_timesteps,eval/mean_reward,eval/mean_ep_length,train/clip_range,train/clip_fraction,train/entropy_loss,train/approx_kl,train/policy_gradient_loss,train/value_loss,train/n_updates,train/learning_rate,train/explained_variance,train/loss,time/time_elapsed,time/fps,rollout/ep_len_mean,rollout/ep_rew_mean,time/iterations
17408,13.406440734863281,180.0,0.2,0.00146484375,-5.886099743843078,0.00033329043,0.00027922934687012456,4.6452234397824993e+24,80,0.0003,0.0,1.7866632883692167e+24,,,,,
18432,14.30158805847168,180.0,,,,,,,,,,,,,,,
19456,13.186120986938477,180.0,0.2,0.02783203125,-5.88609978184104,0.0022327562,0.0023094961363312903,4.5483935592174694e+24,90,0.0003,0.0,2.667047551999496e+24,,,,,
20480,12.641990661621094,180.0,,,,,,,,,,,,,,,
20480,,,,,,,,,,,,,68,296,180.0,242703494957.5247,10
21504,13.654804229736328,180.0,0.2,0.021484375,-5.8860999122262,0.0015956704,0.0034902556060842473,3.9859341141110826e+24,100,0.0003,0.0,2.0065958916247115e+24,,,,,
22528,12.978052139282227,180.0,,,,,,,,,,,,,,,
23552,13.713029861450195,180.0,0.2,0.00927734375,-5.886099707335234,0.0015193226,0.0011216707238418167,4.4520402156754206e+24,110,0.0003,0.0,2.604675075061018e+24,,,,,
24576,13.307942390441895,180.0,,,,,,,,,,,,,,,
25600,14.512311935424805,180.0,0.2,0.0107421875,-5.886099919676781,0.0019416024,0.006643402168265311,4.2852796717184903e+24,120,0.0003,0.0,9.284288085702559e+23,,,,,
26624,13.294795989990234,180.0,,,,,,,,,,,,,,,
27648,13.298396110534668,180.0,0.2,0.0009765625,-5.886099688708782,0.0011464229,0.0025383881422385455,4.165669238562652e+24,130,0.0003,0.0,1.887551702242472e+24,,,,,
28672,14.765216827392578,180.0,,,,,,,,,,,,,,,
29696,12.828316688537598,180.0,0.2,0.0419921875,-5.88609986975789,0.0028699352,0.0059774521762847145,4.728224457443894e+24,140,0.0003,0.0,2.988155502467705e+24,,,,,
30720,14.732368469238281,180.0,,,,,,,,,,,,,,,
31744,13.444918632507324,180.0,0.2,0.01708984375,-5.8860998645424845,0.0017237632,0.003923805670820002,4.7424346136693304e+24,150,0.0003,0.0,2.84874164005726e+24,,,,,
32768,13.742868423461914,180.0,,,,,,,,,,,,,,,
33792,12.931906700134277,180.0,0.2,0.01611328125,-5.886099903285503,0.002096909,0.0034923115341371157,4.2656573470667785e+24,160,0.0003,0.0,3.8084778879699266e+24,,,,,
34816,14.482406616210938,180.0,,,,,,,,,,,,,,,
35840,13.808746337890625,180.0,0.2,0.00244140625,-5.886099824309349,0.0007916191,0.0014741562014023656,3.5686799605761163e+24,170,0.0003,0.0,1.0247979863182344e+24,,,,,
36864,13.704633712768555,180.0,,,,,,,,,,,,,,,
37888,14.481985092163086,180.0,0.2,0.0107421875,-5.886099786311388,0.0013486409,0.004784244762413436,3.93382330622225e+24,180,0.0003,0.0,2.908809715138405e+24,,,,,
38912,14.32101821899414,180.0,,,,,,,,,,,,,,,
39936,12.95478630065918,180.0,0.2,0.0322265625,-5.886099822074175,0.0032583158,0.006214289709714649,4.8007430953339554e+24,190,0.0003,0.0,2.2680479364496723e+24,,,,,
40960,12.647940635681152,180.0,,,,,,,,,,,,,,,
40960,,,,,,,,,,,,,139,293,180.0,797196815151.777,20
41984,13.602293014526367,180.0,0.2,0.00390625,-5.8860997758805755,0.00070474786,0.0006697390110275592,3.924455124767437e+24,200,0.0003,0.0,1.5395161171126653e+24,,,,,
43008,14.286563873291016,180.0,,,,,,,,,,,,,,,
44032,12.85428237915039,180.0,0.2,0.00537109375,-5.886099891364575,0.0013117318,0.005419871964841149,3.9187787840816294e+24,210,0.0003,0.0,2.1397894542874267e+24,,,,,
45056,13.747873306274414,180.0,,,,,,,,,,,,,,,
46080,13.11788272857666,180.0,0.2,0.01953125,-5.886099822819233,0.0021364181,0.0031582135998178273,5.242697161198932e+24,220,0.0003,0.0,2.76164533791324e+24,,,,,
47104,13.769952774047852,180.0,,,,,,,,,,,,,,,
48128,13.748926162719727,180.0,0.2,0.0087890625,-5.88609980493784,0.0008802478,0.0024937688696809344,6.290731311718237e+24,230,0.0003,0.0,3.258769238029024e+24,,,,,
49152,12.552974700927734,180.0,,,,,,,,,,,,,,,
50176,12.669496536254883,180.0,0.2,0.033203125,-5.886099840700626,0.003088234,0.0061223196884384375,4.0336254281088957e+24,240,0.0003,0.0,2.3379670052117426e+24,,,,,
51200,13.125723838806152,180.0,,,,,,,,,,,,,,,
