time/total_timesteps,eval/mean_ep_length,eval/mean_reward,train/policy_gradient_loss,train/loss,train/approx_kl,train/clip_range,train/value_loss,train/clip_fraction,train/n_updates,train/entropy_loss,train/learning_rate,train/explained_variance,time/time_elapsed,time/iterations,rollout/ep_len_mean,time/fps,rollout/ep_rew_mean
37888,180.0,14.233227729797363,-0.01885325776602258,0.13646186888217926,0.0071655875,0.2,15.927711934095715,0.0400390625,180,-5.755251072347164,3e-05,0.0012196898460388184,,,,,
38912,180.0,15.195999145507812,,,,,,,,,,,,,,,
39936,180.0,15.226219177246094,-0.01802791993432038,1.7668341398239136,0.0073083723,0.2,18.04476141371415,0.041552734375,190,-5.747499591857195,3e-05,0.0015184283256530762,,,,,
40960,180.0,13.737332344055176,,,,,,,,,,,,,,,
40960,,,,,,,,,,,,,0,20,180.0,184467440737095516160,13.959806529999998
41984,180.0,13.287153244018555,-0.013973863642604556,49.09209060668945,0.0057958076,0.2,20.722594598971774,0.02236328125,200,-5.738294367492199,3e-05,0.0014845728874206543,,,,,
43008,180.0,14.192483901977539,,,,,,,,,,,,,,,
44032,180.0,14.082088470458984,-0.017023705385508948,0.4663262367248535,0.0062500387,0.2,17.33650644904701,0.0224609375,210,-5.729186450690031,3e-05,0.0020805001258850098,,,,,
45056,180.0,14.634161949157715,,,,,,,,,,,,,,,
46080,180.0,15.141128540039062,-0.013466797507862793,1.5756144523620605,0.0053356783,0.2,17.659050120436586,0.014599609375,220,-5.717026472836733,3e-05,0.0020426511764526367,,,,,
47104,180.0,14.633098602294922,,,,,,,,,,,,,,,
48128,180.0,15.060630798339844,-0.019569714979297714,11.34311294555664,0.007387705,0.2,20.078607792174445,0.036767578125,230,-5.703956485539675,3e-05,0.0020977258682250977,,,,,
49152,180.0,14.339568138122559,,,,,,,,,,,,,,,
50176,180.0,14.984939575195312,-0.014083749117708067,0.42932790517807007,0.0057035973,0.2,18.326076761202422,0.019873046875,240,-5.692811815440654,3e-05,0.0025414228439331055,,,,,
51200,180.0,17.72773551940918,,,,,,,,,,,,,,,
52224,180.0,14.463006973266602,-0.01667200518786558,4.832225322723389,0.007212842,0.2,15.43961558620067,0.035302734375,250,-5.677306790649891,3e-05,0.0028165578842163086,,,,,
53248,180.0,15.675762176513672,,,,,,,,,,,,,,,
54272,180.0,14.268149375915527,-0.013475133528845617,3.1052889823913574,0.0059399307,0.2,15.814640756038717,0.029150390625,260,-5.657313389331103,3e-05,0.0026975274085998535,,,,,
55296,180.0,14.549023628234863,,,,,,,,,,,,,,,
56320,180.0,14.744114875793457,-0.012736626766127301,6.230732440948486,0.0049980744,0.2,15.66178170980711,0.0166015625,270,-5.6486371725797655,3e-05,0.0033980607986450195,,,,,
57344,180.0,16.28800392150879,,,,,,,,,,,,,,,
58368,180.0,16.705875396728516,-0.010231980672688223,0.5289602875709534,0.00500774,0.2,19.684790329250973,0.0080078125,280,-5.641686081141233,3e-05,0.002727210521697998,,,,,
59392,180.0,14.84503173828125,,,,,,,,,,,,,,,
60416,180.0,15.45843505859375,-0.017482385771290864,8.62450122833252,0.007826136,0.2,16.633107571979053,0.047216796875,290,-5.623199074715376,3e-05,0.003813803195953369,,,,,
61440,180.0,15.515504837036133,,,,,,,,,,,,,,,
61440,,,,,,,,,,,,,0,30,180.0,276701161105643274240,14.947789640000003
62464,180.0,15.091662406921387,-0.01620404680434149,5.089184284210205,0.0060611865,0.2,18.019025157648137,0.0267578125,300,-5.6140637718141075,3e-05,0.0036278963088989258,,,,,
63488,180.0,14.244977951049805,,,,,,,,,,,,,,,
64512,180.0,15.232282638549805,-0.01420197902880318,2.8571131229400635,0.005711385,0.2,19.671739044372224,0.021533203125,310,-5.6014274045825,3e-05,0.004722952842712402,,,,,
65536,180.0,14.126504898071289,,,,,,,,,,,,,,,
66560,180.0,17.176544189453125,-0.011484647423640127,1.3902069330215454,0.004469181,0.2,20.464862710924354,0.00537109375,320,-5.580536924302578,3e-05,0.0031160712242126465,,,,,
67584,180.0,15.730238914489746,,,,,,,,,,,,,,,
68608,180.0,17.20496368408203,-0.015337007281777915,50.19050598144531,0.0057961987,0.2,19.547508983954323,0.0099609375,330,-5.564269391447306,3e-05,0.004874289035797119,,,,,
69632,180.0,15.504335403442383,,,,,,,,,,,,,,,
70656,180.0,15.61111831665039,-0.012107743335945997,50.62405776977539,0.0058471113,0.2,18.808309141127392,0.023828125,340,-5.552669590711593,3e-05,0.00350797176361084,,,,,
71680,180.0,15.444786071777344,,,,,,,,,,,,,,,
72704,180.0,14.976638793945312,-0.012432722346056834,3.854501724243164,0.004082206,0.2,21.294109204655978,0.0076171875,350,-5.538655383884906,3e-05,0.0034488439559936523,,,,,
73728,180.0,14.907212257385254,,,,,,,,,,,,,,,
74752,180.0,16.214977264404297,-0.014161554462771165,4.987577438354492,0.0060272943,0.2,17.9871545662405,0.028515625,360,-5.51379379555583,3e-05,0.00421297550201416,,,,,
75776,180.0,14.953648567199707,,,,,,,,,,,,,,,
76800,180.0,15.801313400268555,-0.013763818466759403,2.4955146312713623,0.0058844304,0.2,16.73450702871196,0.0158203125,370,-5.485157550871373,3e-05,0.0034554600715637207,,,,,
77824,180.0,17.21337890625,,,,,,,,,,,,,,,
