eval/mean_reward,time/total_timesteps,eval/mean_ep_length,train/clip_fraction,train/learning_rate,train/loss,train/explained_variance,train/n_updates,train/entropy_loss,train/clip_range,train/value_loss,train/policy_gradient_loss,train/approx_kl,rollout/ep_rew_mean,time/time_elapsed,time/iterations,rollout/ep_len_mean,time/fps
52.33100128173828,191488,36.0,0.376220703125,0.0003,65590.890625,0.0,930,-6.33309676349163,0.2,138260.49362792968,-0.038408876725588924,0.041713417,,,,,
44.377601623535156,192512,36.0,,,,,,,,,,,,,,,
50.22358703613281,193536,36.0,0.385498046875,0.0003,73755.53125,0.0,940,-6.331784017384052,0.2,132935.5887451172,-0.04047490722732618,0.04544291,,,,,
52.40716552734375,194560,36.0,,,,,,,,,,,,,,,
49.7951545715332,195584,36.0,0.355224609375,0.0003,67557.0078125,0.0,950,-6.330310556292534,0.2,140688.96508789062,-0.03913482652278617,0.040962353,,,,,
49.138092041015625,196608,36.0,,,,,,,,,,,,,,,
45.013427734375,197632,36.0,0.36015625,0.0003,64576.80078125,0.0,960,-6.329502257704735,0.2,124921.78889160157,-0.04609973708866164,0.04126573,,,,,
55.49456787109375,198656,36.0,,,,,,,,,,,,,,,
53.35637283325195,199680,36.0,0.351025390625,0.0003,65678.6875,0.0,970,-6.329845221340657,0.2,128607.13845214844,-0.042418163607362655,0.038650915,,,,,
50.525672912597656,200704,36.0,,,,,,,,,,,,,,,
,200704,,,,,,,,,,,,1239.88809522,25,10,36.0,797
49.49492645263672,201728,36.0,0.372216796875,0.0003,64619.02734375,0.0,980,-6.329541607201099,0.2,140201.46325683594,-0.044351104251109066,0.043740865,,,,,
49.04884338378906,202752,36.0,,,,,,,,,,,,,,,
53.965354919433594,203776,36.0,0.37578125,0.0003,66059.1953125,0.0,990,-6.3291641771793365,0.2,136773.75759277344,-0.04336285043391399,0.04146054,,,,,
50.19268035888672,204800,36.0,,,,,,,,,,,,,,,
55.46355056762695,205824,36.0,0.363720703125,0.0003,56981.05078125,0.0,1000,-6.327622570097446,0.2,133589.0524169922,-0.04189552107127383,0.04202342,,,,,
46.21421813964844,206848,36.0,,,,,,,,,,,,,,,
52.108917236328125,207872,36.0,0.351708984375,0.0003,67598.9140625,0.0,1010,-6.326509714126587,0.2,134819.55080566407,-0.04336928459233604,0.039066095,,,,,
53.812095642089844,208896,36.0,,,,,,,,,,,,,,,
57.94939041137695,209920,36.0,0.356591796875,0.0003,74885.390625,5.960464477539063e-08,1020,-6.324971826374531,0.2,132968.89499511718,-0.04565852472442202,0.04392307,,,,,
50.42774200439453,210944,36.0,,,,,,,,,,,,,,,
48.74506759643555,211968,36.0,0.360009765625,0.0003,67433.0625,0.0,1030,-6.323285847902298,0.2,136902.45888671876,-0.04383577578701079,0.04234792,,,,,
55.034759521484375,212992,36.0,,,,,,,,,,,,,,,
49.485755920410156,214016,36.0,0.35009765625,0.0003,71502.71875,0.0,1040,-6.323621219396591,0.2,120364.37097167969,-0.04099361332773697,0.041970618,,,,,
56.03544998168945,215040,36.0,,,,,,,,,,,,,,,
50.70457458496094,216064,36.0,0.379345703125,0.0003,58616.70703125,0.0,1050,-6.322931626439095,0.2,127892.370703125,-0.03909634888987057,0.045332115,,,,,
56.48735427856445,217088,36.0,,,,,,,,,,,,,,,
55.015174865722656,218112,36.0,0.354150390625,0.0003,64398.12109375,0.0,1060,-6.321069285273552,0.2,121588.52016601563,-0.0400567639619112,0.040361226,,,,,
52.519622802734375,219136,36.0,,,,,,,,,,,,,,,
53.1721305847168,220160,36.0,0.344970703125,0.0003,66140.28125,0.0,1070,-6.319370873272419,0.2,126361.59177246093,-0.03909591135452502,0.042545527,,,,,
49.302330017089844,221184,36.0,,,,,,,,,,,,,,,
,221184,,,,,,,,,,,,1228.2788906800001,52,20,36.0,786
52.89735412597656,222208,36.0,0.351708984375,0.0003,59762.68359375,-1.1920928955078125e-07,1080,-6.316855518519878,0.2,129062.39582519532,-0.03982078384142369,0.042200055,,,,,
46.327232360839844,223232,36.0,,,,,,,,,,,,,,,
51.47630310058594,224256,36.0,0.37265625,0.0003,65454.1953125,0.0,1090,-6.312911112606526,0.2,127456.85166015624,-0.03754565526323859,0.045354612,,,,,
55.088111877441406,225280,36.0,,,,,,,,,,,,,,,
51.6834602355957,226304,36.0,0.36923828125,0.0003,64011.6875,0.0,1100,-6.310609324276447,0.2,132318.44418945312,-0.042315216170391065,0.043934643,,,,,
57.53071594238281,227328,36.0,,,,,,,,,,,,,,,
46.665489196777344,228352,36.0,0.3609375,0.0003,63654.94140625,-1.1920928955078125e-07,1110,-6.309894157946109,0.2,126384.29763183594,-0.042413591564400124,0.042409018,,,,,
53.166160583496094,229376,36.0,,,,,,,,,,,,,,,
51.25483703613281,230400,36.0,0.350830078125,0.0003,63201.1328125,0.0,1120,-6.30916036516428,0.2,127649.73510742188,-0.041523942633648406,0.03946845,,,,,
51.32361602783203,231424,36.0,,,,,,,,,,,,,,,
51.11016082763672,232448,36.0,0.358154296875,0.0003,60967.0078125,-1.1920928955078125e-07,1130,-6.307275970280171,0.2,130210.15942382812,-0.041136819546227346,0.042039096,,,,,
55.62767028808594,233472,36.0,,,,,,,,,,,,,,,
44.39103698730469,234496,36.0,0.362646484375,0.0003,62854.1484375,0.0,1140,-6.306210242211819,0.2,134307.21931152343,-0.040092784340959045,0.043618172,,,,,
56.442378997802734,235520,36.0,,,,,,,,,,,,,,,
55.21806335449219,236544,36.0,0.351611328125,0.0003,63995.35546875,0.0,1150,-6.303757192194462,0.2,123296.9201904297,-0.044156737817684186,0.044068344,,,,,
43.69287109375,237568,36.0,,,,,,,,,,,,,,,
46.17008972167969,238592,36.0,0.353466796875,0.0003,58918.9921875,0.0,1160,-6.30199400484562,0.2,133614.32761230468,-0.043078526735189374,0.04202099,,,,,
50.25309753417969,239616,36.0,,,,,,,,,,,,,,,
46.098670959472656,240640,36.0,0.34853515625,0.0003,69619.7734375,0.0,1170,-6.300983679294586,0.2,125670.19970703125,-0.04091196684166789,0.03893791,,,,,
49.972267150878906,241664,36.0,,,,,,,,,,,,,,,
,241664,,,,,,,,,,,,1222.3623022299998,78,30,36.0,780
55.206756591796875,242688,36.0,0.363671875,0.0003,58351.5546875,5.960464477539063e-08,1180,-6.2984836682677265,0.2,120986.04750976563,-0.039583429458434696,0.042715475,,,,,
45.451255798339844,243712,36.0,,,,,,,,,,,,,,,
50.05242156982422,244736,36.0,0.34794921875,0.0003,56800.55078125,0.0,1190,-6.296041011810303,0.2,120092.21862792969,-0.040798687824280935,0.04078514,,,,,
54.18351745605469,245760,36.0,,,,,,,,,,,,,,,
48.787322998046875,246784,36.0,0.35224609375,0.0003,60929.4140625,5.960464477539063e-08,1200,-6.293451285362243,0.2,119911.45185546875,-0.04038087177905254,0.04505354,,,,,
49.84312438964844,247808,36.0,,,,,,,,,,,,,,,
51.50245666503906,248832,36.0,0.364404296875,0.0003,57121.3671875,0.0,1210,-6.2918229177594185,0.2,122871.32265625,-0.033400241378694774,0.042777188,,,,,
53.3109245300293,249856,36.0,,,,,,,,,,,,,,,
58.11428451538086,250880,36.0,0.36279296875,0.0003,63045.88671875,1.1920928955078125e-07,1220,-6.291928985714913,0.2,118139.264453125,-0.0406200201716274,0.04457564,,,,,
51.96604919433594,251904,36.0,,,,,,,,,,,,,,,
51.67189025878906,252928,36.0,0.340478515625,0.0003,52975.1328125,0.0,1230,-6.290478737652302,0.2,121028.11149902343,-0.0401083576871315,0.039358698,,,,,
47.12713623046875,253952,36.0,,,,,,,,,,,,,,,
53.17898941040039,254976,36.0,0.3564453125,0.0003,60368.19921875,5.960464477539063e-08,1240,-6.289027982950211,0.2,123617.77526855469,-0.042961229581851515,0.040987305,,,,,
53.41288757324219,256000,36.0,,,,,,,,,,,,,,,
49.811973571777344,257024,36.0,0.382421875,0.0003,61159.796875,0.0,1250,-6.286842551827431,0.2,129139.4953125,-0.03713627803372219,0.044165242,,,,,
51.725242614746094,258048,36.0,,,,,,,,,,,,,,,
56.612586975097656,259072,36.0,0.381884765625,0.0003,62741.41015625,0.0,1260,-6.285230430960655,0.2,123894.19448242188,-0.04020896599977277,0.046470657,,,,,
54.3760871887207,260096,36.0,,,,,,,,,,,,,,,
53.5120964050293,261120,36.0,0.35986328125,0.0003,56369.0859375,0.0,1270,-6.285664953291416,0.2,118174.51469726562,-0.04014949313714169,0.042107403,,,,,
51.001991271972656,262144,36.0,,,,,,,,,,,,,,,
,262144,,,,,,,,,,,,1262.71877079,105,40,36.0,777
47.41722106933594,263168,36.0,0.34736328125,0.0003,57806.1171875,0.0,1280,-6.285911765694618,0.2,126869.25632324218,-0.04242399052600376,0.037971698,,,,,
47.875247955322266,264192,36.0,,,,,,,,,,,,,,,
51.319313049316406,265216,36.0,0.36953125,0.0003,60105.83203125,0.0,1290,-6.285258592665196,0.2,123849.49057617187,-0.03810122041904833,0.046597213,,,,,
53.14297866821289,266240,36.0,,,,,,,,,,,,,,,
52.75100326538086,267264,36.0,0.342822265625,0.0003,59524.9765625,0.0,1300,-6.285139513015747,0.2,119467.27036132812,-0.04121827760245651,0.038448833,,,,,
47.97356033325195,268288,36.0,,,,,,,,,,,,,,,
54.22673034667969,269312,36.0,0.339013671875,0.0003,57961.625,5.960464477539063e-08,1310,-6.285398797690869,0.2,115495.45107421876,-0.04449476927984506,0.0386612,,,,,
47.29456329345703,270336,36.0,,,,,,,,,,,,,,,
54.21734619140625,271360,36.0,0.34306640625,0.0003,54720.44921875,-1.1920928955078125e-07,1320,-6.283632910251617,0.2,115327.04118652343,-0.04035233957110904,0.042121317,,,,,
51.308433532714844,272384,36.0,,,,,,,,,,,,,,,
54.801170349121094,273408,36.0,0.34736328125,0.0003,52078.86328125,0.0,1330,-6.281701470911503,0.2,116278.98449707031,-0.038834963843692095,0.039323375,,,,,
56.25094985961914,274432,36.0,,,,,,,,,,,,,,,
47.88862228393555,275456,36.0,0.361279296875,0.0003,55906.140625,-1.1920928955078125e-07,1340,-6.281034219264984,0.2,118133.62448730468,-0.04149547871784307,0.042623736,,,,,
51.00220489501953,276480,36.0,,,,,,,,,,,,,,,
50.950504302978516,277504,36.0,0.361279296875,0.0003,53531.9375,-1.1920928955078125e-07,1350,-6.280979126691818,0.2,120274.67866210938,-0.042305279668653384,0.04012471,,,,,
49.410682678222656,278528,36.0,,,,,,,,,,,,,,,
53.071624755859375,279552,36.0,0.347998046875,0.0003,68127.1328125,0.0,1360,-6.281240341067314,0.2,114836.49716796874,-0.03981689343927428,0.04224336,,,,,
51.388099670410156,280576,36.0,,,,,,,,,,,,,,,
52.77928924560547,281600,36.0,0.36630859375,0.0003,59720.71875,-1.1920928955078125e-07,1370,-6.279664595425129,0.2,119325.79365234375,-0.03989242651150562,0.0417763,,,,,
50.43885040283203,282624,36.0,,,,,,,,,,,,,,,
,282624,,,,,,,,,,,,1252.1340727900001,131,50,36.0,777
46.55564880371094,283648,36.0,0.35048828125,0.0003,60359.0390625,0.0,1380,-6.278606377542019,0.2,117720.78112792969,-0.03728555488632992,0.042167954,,,,,
47.347869873046875,284672,36.0,,,,,,,,,,,,,,,
50.39990234375,285696,36.0,0.37978515625,0.0003,69118.7265625,5.960464477539063e-08,1390,-6.279120813310146,0.2,124897.97517089844,-0.034450692453538066,0.04359841,,,,,
49.178035736083984,286720,36.0,,,,,,,,,,,,,,,
54.96038818359375,287744,36.0,0.373095703125,0.0003,52762.12890625,0.0,1400,-6.278536677360535,0.2,111818.70808105469,-0.0379957979923347,0.045986146,,,,,
48.40108108520508,288768,36.0,,,,,,,,,,,,,,,
50.681190490722656,289792,36.0,0.35927734375,0.0003,64465.15234375,0.0,1410,-6.275134842097759,0.2,121866.09868164062,-0.03649440660083201,0.041998222,,,,,
53.8583869934082,290816,36.0,,,,,,,,,,,,,,,
52.61112976074219,291840,36.0,0.352587890625,0.0003,68340.3203125,0.0,1420,-6.272133898735047,0.2,127157.03186035156,-0.041000870824791494,0.041870743,,,,,
47.160099029541016,292864,36.0,,,,,,,,,,,,,,,
52.2108268737793,293888,36.0,0.345849609375,0.0003,60509.578125,0.0,1430,-6.269363459944725,0.2,115121.78762207032,-0.04037748071423266,0.04124428,,,,,
51.17279052734375,294912,36.0,,,,,,,,,,,,,,,
49.76188659667969,295936,36.0,0.34853515625,0.0003,46752.8359375,5.960464477539063e-08,1440,-6.27397635281086,0.2,107361.15510253907,-0.03893752661824692,0.04225838,,,,,
47.157405853271484,296960,36.0,,,,,,,,,,,,,,,
50.485260009765625,297984,36.0,0.377490234375,0.0003,57966.74609375,5.960464477539063e-08,1450,-6.2709206029772755,0.2,119165.63073730469,-0.03803327851055656,0.044277832,,,,,
57.216033935546875,299008,36.0,,,,,,,,,,,,,,,
55.02436828613281,300032,36.0,0.368359375,0.0003,57633.04296875,-1.1920928955078125e-07,1460,-6.266861562430859,0.2,110118.61867675782,-0.03598016836331226,0.04159153,,,,,
50.401092529296875,301056,36.0,,,,,,,,,,,,,,,
50.51744079589844,302080,36.0,0.35576171875,0.0003,44287.078125,0.0,1470,-6.2632141098380085,0.2,107562.534765625,-0.04118301397538744,0.044063196,,,,,
43.406654357910156,303104,36.0,,,,,,,,,,,,,,,
,303104,,,,,,,,,,,,1245.5286862799999,158,60,36.0,774
53.3788948059082,304128,36.0,0.344384765625,0.0003,52162.24609375,0.0,1480,-6.260457684099674,0.2,113928.636328125,-0.0394344964704942,0.03937708,,,,,
52.448604583740234,305152,36.0,,,,,,,,,,,,,,,
54.498016357421875,306176,36.0,0.37529296875,0.0003,54605.4609375,0.0,1490,-6.256020592153073,0.2,117128.32653808594,-0.03530809618241619,0.046766594,,,,,
53.299560546875,307200,36.0,,,,,,,,,,,,,,,
54.424861907958984,308224,36.0,0.3587890625,0.0003,56435.95703125,0.0,1500,-6.252479949593544,0.2,114867.76706542968,-0.0377919531223597,0.0426599,,,,,
53.814823150634766,309248,36.0,,,,,,,,,,,,,,,
55.41797637939453,310272,36.0,0.341748046875,0.0003,53807.171875,0.0,1510,-6.251509310305119,0.2,105661.5568359375,-0.04164667019795161,0.04180161,,,,,
50.85857391357422,311296,36.0,,,,,,,,,,,,,,,
55.765079498291016,312320,36.0,0.3716796875,0.0003,60948.37890625,-1.1920928955078125e-07,1520,-6.247655270993709,0.2,111171.90798339844,-0.03698572471621446,0.043812305,,,,,
58.46508026123047,313344,36.0,,,,,,,,,,,,,,,
49.677555084228516,314368,36.0,0.366943359375,0.0003,60772.609375,0.0,1530,-6.244348385930062,0.2,105681.30607910156,-0.034242240464664064,0.04365088,,,,,
50.361114501953125,315392,36.0,,,,,,,,,,,,,,,
49.08513259887695,316416,36.0,0.33798828125,0.0003,64035.7265625,0.0,1540,-6.244694559276104,0.2,124503.82153320312,-0.04047252126038074,0.039999824,,,,,
54.046607971191406,317440,36.0,,,,,,,,,,,,,,,
46.64955139160156,318464,36.0,0.346875,0.0003,51323.64453125,0.0,1550,-6.246653871238232,0.2,106076.70207519531,-0.041162757657002655,0.042010896,,,,,
