eval/mean_ep_length,time/total_timesteps,eval/mean_reward,train/clip_fraction,train/n_updates,train/approx_kl,train/clip_range,train/learning_rate,train/value_loss,train/entropy_loss,train/policy_gradient_loss,train/explained_variance,train/loss,time/time_elapsed,rollout/ep_rew_mean,time/fps,rollout/ep_len_mean,time/iterations
180.0,154624,78.95783996582031,0.558447265625,750,0.026587628,0.2,0.0003,42.54593784213066,-2.967745471000671,-0.040156781981932,0.0,20.2888126373291,,,,,
180.0,155648,76.8943099975586,,,,,,,,,,,,,,,
180.0,156672,79.13862609863281,0.44970703125,760,0.022793045,0.2,0.0003,41.05329088568688,-2.9722804695367815,-0.04145756206416991,0.0,15.310357093811035,,,,,
180.0,157696,81.92384338378906,,,,,,,,,,,,,,,
180.0,158720,78.13516235351562,0.524169921875,770,0.02693142,0.2,0.0003,39.360109734535214,-2.954691629856825,-0.04566282616578974,-1.1920928955078125e-07,30.11911392211914,,,,,
180.0,159744,77.64511108398438,,,,,,,,,,,,,,,
180.0,160768,79.52852630615234,0.633544921875,780,0.031122854,0.2,0.0003,41.51498948931694,-2.9129103496670723,-0.04175554733374156,-2.384185791015625e-07,14.536108016967773,,,,,
180.0,161792,80.48008728027344,,,,,,,,,,,,,,,
180.0,162816,82.30203247070312,0.601025390625,790,0.027028956,0.2,0.0003,41.02642130255699,-2.9317178204655647,-0.03988282635982614,1.1920928955078125e-07,32.09721755981445,,,,,
180.0,163840,79.9869613647461,,,,,,,,,,,,,,,
,163840,,,,,,,,,,,,588,79.72033071,278,180.0,80
180.0,164864,79.55464172363281,0.63837890625,800,0.030298699,0.2,0.0003,50.707271981239316,-2.933132313936949,-0.04377306269598193,0.0,31.88820457458496,,,,,
180.0,165888,77.00605010986328,,,,,,,,,,,,,,,
180.0,166912,79.8106689453125,0.58876953125,810,0.024879364,0.2,0.0003,40.07812093496322,-2.954380667954683,-0.03871008248825092,0.0,18.638866424560547,,,,,
180.0,167936,80.61886596679688,,,,,,,,,,,,,,,
180.0,168960,80.68424987792969,0.502783203125,820,0.020970402,0.2,0.0003,44.597709864377975,-2.9777922838926316,-0.0405077922710916,0.0,25.70471954345703,,,,,
180.0,169984,79.54933166503906,,,,,,,,,,,,,,,
180.0,171008,79.04620361328125,0.5341796875,830,0.027355531,0.2,0.0003,45.69928679466248,-2.9548242777585982,-0.04421695136697963,5.960464477539063e-08,27.1011962890625,,,,,
180.0,172032,79.84101867675781,,,,,,,,,,,,,,,
180.0,173056,80.09322357177734,0.563330078125,840,0.020265039,0.2,0.0003,47.40450632870197,-2.9745430037379266,-0.03930970740620978,1.7881393432617188e-07,21.803424835205078,,,,,
180.0,174080,81.15666961669922,,,,,,,,,,,,,,,
180.0,175104,80.71924591064453,0.59013671875,850,0.038227133,0.2,0.0003,51.22425479888916,-2.9538038060069085,-0.0423944351481623,-1.1920928955078125e-07,23.35701560974121,,,,,
180.0,176128,83.04723358154297,,,,,,,,,,,,,,,
180.0,177152,83.74765014648438,0.49697265625,860,0.021593636,0.2,0.0003,44.241888862848285,-2.9845373906195163,-0.04193380681681447,0.0,19.568695068359375,,,,,
180.0,178176,79.61727142333984,,,,,,,,,,,,,,,
180.0,179200,80.98204803466797,0.605126953125,870,0.029945675,0.2,0.0003,45.49126454591751,-2.9574518628418445,-0.044218007277231665,0.0,15.809767723083496,,,,,
180.0,180224,82.96502685546875,,,,,,,,,,,,,,,
180.0,181248,83.56114196777344,0.445361328125,880,0.021130122,0.2,0.0003,48.55090388059616,-3.0134252116084097,-0.04011157530185301,-1.1920928955078125e-07,12.929353713989258,,,,,
180.0,182272,81.64405822753906,,,,,,,,,,,,,,,
180.0,183296,83.82978820800781,0.399755859375,890,0.020516867,0.2,0.0003,44.011723363399504,-3.0356469824910164,-0.03987519233924104,0.0,18.061599731445312,,,,,
180.0,184320,81.36685943603516,,,,,,,,,,,,,,,
,184320,,,,,,,,,,,,677,82.34956729,272,180.0,90
180.0,185344,82.39689636230469,0.4345703125,900,0.024370678,0.2,0.0003,42.60481703877449,-3.014821607619524,-0.03779816519236192,0.0,15.327542304992676,,,,,
180.0,186368,81.7557373046875,,,,,,,,,,,,,,,
180.0,187392,85.07078552246094,0.531982421875,910,0.025156047,0.2,0.0003,48.726260715723036,-2.9943728923797606,-0.04198276627867017,-1.1920928955078125e-07,34.22721481323242,,,,,
180.0,188416,83.76294708251953,,,,,,,,,,,,,,,
180.0,189440,84.37823486328125,0.447021484375,920,0.02059648,0.2,0.0003,42.53457378149032,-3.01245177462697,-0.03767023417749442,-1.1920928955078125e-07,22.560277938842773,,,,,
180.0,190464,83.52037048339844,,,,,,,,,,,,,,,
180.0,191488,79.81527709960938,0.491259765625,930,0.027748346,0.2,0.0003,44.009969890117645,-2.99949534535408,-0.040972056181635706,0.0,13.594974517822266,,,,,
180.0,192512,84.66635131835938,,,,,,,,,,,,,,,
180.0,193536,83.35906982421875,0.421435546875,940,0.018983183,0.2,0.0003,51.55198404788971,-3.032074949145317,-0.03716972912661731,0.0,14.03526496887207,,,,,
180.0,194560,86.19876098632812,,,,,,,,,,,,,,,
180.0,195584,84.64397430419922,0.522607421875,950,0.023658898,0.2,0.0003,49.24745723605156,-3.0371923677623274,-0.037190455788368125,0.0,26.73575782775879,,,,,
180.0,196608,86.10623168945312,,,,,,,,,,,,,,,
180.0,197632,84.73697662353516,0.5677734375,960,0.027004503,0.2,0.0003,51.857251501083375,-3.0096558265388014,-0.039132037930539806,0.0,23.654489517211914,,,,,
180.0,198656,83.16044616699219,,,,,,,,,,,,,,,
180.0,199680,84.37976837158203,0.601708984375,970,0.036220968,0.2,0.0003,41.90026420354843,-2.979120398312807,-0.042153603691258465,0.0,18.334712982177734,,,,,
180.0,200704,85.86756134033203,,,,,,,,,,,,,,,
180.0,201728,84.30265808105469,0.4720703125,980,0.019863795,0.2,0.0003,46.101509290933606,-3.0003339923918246,-0.04146661144623067,0.0,16.307971954345703,,,,,
180.0,202752,83.77796173095703,,,,,,,,,,,,,,,
180.0,203776,84.28507995605469,0.471435546875,990,0.021180287,0.2,0.0003,45.81674469709397,-2.9883460864424705,-0.0393832420144463,0.0,17.683671951293945,,,,,
180.0,204800,82.03816223144531,,,,,,,,,,,,,,,
,204800,,,,,,,,,,,,764,85.29057249000002,267,180.0,100
180.0,205824,85.03923034667969,0.5427734375,1000,0.022522945,0.2,0.0003,42.49067702293396,-2.9868639409542084,-0.04188349578762427,0.0,23.937217712402344,,,,,
180.0,206848,82.88216400146484,,,,,,,,,,,,,,,
180.0,207872,83.18985748291016,0.63779296875,1010,0.03079144,0.2,0.0003,45.80655553936958,-2.9427421152591706,-0.046028007270069796,0.0,24.94597625732422,,,,,
180.0,208896,84.22838592529297,,,,,,,,,,,,,,,
180.0,209920,82.37796783447266,0.584375,1020,0.026162647,0.2,0.0003,45.48847581148148,-2.9658263266086577,-0.040436142564431066,0.0,20.697093963623047,,,,,
180.0,210944,84.0864028930664,,,,,,,,,,,,,,,
180.0,211968,80.96746063232422,0.568310546875,1030,0.027202956,0.2,0.0003,42.325018936395644,-2.9680402986705303,-0.03871495489147492,-1.1920928955078125e-07,17.34836196899414,,,,,
180.0,212992,83.83409118652344,,,,,,,,,,,,,,,
180.0,214016,84.64629364013672,0.46103515625,1040,0.02017581,0.2,0.0003,51.32276365756989,-3.007469414174557,-0.043808781914412974,-1.1920928955078125e-07,27.298946380615234,,,,,
180.0,215040,85.3885498046875,,,,,,,,,,,,,,,
180.0,216064,83.04254913330078,0.556005859375,1050,0.025518335,0.2,0.0003,47.28920494914055,-2.980443258583546,-0.03927675447484944,5.960464477539063e-08,27.267826080322266,,,,,
180.0,217088,83.47154235839844,,,,,,,,,,,,,,,
180.0,218112,85.83233642578125,0.422021484375,1060,0.020043606,0.2,0.0003,44.463411676883695,-3.0251502729952335,-0.037515650899149475,0.0,19.18214225769043,,,,,
