eval/mean_ep_length,time/total_timesteps,eval/mean_reward,train/clip_range,train/value_loss,train/policy_gradient_loss,train/n_updates,train/entropy_loss,train/approx_kl,train/learning_rate,train/loss,train/clip_fraction,train/explained_variance,time/iterations,rollout/ep_rew_mean,time/time_elapsed,time/fps,rollout/ep_len_mean
27.0,172032,47.034175872802734,,,,,,,,,,,,,,,
27.0,173056,52.896446228027344,0.2,27.422192019224166,-0.019361006109102165,840,-3.9985852129757404,0.017615855,0.0003,10.616449356079102,0.19345703125,0.0,,,,,
27.0,174080,48.54573059082031,,,,,,,,,,,,,,,
27.0,175104,49.08570098876953,0.2,28.67423858642578,-0.022257926801103167,850,-4.002552912384272,0.0168987,0.0003,13.827754974365234,0.237255859375,0.0,,,,,
27.0,176128,50.70729446411133,,,,,,,,,,,,,,,
27.0,177152,51.48069381713867,0.2,26.731024897098543,-0.025239114130090456,860,-4.028346280753612,0.016686764,0.0003,13.121835708618164,0.248583984375,0.0,,,,,
27.0,178176,54.2199821472168,,,,,,,,,,,,,,,
27.0,179200,53.25479507446289,0.2,27.879490447044372,-0.02370089155592723,870,-4.013109059631825,0.018784024,0.0003,16.357709884643555,0.270263671875,0.0,,,,,
27.0,180224,50.67308807373047,,,,,,,,,,,,,,,
27.0,181248,50.11471939086914,0.2,32.628309613466264,-0.018821227717853616,880,-4.023786094784737,0.017825563,0.0003,16.524791717529297,0.214501953125,0.0,,,,,
27.0,182272,47.378623962402344,,,,,,,,,,,,,,,
27.0,183296,53.518619537353516,0.2,29.78841814994812,-0.01917924241424771,890,-4.001034834235907,0.016046256,0.0003,14.957109451293945,0.1966796875,0.0,,,,,
27.0,184320,50.299415588378906,,,,,,,,,,,,,,,
,184320,,,,,,,,,,,,90,52.64763690000001,586,314,27.0
27.0,185344,53.216957092285156,0.2,24.834461551904678,-0.019293004194332754,900,-3.9828237764537335,0.016662665,0.0003,9.827156066894531,0.1880859375,0.0,,,,,
27.0,186368,50.61896896362305,,,,,,,,,,,,,,,
27.0,187392,50.98493194580078,0.2,27.492078551650046,-0.021637335084960796,910,-3.959524451196194,0.01734632,0.0003,16.52513885498047,0.23671875,0.0,,,,,
27.0,188416,53.84552001953125,,,,,,,,,,,,,,,
27.0,189440,54.5628776550293,0.2,28.114176148176192,-0.02588562101882417,920,-3.954156333208084,0.018366672,0.0003,16.295162200927734,0.2533203125,0.0,,,,,
27.0,190464,56.44732666015625,,,,,,,,,,,,,,,
27.0,191488,50.79785919189453,0.2,27.963126134872436,-0.02050884811033029,930,-3.9595469437539577,0.014892086,0.0003,14.021109580993652,0.21669921875,5.960464477539063e-08,,,,,
27.0,192512,58.036888122558594,,,,,,,,,,,,,,,
27.0,193536,54.97328186035156,0.2,25.82125519514084,-0.018753886650665665,940,-3.946806013584137,0.017380364,0.0003,13.091713905334473,0.20537109375,0.0,,,,,
27.0,194560,53.13365936279297,,,,,,,,,,,,,,,
27.0,195584,53.98406982421875,0.2,26.3131332308054,-0.01970581115601817,950,-3.959213253110647,0.017820023,0.0003,16.864503860473633,0.20322265625,0.0,,,,,
27.0,196608,56.30034637451172,,,,,,,,,,,,,,,
27.0,197632,54.60416793823242,0.2,30.16184470653534,-0.018330674058233853,960,-3.986716631054878,0.01690602,0.0003,12.860355377197266,0.210595703125,0.0,,,,,
27.0,198656,52.152034759521484,,,,,,,,,,,,,,,
27.0,199680,51.182621002197266,0.2,25.476541888713836,-0.0215882971737301,970,-3.950377510488033,0.015134161,0.0003,13.472587585449219,0.218017578125,-1.1920928955078125e-07,,,,,
27.0,200704,47.54340744018555,,,,,,,,,,,,,,,
27.0,201728,51.99034881591797,0.2,26.18611694574356,-0.0225873278817744,980,-3.921186810731888,0.016266117,0.0003,10.322031021118164,0.221923828125,0.0,,,,,
27.0,202752,51.668888092041016,,,,,,,,,,,,,,,
27.0,203776,50.23401641845703,0.2,27.20627574622631,-0.022164814956340706,990,-3.9121572844684125,0.018380173,0.0003,13.290814399719238,0.238623046875,0.0,,,,,
27.0,204800,52.2164192199707,,,,,,,,,,,,,,,
,204800,,,,,,,,,,,,100,52.86180699,651,314,27.0
27.0,205824,55.38222885131836,0.2,27.90799176096916,-0.02313856635155389,1000,-3.8905473582446577,0.016724575,0.0003,11.878693580627441,0.21552734375,0.0,,,,,
27.0,206848,51.10139465332031,,,,,,,,,,,,,,,
27.0,207872,54.71207046508789,0.2,27.51507825255394,-0.018694990350923035,1010,-3.8979362569749356,0.017762063,0.0003,18.180988311767578,0.211767578125,0.0,,,,,
27.0,208896,54.49609375,,,,,,,,,,,,,,,
27.0,209920,53.59881591796875,0.2,24.61419112384319,-0.01837388699204894,1020,-3.8919681519269944,0.016129756,0.0003,11.199267387390137,0.192236328125,-1.1920928955078125e-07,,,,,
27.0,210944,51.82499694824219,,,,,,,,,,,,,,,
27.0,211968,52.42851257324219,0.2,26.414746969938278,-0.022170101042138412,1030,-3.8840459905564786,0.01772272,0.0003,12.904182434082031,0.222998046875,0.0,,,,,
27.0,212992,51.344032287597656,,,,,,,,,,,,,,,
27.0,214016,57.110069274902344,0.2,26.786858469247818,-0.017735850405006203,1040,-3.856293314695358,0.014444012,0.0003,10.307658195495605,0.178076171875,0.0,,,,,
27.0,215040,51.011817932128906,,,,,,,,,,,,,,,
