eval/mean_ep_length,eval/mean_reward,time/total_timesteps,train/loss,train/policy_gradient_loss,train/value_loss,train/approx_kl,train/clip_range,train/explained_variance,train/n_updates,train/entropy_loss,train/clip_fraction,train/learning_rate,time/iterations,time/time_elapsed,time/fps,rollout/ep_len_mean,rollout/ep_rew_mean
180.0,68.81029510498047,287744,19.47948455810547,-0.007617785452384851,21.572387912124395,0.004099464,0.2,0.0,1400,-3.651627091318369,0.00498046875,3e-05,,,,,
180.0,71.28973388671875,288768,,,,,,,,,,,,,,,
180.0,68.64807891845703,289792,17.42193603515625,-0.010382747439871309,21.60863376185298,0.0060326112,0.2,0.0,1410,-3.6436286590993405,0.00830078125,3e-05,,,,,
180.0,73.93109893798828,290816,,,,,,,,,,,,,,,
180.0,72.09085083007812,291840,15.802788734436035,-0.010707687728427118,21.044706845283507,0.0060140006,0.2,-2.384185791015625e-07,1420,-3.631233911216259,0.023779296875,3e-05,,,,,
180.0,72.357666015625,292864,,,,,,,,,,,,,,,
180.0,72.60263061523438,293888,15.223261833190918,-0.011688586039599613,20.719442449510098,0.0075351773,0.2,0.0,1430,-3.62969420440495,0.01220703125,3e-05,,,,,
180.0,71.54476928710938,294912,,,,,,,,,,,,,,,
180.0,68.810546875,295936,9.873739242553711,-0.0074123388618318135,20.39410491362214,0.004963527,0.2,0.0,1440,-3.6210968870669604,0.0087890625,3e-05,,,,,
180.0,74.43367767333984,296960,,,,,,,,,,,,,,,
180.0,72.61055755615234,297984,11.884617805480957,-0.010201543460425455,20.173503951728343,0.0061081043,0.2,-2.384185791015625e-07,1450,-3.6152582045644523,0.01572265625,3e-05,,,,,
180.0,73.90892028808594,299008,,,,,,,,,,,,,,,
180.0,76.07308959960938,300032,17.908470153808594,-0.009967799528021714,21.269207425415516,0.007347825,0.2,0.0,1460,-3.6169052343815564,0.011181640625,3e-05,,,,,
180.0,77.63714599609375,301056,,,,,,,,,,,,,,,
180.0,74.05447387695312,302080,15.836491584777832,-0.009241255730012199,19.773744098097087,0.004698187,0.2,0.0,1470,-3.6196716494858263,0.015625,3e-05,,,,,
180.0,70.69385528564453,303104,,,,,,,,,,,,,,,
180.0,75.59046173095703,304128,16.879791259765625,-0.009580930104129947,21.619891623407604,0.0063840123,0.2,0.0,1480,-3.6216931264847516,0.005908203125,3e-05,,,,,
180.0,72.69026184082031,305152,,,,,,,,,,,,,,,
180.0,74.95348358154297,306176,12.725350379943848,-0.009232182943014778,21.045085188001394,0.0072581647,0.2,0.0,1490,-3.622058191895485,0.004150390625,3e-05,,,,,
180.0,74.30359649658203,307200,,,,,,,,,,,,,,,
,,307200,,,,,,,,,,,150,1017,301,180.0,72.43865135
180.0,76.2626953125,308224,14.382406234741211,-0.008831819692932185,20.607266482710838,0.0050632255,0.2,0.0,1500,-3.624799583479762,0.010302734375,3e-05,,,,,
180.0,74.1067886352539,309248,,,,,,,,,,,,,,,
180.0,75.77338409423828,310272,13.719688415527344,-0.005982309509272454,20.773590984195472,0.0036227223,0.2,0.0,1510,-3.6219464369118213,0.00283203125,3e-05,,,,,
180.0,74.81533813476562,311296,,,,,,,,,,,,,,,
180.0,77.03828430175781,312320,12.306696891784668,-0.0077230739778315185,22.27763996720314,0.0053460514,0.2,-1.1920928955078125e-07,1520,-3.613499414920807,0.004248046875,3e-05,,,,,
180.0,73.40289306640625,313344,,,,,,,,,,,,,,,
180.0,78.01048278808594,314368,20.590017318725586,-0.006850562011095462,20.910312413424254,0.0041485755,0.2,-2.384185791015625e-07,1530,-3.6028206784278156,0.012646484375,3e-05,,,,,
180.0,75.48896789550781,315392,,,,,,,,,,,,,,,
180.0,74.01239013671875,316416,7.5077643394470215,-0.008269257524079875,19.99033899344504,0.006197699,0.2,1.1920928955078125e-07,1540,-3.59131782874465,0.003271484375,3e-05,,,,,
180.0,77.12470245361328,317440,,,,,,,,,,,,,,,
180.0,75.6898193359375,318464,7.631944179534912,-0.007899746906332439,20.875404863059522,0.006204147,0.2,0.0,1550,-3.5746386419981717,0.00966796875,3e-05,,,,,
180.0,78.06625366210938,319488,,,,,,,,,,,,,,,
180.0,80.02035522460938,320512,9.890064239501953,-0.006181657360502868,20.677720625698566,0.004297343,0.2,0.0,1560,-3.5621254108846188,0.00400390625,3e-05,,,,,
180.0,76.41350555419922,321536,,,,,,,,,,,,,,,
