eval/mean_ep_length,time/total_timesteps,eval/mean_reward,train/loss,train/value_loss,train/clip_fraction,train/explained_variance,train/policy_gradient_loss,train/n_updates,train/learning_rate,train/entropy_loss,train/approx_kl,train/clip_range,time/iterations,time/time_elapsed,time/fps,rollout/ep_len_mean,rollout/ep_rew_mean
36.0,882688,65.46180725097656,,,,,,,,,,,,,,,
,882688,,,,,,,,,,,,50,943,108,36.0,1425.3062105900003
36.0,883712,60.303245544433594,27830.662109375,50981.911096191405,0.28896484375,0.0,-0.0052932549922843465,4310,0.0003,-4.600029383599758,0.026408441,0.2,,,,,
36.0,884736,66.50122833251953,,,,,,,,,,,,,,,
36.0,885760,60.277122497558594,19324.341796875,44501.11763305664,0.25546875,0.0,-0.008410487184301018,4320,0.0003,-4.548034881055355,0.02180034,0.2,,,,,
36.0,886784,62.702781677246094,,,,,,,,,,,,,,,
36.0,887808,59.97510528564453,27089.359375,47595.89802246094,0.213330078125,0.0,-0.013256413710769266,4330,0.0003,-4.5520187094807625,0.019893754,0.2,,,,,
36.0,888832,65.70162963867188,,,,,,,,,,,,,,,
36.0,889856,61.74001693725586,19976.638671875,48477.14855957031,0.237548828125,0.0,-0.008123590867035091,4340,0.0003,-4.556150370836258,0.02268938,0.2,,,,,
36.0,890880,60.7259521484375,,,,,,,,,,,,,,,
36.0,891904,61.78245162963867,18549.935546875,42876.103424072266,0.27255859375,0.0,-0.008572284810361453,4350,0.0003,-4.562545880675316,0.024403706,0.2,,,,,
36.0,892928,62.66008758544922,,,,,,,,,,,,,,,
36.0,893952,62.531490325927734,18244.47265625,46922.245129394534,0.261376953125,0.0,-0.013860202455543914,4360,0.0003,-4.577901288866997,0.024637887,0.2,,,,,
36.0,894976,61.95048522949219,,,,,,,,,,,,,,,
36.0,896000,62.82535934448242,23301.33203125,43469.54039916992,0.260498046875,0.0,-0.00861842000449542,4370,0.0003,-4.565654000639915,0.023078814,0.2,,,,,
36.0,897024,63.55647659301758,,,,,,,,,,,,,,,
36.0,898048,63.52405548095703,22249.53515625,44887.34840087891,0.249853515625,0.0,-0.009473079728195444,4380,0.0003,-4.560833540558815,0.021014642,0.2,,,,,
36.0,899072,63.704795837402344,,,,,,,,,,,,,,,
36.0,900096,62.043296813964844,24980.943359375,48509.871411132815,0.222802734375,0.0,-0.011471925265504978,4390,0.0003,-4.566473962366581,0.021558082,0.2,,,,,
36.0,901120,60.89924621582031,,,,,,,,,,,,,,,
36.0,902144,62.64453887939453,22783.361328125,51134.10364990235,0.26533203125,0.0,-0.0019239920191466808,4400,0.0003,-4.579943166673184,0.024940649,0.2,,,,,
36.0,903168,65.87417602539062,,,,,,,,,,,,,,,
,903168,,,,,,,,,,,,60,1131,108,36.0,1449.53979682
36.0,904192,67.73866271972656,24213.45703125,49937.23354492187,0.290087890625,-1.1920928955078125e-07,-0.013862107036402449,4410,0.0003,-4.58456898778677,0.028229237,0.2,,,,,
36.0,905216,64.86299133300781,,,,,,,,,,,,,,,
36.0,906240,62.3819465637207,26197.5703125,47702.23447265625,0.27255859375,1.1920928955078125e-07,-0.0065284371026791636,4420,0.0003,-4.573323652148247,0.024447126,0.2,,,,,
36.0,907264,57.7169303894043,,,,,,,,,,,,,,,
36.0,908288,61.93626403808594,28531.57421875,50287.27390136719,0.262353515625,0.0,-0.0005430486708064564,4430,0.0003,-4.581145828962326,0.024479628,0.2,,,,,
36.0,909312,64.80492401123047,,,,,,,,,,,,,,,
36.0,910336,63.525062561035156,22300.646484375,42975.35389404297,0.250390625,0.0,-0.010121176994289272,4440,0.0003,-4.579006050527096,0.023594525,0.2,,,,,
36.0,911360,62.681793212890625,,,,,,,,,,,,,,,
36.0,912384,63.97841262817383,29293.87109375,50567.06627197265,0.246337890625,-1.1920928955078125e-07,-0.012434854824095964,4450,0.0003,-4.565681557357311,0.022886597,0.2,,,,,
36.0,913408,60.864967346191406,,,,,,,,,,,,,,,
36.0,914432,64.1317138671875,19656.025390625,41231.27957763672,0.283447265625,-1.1920928955078125e-07,-0.0041019636526471006,4460,0.0003,-4.534160882234573,0.025766177,0.2,,,,,
36.0,915456,66.93891906738281,,,,,,,,,,,,,,,
36.0,916480,63.84030532836914,23181.455078125,44740.17333374023,0.26630859375,0.0,-0.0036533363803755493,4470,0.0003,-4.541309462487698,0.024516895,0.2,,,,,
36.0,917504,63.34441375732422,,,,,,,,,,,,,,,
36.0,918528,62.94752883911133,22391.693359375,47815.292492675784,0.2138671875,-1.1920928955078125e-07,-0.0005586617378867231,4480,0.0003,-4.559003196656704,0.019340035,0.2,,,,,
36.0,919552,67.88127899169922,,,,,,,,,,,,,,,
36.0,920576,65.41824340820312,23789.865234375,49032.90399169922,0.268603515625,0.0,0.0004507899488089606,4490,0.0003,-4.584987875819206,0.024631646,0.2,,,,,
36.0,921600,63.38492202758789,,,,,,,,,,,,,,,
36.0,922624,61.61228561401367,22482.97265625,48534.40076904297,0.302294921875,0.0,-0.009903377870796249,4500,0.0003,-4.573897387087345,0.027070604,0.2,,,,,
36.0,923648,57.561092376708984,,,,,,,,,,,,,,,
,923648,,,,,,,,,,,,70,1317,108,36.0,1449.5574860299998
36.0,924672,64.13253021240234,20207.580078125,46060.938903808594,0.289697265625,0.0,-0.005120866469223983,4510,0.0003,-4.553734736144543,0.027880896,0.2,,,,,
36.0,925696,63.14178466796875,,,,,,,,,,,,,,,
36.0,926720,66.79119110107422,22452.93359375,43448.557141113284,0.262890625,0.0,-0.007585666007071268,4520,0.0003,-4.53883728981018,0.024093375,0.2,,,,,
36.0,927744,61.18312072753906,,,,,,,,,,,,,,,
36.0,928768,62.527198791503906,19467.783203125,42746.168701171875,0.24326171875,0.0,-0.011287596300826408,4530,0.0003,-4.527295137941837,0.021612946,0.2,,,,,
36.0,929792,59.217403411865234,,,,,,,,,,,,,,,
36.0,930816,67.04573822021484,22560.84375,43978.54555664062,0.250048828125,0.0,-0.014889970002695919,4540,0.0003,-4.509859047830105,0.022191077,0.2,,,,,
36.0,931840,64.69345092773438,,,,,,,,,,,,,,,
36.0,932864,63.458980560302734,16185.5263671875,39911.999340820315,0.293359375,1.1920928955078125e-07,0.0026140127578401008,4550,0.0003,-4.491740930080414,0.02877539,0.2,,,,,
36.0,933888,65.88324737548828,,,,,,,,,,,,,,,
36.0,934912,67.06855010986328,21638.16796875,41961.66444702148,0.324365234375,1.1920928955078125e-07,-0.004013554050470702,4560,0.0003,-4.504534010589123,0.02916994,0.2,,,,,
36.0,935936,65.10845947265625,,,,,,,,,,,,,,,
36.0,936960,62.229087829589844,20248.146484375,39375.88317260742,0.252294921875,0.0,-0.0039017302668071354,4570,0.0003,-4.49394898712635,0.02503771,0.2,,,,,
36.0,937984,61.800758361816406,,,,,,,,,,,,,,,
36.0,939008,61.96703338623047,16771.271484375,40549.37339477539,0.27646484375,1.1920928955078125e-07,-0.00269247725373134,4580,0.0003,-4.4914467737078665,0.025051225,0.2,,,,,
36.0,940032,65.31297302246094,,,,,,,,,,,,,,,
36.0,941056,64.14077758789062,22479.4609375,41912.135443115236,0.2521484375,0.0,-0.005241111226496287,4590,0.0003,-4.491517704725266,0.024437116,0.2,,,,,
36.0,942080,62.14363098144531,,,,,,,,,,,,,,,
36.0,943104,62.99281692504883,22342.599609375,39949.85810546875,0.25869140625,1.1920928955078125e-07,0.000522334931883961,4600,0.0003,-4.47745270729065,0.024736498,0.2,,,,,
36.0,944128,64.19554901123047,,,,,,,,,,,,,,,
,944128,,,,,,,,,,,,80,1506,108,36.0,1416.8608045700003
36.0,945152,62.49445724487305,17472.486328125,41073.998474121094,0.243603515625,0.0,-0.0031601212365785615,4610,0.0003,-4.461575995385647,0.021128993,0.2,,,,,
36.0,946176,64.3996353149414,,,,,,,,,,,,,,,
