eval/mean_ep_length,time/total_timesteps,eval/mean_reward,train/value_loss,train/policy_gradient_loss,train/clip_range,train/clip_fraction,train/n_updates,train/entropy_loss,train/loss,train/learning_rate,train/approx_kl,train/explained_variance,rollout/ep_rew_mean,rollout/ep_len_mean,time/fps,time/iterations,time/time_elapsed
80.0,839680,70.956787109375,29.266685289144515,-0.007613982114708051,0.1,0.069189453125,2130,-3.991725128889084,12.058091163635254,3e-05,0.0027869963,0.0,,,,,
80.0,841728,70.97457885742188,29.490928888320923,-0.00985212446321384,0.1,0.09794921875,2140,-3.980298714712262,23.256681442260742,3e-05,0.0031203479,0.0,,,,,
80.0,843776,70.31607055664062,27.213537304103376,-0.006631743817706592,0.1,0.04755859375,2150,-3.973907958716154,18.301321029663086,3e-05,0.002047711,1.1920928955078125e-07,,,,,
,843776,,,,,,,,,,,,70.88723621,80.0,55,20,737
80.0,845824,66.63446044921875,30.265245270729064,-0.010498688672669232,0.1,0.099853515625,2160,-3.9687018442898987,19.27686309814453,3e-05,0.003155848,0.0,,,,,
80.0,847872,68.10533142089844,30.561742767691612,-0.008403786647249945,0.1,0.072021484375,2170,-3.964867715910077,17.488557815551758,3e-05,0.0022545345,0.0,,,,,
80.0,849920,73.08527374267578,32.052365615963936,-0.009070316725410522,0.1,0.08173828125,2180,-3.9597659457474945,23.026161193847656,3e-05,0.0025731488,0.0,,,,,
80.0,851968,76.26960754394531,33.040840870141984,-0.008634345009340905,0.1,0.08232421875,2190,-3.953392704948783,26.907917022705078,3e-05,0.0032100617,0.0,,,,,
80.0,854016,71.4949951171875,32.05498924255371,-0.009201969247078523,0.1,0.084326171875,2200,-3.953115317225456,11.678668975830078,3e-05,0.00318599,0.0,,,,,
80.0,856064,73.42723083496094,27.28821778893471,-0.007741891373007093,0.1,0.07841796875,2210,-3.956807453930378,19.94504737854004,3e-05,0.0024002166,5.960464477539063e-08,,,,,
80.0,858112,71.6790542602539,28.045838108658792,-0.008549923621467314,0.1,0.0900390625,2220,-3.9588089134544133,13.638655662536621,3e-05,0.0029524583,0.0,,,,,
80.0,860160,71.62240600585938,32.218224263191225,-0.008379637851612642,0.1,0.064306640625,2230,-3.954566720128059,22.773887634277344,3e-05,0.002932524,0.0,,,,,
80.0,862208,75.22636413574219,32.039830753207205,-0.007828320941189303,0.1,0.08330078125,2240,-3.950779453292489,21.685012817382812,3e-05,0.0022961365,-1.1920928955078125e-07,,,,,
80.0,864256,69.00566864013672,33.887757083773614,-0.0071127031609648835,0.1,0.05751953125,2250,-3.9455498598515986,17.910646438598633,3e-05,0.0023688106,0.0,,,,,
,864256,,,,,,,,,,,,72.63608187,80.0,74,30,829
80.0,866304,78.10735321044922,30.531524144113064,-0.008956754601967987,0.1,0.086962890625,2260,-3.939357539638877,23.316221237182617,3e-05,0.0031839616,0.0,,,,,
80.0,868352,71.5698471069336,28.721220475435256,-0.009423436190991197,0.1,0.09091796875,2270,-3.9340866550803186,24.271800994873047,3e-05,0.0030619402,0.0,,,,,
80.0,870400,78.23287963867188,31.61101079285145,-0.008016314818814863,0.1,0.0720703125,2280,-3.932268287986517,22.98362922668457,3e-05,0.0026768115,0.0,,,,,
80.0,872448,76.15237426757812,31.42300160974264,-0.0071414829391869715,0.1,0.065234375,2290,-3.929763548448682,16.362808227539062,3e-05,0.002575599,-1.1920928955078125e-07,,,,,
80.0,874496,69.24235534667969,28.44969874769449,-0.007860606237954926,0.1,0.07119140625,2300,-3.924337115138769,27.247220993041992,3e-05,0.00297786,-1.1920928955078125e-07,,,,,
80.0,876544,71.65017700195312,30.561145782470703,-0.009026134586019908,0.1,0.10107421875,2310,-3.917689197137952,16.618459701538086,3e-05,0.0025910102,0.0,,,,,
80.0,878592,72.96206665039062,29.742202217876912,-0.006099819060182199,0.1,0.05966796875,2320,-3.909630391001701,18.936006546020508,3e-05,0.0026433463,0.0,,,,,
80.0,880640,71.25785827636719,30.935385298728942,-0.0077387585930409845,0.1,0.075048828125,2330,-3.9035504586994647,27.956079483032227,3e-05,0.0028473185,0.0,,,,,
80.0,882688,76.201416015625,29.807767145335674,-0.008349509324762038,0.1,0.078369140625,2340,-3.8990011364221573,18.62663459777832,3e-05,0.0029573054,-1.1920928955078125e-07,,,,,
80.0,884736,76.33242797851562,32.1584472283721,-0.007523790931736584,0.1,0.07197265625,2350,-3.8992946084588764,19.13968849182129,3e-05,0.002957571,1.1920928955078125e-07,,,,,
,884736,,,,,,,,,,,,73.47980476000002,80.0,88,40,923
80.0,886784,68.91282653808594,30.92928977459669,-0.007592016959097237,0.1,0.067236328125,2360,-3.9063974261283874,24.39834976196289,3e-05,0.003245553,1.1920928955078125e-07,,,,,
80.0,888832,75.27119445800781,29.451227851212025,-0.008669931466283743,0.1,0.077294921875,2370,-3.9008089415729046,17.447895050048828,3e-05,0.0029422194,-1.1920928955078125e-07,,,,,
80.0,890880,75.1812744140625,32.448832266032696,-0.006074532431375701,0.1,0.051025390625,2380,-3.8948555536568166,25.43130874633789,3e-05,0.0019878058,1.1920928955078125e-07,,,,,
80.0,892928,76.73231506347656,30.372195875644685,-0.009806253924034536,0.1,0.112451171875,2390,-3.894532376155257,13.899648666381836,3e-05,0.0030687149,0.0,,,,,
80.0,894976,73.4405517578125,30.839283396303653,-0.00874296659603715,0.1,0.080419921875,2400,-3.891091997176409,16.159976959228516,3e-05,0.0029980962,-1.1920928955078125e-07,,,,,
80.0,897024,71.79573822021484,30.792992842197418,-0.007936912740115076,0.1,0.080810546875,2410,-3.8856638457626103,15.008265495300293,3e-05,0.0030198589,0.0,,,,,
80.0,899072,75.50474548339844,30.46801490187645,-0.007670324761420488,0.1,0.0673828125,2420,-3.878869079053402,19.32839584350586,3e-05,0.0023815124,0.0,,,,,
80.0,901120,73.42449951171875,32.82599248290062,-0.007400505192345008,0.1,0.061376953125,2430,-3.877936502546072,16.75535774230957,3e-05,0.0023309994,0.0,,,,,
80.0,903168,77.31573486328125,27.594914416968823,-0.008566944404446986,0.1,0.091064453125,2440,-3.8817591637372972,27.5690860748291,3e-05,0.0028902176,0.0,,,,,
80.0,905216,79.79373931884766,28.324425821006297,-0.007204524183180183,0.1,0.06005859375,2450,-3.8720563128590584,12.455540657043457,3e-05,0.0023478,-1.1920928955078125e-07,,,,,
,905216,,,,,,,,,,,,74.40384868,80.0,100,50,1017
80.0,907264,74.49876403808594,27.1570458188653,-0.006512381066568196,0.1,0.04423828125,2460,-3.8675038807094095,20.118576049804688,3e-05,0.0027845534,5.960464477539063e-08,,,,,
80.0,909312,72.97926330566406,30.991081139445306,-0.008890648339001928,0.1,0.0794921875,2470,-3.8672779332846403,19.902677536010742,3e-05,0.003112534,0.0,,,,,
80.0,911360,74.38473510742188,30.903929483890533,-0.007722829972044565,0.1,0.070947265625,2480,-3.8637777771800756,18.29292106628418,3e-05,0.00260235,0.0,,,,,
80.0,913408,74.40206146240234,29.980283826589584,-0.008141078407061287,0.1,0.075048828125,2490,-3.862460497766733,13.288952827453613,3e-05,0.0026769196,0.0,,,,,
80.0,915456,77.96852111816406,30.91963477730751,-0.008509649602638092,0.1,0.073291015625,2500,-3.857138018682599,20.354572296142578,3e-05,0.0029299734,-1.1920928955078125e-07,,,,,
80.0,917504,74.01316833496094,30.67979438304901,-0.008377670412301086,0.1,0.078076171875,2510,-3.8536287590861322,20.329530715942383,3e-05,0.0029894444,0.0,,,,,
80.0,919552,78.04882049560547,30.455366732180117,-0.008393909648293629,0.1,0.084228515625,2520,-3.8487325966358186,18.621469497680664,3e-05,0.0026365144,0.0,,,,,
80.0,921600,72.57199096679688,31.507325963675974,-0.009008922026259825,0.1,0.08037109375,2530,-3.844626962393522,20.629182815551758,3e-05,0.0027986276,0.0,,,,,
80.0,923648,78.83198547363281,31.12637777477503,-0.007082102478307206,0.1,0.06064453125,2540,-3.8426759406924247,20.466014862060547,3e-05,0.0028528292,0.0,,,,,
80.0,925696,74.88712310791016,30.714150117337702,-0.007610942308383528,0.1,0.080029296875,2550,-3.845036556944251,29.38077163696289,3e-05,0.0031503222,0.0,,,,,
,925696,,,,,,,,,,,,76.89711602999999,80.0,110,60,1110
80.0,927744,78.19705963134766,28.169717244803905,-0.008645102551963647,0.1,0.090185546875,2560,-3.845215332880616,25.61061668395996,3e-05,0.0026489608,0.0,,,,,
80.0,929792,77.12769317626953,33.16873746216297,-0.007366453572467435,0.1,0.06572265625,2570,-3.843655405193567,21.16126251220703,3e-05,0.0024236059,0.0,,,,,
80.0,931840,75.85760498046875,27.141792802512647,-0.006812984928546939,0.1,0.07490234375,2580,-3.844758890941739,30.593690872192383,3e-05,0.0028927566,0.0,,,,,
80.0,933888,72.41970825195312,28.784961600601672,-0.008691195292340127,0.1,0.0900390625,2590,-3.8408969305455685,14.817628860473633,3e-05,0.0032684072,0.0,,,,,
80.0,935936,74.86900329589844,28.029101137816905,-0.008366660462343134,0.1,0.09111328125,2600,-3.8370971687138082,28.150714874267578,3e-05,0.0028328833,-1.1920928955078125e-07,,,,,
80.0,937984,76.71587371826172,31.649456259608268,-0.00629337099235272,0.1,0.07294921875,2610,-3.835302385687828,15.737542152404785,3e-05,0.0027226482,5.960464477539063e-08,,,,,
80.0,940032,79.56683349609375,27.682191467285158,-0.006403808828326874,0.1,0.048291015625,2620,-3.8336563371121883,20.63128089904785,3e-05,0.0028214226,0.0,,,,,
80.0,942080,74.89091491699219,26.013156016170978,-0.009410088276490569,0.1,0.105517578125,2630,-3.8254677962511776,23.176725387573242,3e-05,0.003161029,0.0,,,,,
80.0,944128,79.76847839355469,27.359514148533343,-0.008409876485529821,0.1,0.08935546875,2640,-3.821300280094147,14.122106552124023,3e-05,0.002757247,0.0,,,,,
80.0,946176,75.36421203613281,29.971952068805695,-0.007663692646019626,0.1,0.088134765625,2650,-3.8190129406750204,19.081331253051758,3e-05,0.0030711992,0.0,,,,,
,946176,,,,,,,,,,,,76.7143684,80.0,119,70,1202
80.0,948224,77.84767150878906,32.33256711661816,-0.007157876048586332,0.1,0.07705078125,2660,-3.8157835219055416,21.705873489379883,3e-05,0.002880393,0.0,,,,,
80.0,950272,80.86686706542969,25.969045850634576,-0.0072562520697829315,0.1,0.0685546875,2670,-3.813181910663843,13.313077926635742,3e-05,0.0028253067,0.0,,,,,
80.0,952320,80.73370361328125,31.288324473798276,-0.007709889719262719,0.1,0.069384765625,2680,-3.8047348208725453,18.262693405151367,3e-05,0.002763087,0.0,,,,,
80.0,954368,78.15924835205078,31.169196785986422,-0.008397220748884137,0.1,0.0857421875,2690,-3.8026926323771475,20.354572296142578,3e-05,0.0034419415,0.0,,,,,
