eval/mean_ep_length,eval/mean_reward,time/total_timesteps,train/clip_fraction,train/policy_gradient_loss,train/entropy_loss,train/approx_kl,train/learning_rate,train/clip_range,train/loss,train/explained_variance,train/value_loss,train/n_updates,rollout/ep_rew_mean,time/iterations,rollout/ep_len_mean,time/time_elapsed,time/fps
21.0,38.415626525878906,381952,0.3109375,-0.02014617823442677,-3.4655613355338573,0.032972224,0.0003,0.2,7412.17138671875,0.0,13835.37758178711,1860,,,,,
21.0,21.690439224243164,382976,,,,,,,,,,,,,,,
21.0,18.184890747070312,384000,0.288916015625,-0.0021185212390264496,-3.501663361489773,0.033526585,0.0003,0.2,4971.31689453125,5.960464477539063e-08,9330.724514770507,1870,,,,,
21.0,24.906763076782227,385024,,,,,,,,,,,,,,,
21.0,32.867835998535156,386048,0.2923828125,-0.013666670831298688,-3.505486165732145,0.030114524,0.0003,0.2,6573.60986328125,0.0,10764.502381896973,1880,,,,,
21.0,37.700843811035156,387072,,,,,,,,,,,,,,,
21.0,36.17799377441406,388096,0.320947265625,-0.011482083823648282,-3.513671723753214,0.033405937,0.0003,0.2,4569.0869140625,0.0,9536.405751037597,1890,,,,,
21.0,27.211210250854492,389120,,,,,,,,,,,,,,,
,,389120,,,,,,,,,,,447.3729797799999,190,21.0,987,394
21.0,24.697153091430664,390144,0.25517578125,-0.027655401013907975,-3.5044940233230593,0.029824872,0.0003,0.2,5546.77685546875,-1.1920928955078125e-07,12601.687991333009,1900,,,,,
21.0,24.67947006225586,391168,,,,,,,,,,,,,,,
21.0,25.113149642944336,392192,0.332421875,-0.002886418948037317,-3.455426034331322,0.039262764,0.0003,0.2,6188.4697265625,0.0,10881.525764465332,1910,,,,,
21.0,29.59994888305664,393216,,,,,,,,,,,,,,,
21.0,30.16474151611328,394240,0.303369140625,-0.011146315892983694,-3.4674959667026997,0.034514785,0.0003,0.2,4035.971435546875,0.0,10438.110894775391,1920,,,,,
21.0,27.366722106933594,395264,,,,,,,,,,,,,,,
21.0,28.620136260986328,396288,0.282177734375,-0.016556493658572435,-3.4466302663087847,0.03303667,0.0003,0.2,7169.572265625,-1.1920928955078125e-07,13529.381448364258,1930,,,,,
21.0,30.943796157836914,397312,,,,,,,,,,,,,,,
21.0,36.60243225097656,398336,0.330029296875,-0.016792728690779767,-3.4206319846212865,0.037125997,0.0003,0.2,5540.46826171875,0.0,11430.75424194336,1940,,,,,
21.0,34.482765197753906,399360,,,,,,,,,,,,,,,
