time/total_timesteps,eval/mean_ep_length,eval/mean_reward,train/entropy_loss,train/loss,train/clip_range,train/policy_gradient_loss,train/approx_kl,train/n_updates,train/explained_variance,train/value_loss,train/clip_fraction,train/learning_rate,time/fps,time/time_elapsed,time/iterations,rollout/ep_rew_mean,rollout/ep_len_mean
93184,180.0,58.98138427734375,-3.429361265152693,14.974903106689453,0.2,-0.0474368498486001,0.023516886,450,0.0,36.005271235108374,0.44609375,0.0003,,,,,
94208,180.0,60.376243591308594,,,,,,,,,,,,,,,
95232,180.0,59.55315017700195,-3.406159719079733,21.329404830932617,0.2,-0.04775638233695645,0.025788046,460,0.0,44.786626252532,0.471728515625,0.0003,,,,,
96256,180.0,59.38377380371094,,,,,,,,,,,,,,,
97280,180.0,63.07105255126953,-3.3205855906009676,17.252920150756836,0.2,-0.0454021715617273,0.024338169,470,-1.1920928955078125e-07,38.40266211926937,0.53974609375,0.0003,,,,,
98304,180.0,61.25088119506836,,,,,,,,,,,,,,,
99328,180.0,65.05416870117188,-3.2621007181704043,17.060344696044922,0.2,-0.0499137471197173,0.038310017,480,5.960464477539063e-08,46.318837159872054,0.621142578125,0.0003,,,,,
100352,180.0,62.41288757324219,,,,,,,,,,,,,,,
101376,180.0,66.75672912597656,-3.139397133141756,27.369102478027344,0.2,-0.048500666895415635,0.06661382,490,0.0,45.42646101713181,0.69228515625,0.0003,,,,,
102400,180.0,60.44635009765625,,,,,,,,,,,,,,,
102400,,,,,,,,,,,,,317,322,50,57.80332732000001,180.0
103424,180.0,64.86003112792969,-3.044432380050421,13.633247375488281,0.2,-0.04577556015283335,0.06602569,500,0.0,40.01072236895561,0.73798828125,0.0003,,,,,
104448,180.0,63.988983154296875,,,,,,,,,,,,,,,
105472,180.0,69.18013000488281,-2.9967873476445677,18.227514266967773,0.2,-0.046143224582192485,0.039336767,510,0.0,48.593989700078964,0.746875,0.0003,,,,,
106496,180.0,66.4267578125,,,,,,,,,,,,,,,
107520,180.0,64.10200500488281,-2.9850498124957086,18.63818359375,0.2,-0.04530174957326381,0.04246194,520,0.0,38.37547664642334,0.686572265625,0.0003,,,,,
108544,180.0,69.38331604003906,,,,,,,,,,,,,,,
109568,180.0,73.42765808105469,-3.028300342708826,27.986417770385742,0.2,-0.04380341903597582,0.03567829,530,-2.384185791015625e-07,40.1050145983696,0.517919921875,0.0003,,,,,
110592,180.0,71.77587127685547,,,,,,,,,,,,,,,
111616,180.0,68.93480682373047,-3.0354914791882037,12.978899002075195,0.2,-0.044813490321394055,0.028999714,540,-1.1920928955078125e-07,43.413933497667315,0.55693359375,0.0003,,,,,
112640,180.0,70.9950942993164,,,,,,,,,,,,,,,
113664,180.0,69.96141052246094,-3.0324259139597416,18.547128677368164,0.2,-0.04521496444067452,0.023263521,550,1.1920928955078125e-07,42.2555529654026,0.506103515625,0.0003,,,,,
114688,180.0,68.20698547363281,,,,,,,,,,,,,,,
115712,180.0,72.52632904052734,-3.0311616182327272,25.74051284790039,0.2,-0.04525552791892551,0.02343012,560,0.0,43.81356958150864,0.53115234375,0.0003,,,,,
116736,180.0,74.18488311767578,,,,,,,,,,,,,,,
117760,180.0,71.2410888671875,-3.0189828239381313,18.4258975982666,0.2,-0.04499180049751885,0.026532475,570,0.0,45.730688560009,0.50341796875,0.0003,,,,,
118784,180.0,72.56776428222656,,,,,,,,,,,,,,,
119808,180.0,72.36598205566406,-2.9649207651615144,20.05518341064453,0.2,-0.04262969481060282,0.036655203,580,1.7881393432617188e-07,42.49556382894516,0.650732421875,0.0003,,,,,
120832,180.0,73.32362365722656,,,,,,,,,,,,,,,
121856,180.0,72.79736328125,-2.9961860053241254,23.440126419067383,0.2,-0.04334916693624109,0.024632804,590,0.0,46.431573033332825,0.5494140625,0.0003,,,,,
122880,180.0,72.84041595458984,,,,,,,,,,,,,,,
122880,,,,,,,,,,,,,318,386,60,69.83301159000001,180.0
123904,180.0,73.37074279785156,-2.9917297936975955,14.954882621765137,0.2,-0.04433174654550385,0.024863867,600,0.0,43.775712424516676,0.588232421875,0.0003,,,,,
124928,180.0,76.28158569335938,,,,,,,,,,,,,,,
125952,180.0,72.86705017089844,-2.962891925126314,22.185447692871094,0.2,-0.04484362947696354,0.03422903,610,0.0,43.73018145561218,0.633984375,0.0003,,,,,
126976,180.0,73.80069732666016,,,,,,,,,,,,,,,
128000,180.0,73.1756591796875,-2.961530523747206,23.443178176879883,0.2,-0.04234231477603316,0.027600173,620,0.0,44.44676375389099,0.56982421875,0.0003,,,,,
129024,180.0,75.01670837402344,,,,,,,,,,,,,,,
130048,180.0,70.94544219970703,-2.9528956703841684,35.44131851196289,0.2,-0.04182114487630315,0.02672739,630,0.0,46.700445264577866,0.582080078125,0.0003,,,,,
131072,180.0,74.90017700195312,,,,,,,,,,,,,,,
132096,180.0,80.16966247558594,-2.9685113564133645,21.158967971801758,0.2,-0.0455859848880209,0.02496412,640,0.0,42.68419727087021,0.571435546875,0.0003,,,,,
133120,180.0,73.66262817382812,,,,,,,,,,,,,,,
134144,180.0,77.85858154296875,-2.9600872293114664,19.9481201171875,0.2,-0.04099342153058387,0.02578857,650,1.1920928955078125e-07,41.179709285497665,0.548486328125,0.0003,,,,,
135168,180.0,77.97236633300781,,,,,,,,,,,,,,,
136192,180.0,78.25082397460938,-2.9495374865829946,25.106201171875,0.2,-0.04437691187777091,0.02379633,660,0.0,43.69561777114868,0.53046875,0.0003,,,,,
137216,180.0,77.97371673583984,,,,,,,,,,,,,,,
138240,180.0,78.14093017578125,-2.9867315016686917,28.602434158325195,0.2,-0.04483688266191166,0.021820296,670,0.0,48.07281554937363,0.495849609375,0.0003,,,,,
139264,180.0,77.38197326660156,,,,,,,,,,,,,,,
140288,180.0,82.94107055664062,-2.9458906650543213,43.30588150024414,0.2,-0.04220054794859607,0.029919017,680,0.0,41.42238473296165,0.538671875,0.0003,,,,,
141312,180.0,78.07195281982422,,,,,,,,,,,,,,,
142336,180.0,76.44585418701172,-2.8912613108754157,23.096521377563477,0.2,-0.04685731721110642,0.033036895,690,5.960464477539063e-08,42.780824267864226,0.600927734375,0.0003,,,,,
143360,180.0,78.76426696777344,,,,,,,,,,,,,,,
143360,,,,,,,,,,,,,316,452,70,77.27100064,180.0
144384,180.0,75.04292297363281,-2.92282971739769,12.963424682617188,0.2,-0.03999697828112403,0.024098717,700,-1.1920928955078125e-07,45.35079810023308,0.5208984375,0.0003,,,,,
145408,180.0,80.03146362304688,,,,,,,,,,,,,,,
146432,180.0,78.12397003173828,-2.8771470710635185,16.315017700195312,0.2,-0.04473587722750381,0.033482544,710,0.0,40.014067995548245,0.60458984375,0.0003,,,,,
147456,180.0,78.44122314453125,,,,,,,,,,,,,,,
148480,180.0,80.25502014160156,-2.8943040162324905,14.259466171264648,0.2,-0.04578015417500865,0.024447791,720,0.0,35.862116956710814,0.509423828125,0.0003,,,,,
149504,180.0,75.90896606445312,,,,,,,,,,,,,,,
150528,180.0,80.91791534423828,-2.9011319942772387,13.288475036621094,0.2,-0.04157684743986465,0.021798838,730,1.1920928955078125e-07,37.23007531166077,0.436328125,0.0003,,,,,
151552,180.0,78.72566223144531,,,,,,,,,,,,,,,
152576,180.0,79.97130584716797,-2.924144396185875,13.834877014160156,0.2,-0.039051865141664165,0.01869902,740,0.0,43.35638791918755,0.378515625,0.0003,,,,,
153600,180.0,82.24668884277344,,,,,,,,,,,,,,,
154624,180.0,84.76321411132812,-2.963524252921343,22.344572067260742,0.2,-0.03958634355221875,0.01730194,750,0.0,45.57190250754356,0.337646484375,0.0003,,,,,
155648,180.0,79.62881469726562,,,,,,,,,,,,,,,
156672,180.0,80.92832946777344,-2.947811710089445,22.913267135620117,0.2,-0.03819147410395089,0.021862842,760,0.0,39.28982937335968,0.43076171875,0.0003,,,,,
157696,180.0,81.82720947265625,,,,,,,,,,,,,,,
158720,180.0,81.7186279296875,-2.887521895766258,19.02010154724121,0.2,-0.04484154669917188,0.027329285,770,0.0,44.149815291166306,0.585302734375,0.0003,,,,,
159744,180.0,81.05774688720703,,,,,,,,,,,,,,,
160768,180.0,81.07940673828125,-2.880860038101673,20.533422470092773,0.2,-0.04152580303780269,0.026936565,780,0.0,39.828203675150874,0.55654296875,0.0003,,,,,
161792,180.0,81.63419342041016,,,,,,,,,,,,,,,
162816,180.0,80.68575286865234,-2.876165709644556,25.092376708984375,0.2,-0.042637216194998474,0.03684675,790,-1.1920928955078125e-07,35.56975620985031,0.612548828125,0.0003,,,,,
163840,180.0,78.44925689697266,,,,,,,,,,,,,,,
163840,,,,,,,,,,,,,315,518,80,80.65769319,180.0
164864,180.0,81.8161392211914,-2.8652753345668316,16.16643524169922,0.2,-0.045620734320255,0.023908101,800,0.0,39.20272623300552,0.55126953125,0.0003,,,,,
165888,180.0,81.15678405761719,,,,,,,,,,,,,,,
166912,180.0,80.27283477783203,-2.872845887392759,25.664886474609375,0.2,-0.044072439553565344,0.027759466,810,-1.1920928955078125e-07,41.30282167196274,0.546875,0.0003,,,,,
167936,180.0,81.00990295410156,,,,,,,,,,,,,,,
168960,180.0,81.20063018798828,-2.8531992085278035,19.705163955688477,0.2,-0.04561229674727656,0.026474226,820,1.7881393432617188e-07,40.354999530315396,0.485986328125,0.0003,,,,,
169984,180.0,82.37763977050781,,,,,,,,,,,,,,,
171008,180.0,80.52371215820312,-2.884552891552448,34.23390579223633,0.2,-0.04488376963417977,0.022051558,830,0.0,43.33386462330818,0.47666015625,0.0003,,,,,
172032,180.0,79.82080078125,,,,,,,,,,,,,,,
173056,180.0,79.33134460449219,-2.8326915010809897,32.2989387512207,0.2,-0.04465675851970445,0.03450149,840,0.0,44.41962970495224,0.62626953125,0.0003,,,,,
174080,180.0,80.03460693359375,,,,,,,,,,,,,,,
175104,180.0,79.63977813720703,-2.8642091378569603,30.255245208740234,0.2,-0.04972992635448463,0.023923732,850,0.0,41.17805405259132,0.533447265625,0.0003,,,,,
176128,180.0,81.92660522460938,,,,,,,,,,,,,,,
177152,180.0,81.91814422607422,-2.897062412649393,12.754228591918945,0.2,-0.04129866801085882,0.019876027,860,0.0,35.93508338034153,0.438916015625,0.0003,,,,,
178176,180.0,80.96792602539062,,,,,,,,,,,,,,,
179200,180.0,80.89200592041016,-2.9316123947501183,22.266860961914062,0.2,-0.03946759616665076,0.019776907,870,1.1920928955078125e-07,40.9647414624691,0.4443359375,0.0003,,,,,
180224,180.0,82.52738952636719,,,,,,,,,,,,,,,
181248,180.0,82.0975112915039,-2.900914490967989,16.30371856689453,0.2,-0.04590036986919586,0.023474157,880,0.0,42.68228167295456,0.556787109375,0.0003,,,,,
182272,180.0,79.85147094726562,,,,,,,,,,,,,,,
183296,180.0,83.05783081054688,-2.8826797060668468,27.46894645690918,0.2,-0.04154442681756336,0.039067313,890,0.0,40.01926064491272,0.594921875,0.0003,,,,,
184320,180.0,80.58924865722656,,,,,,,,,,,,,,,
184320,,,,,,,,,,,,,315,584,90,81.60189442,180.0
185344,180.0,81.08756256103516,-2.9042659305036067,15.425271034240723,0.2,-0.0437247602356365,0.02272154,900,0.0,42.069385915994644,0.549365234375,0.0003,,,,,
186368,180.0,80.8653564453125,,,,,,,,,,,,,,,
187392,180.0,80.56158447265625,-2.93049915805459,11.848495483398438,0.2,-0.0413842561567435,0.020343896,910,1.1920928955078125e-07,40.82959322929382,0.4544921875,0.0003,,,,,
188416,180.0,79.67922973632812,,,,,,,,,,,,,,,
189440,180.0,81.1697998046875,-2.939315574616194,13.972084045410156,0.2,-0.03971032843110152,0.01896353,920,0.0,43.53034499287605,0.387353515625,0.0003,,,,,
190464,180.0,79.07260131835938,,,,,,,,,,,,,,,
191488,180.0,81.38202667236328,-2.888108443468809,28.876070022583008,0.2,-0.04512179674638901,0.02555807,930,0.0,41.48419849872589,0.559228515625,0.0003,,,,,
192512,180.0,81.65272521972656,,,,,,,,,,,,,,,
193536,180.0,84.46944427490234,-2.867960922420025,16.44700813293457,0.2,-0.04028681021009106,0.031469587,940,1.1920928955078125e-07,42.64978424906731,0.60029296875,0.0003,,,,,
194560,180.0,80.51118469238281,,,,,,,,,,,,,,,
195584,180.0,81.72506713867188,-2.8934612683951855,21.283973693847656,0.2,-0.04088131558673922,0.02341545,950,0.0,41.426912450790404,0.51787109375,0.0003,,,,,
196608,180.0,82.38360595703125,,,,,,,,,,,,,,,
197632,180.0,82.14244079589844,-2.904460868239403,24.718564987182617,0.2,-0.04258454958035145,0.026335036,960,0.0,44.34648235440254,0.515771484375,0.0003,,,,,
198656,180.0,80.28154754638672,,,,,,,,,,,,,,,
199680,180.0,79.54556274414062,-2.9177327379584312,21.080270767211914,0.2,-0.037994704564334826,0.022508144,970,0.0,40.80068385004997,0.42998046875,0.0003,,,,,
200704,180.0,80.96161651611328,,,,,,,,,,,,,,,
201728,180.0,82.552490234375,-2.8959035620093347,33.184085845947266,0.2,-0.0402084554254543,0.025115313,980,0.0,43.96678465604782,0.538818359375,0.0003,,,,,
202752,180.0,84.28915405273438,,,,,,,,,,,,,,,
203776,180.0,81.56419372558594,-2.91419929638505,20.617141723632812,0.2,-0.04225859436555766,0.023703959,990,1.7881393432617188e-07,43.58604383468628,0.497998046875,0.0003,,,,,
204800,180.0,82.44930267333984,,,,,,,,,,,,,,,
204800,,,,,,,,,,,,,313,652,100,82.42671444999998,180.0
205824,180.0,78.39846801757812,-2.833554844558239,24.395111083984375,0.2,-0.045257765843416564,0.04823351,1000,0.0,40.01690559387207,0.643212890625,0.0003,,,,,
206848,180.0,82.8375244140625,,,,,,,,,,,,,,,
207872,180.0,81.03163146972656,-2.8215788431465625,34.17997360229492,0.2,-0.0444478583172895,0.038725983,1010,0.0,45.207516479492185,0.637158203125,0.0003,,,,,
208896,180.0,81.60084533691406,,,,,,,,,,,,,,,
209920,180.0,81.11922454833984,-2.8387261420488357,27.287473678588867,0.2,-0.03886241720902035,0.027167633,1020,0.0,45.59890652894974,0.606396484375,0.0003,,,,,
210944,180.0,81.11972045898438,,,,,,,,,,,,,,,
211968,180.0,80.9430923461914,-2.8676538452506066,25.691341400146484,0.2,-0.04182630334107671,0.022733508,1030,0.0,41.14807342588902,0.5205078125,0.0003,,,,,
212992,180.0,80.6763687133789,,,,,,,,,,,,,,,
214016,180.0,79.2550277709961,-2.835633739084005,15.226882934570312,0.2,-0.04250518907501828,0.032280743,1040,-1.1920928955078125e-07,42.07189241051674,0.6337890625,0.0003,,,,,
215040,180.0,80.53570556640625,,,,,,,,,,,,,,,
216064,180.0,80.23844146728516,-2.8607069797813893,19.29085350036621,0.2,-0.04209587253280915,0.022328474,1050,0.0,41.09503768086434,0.55224609375,0.0003,,,,,
217088,180.0,80.22310638427734,,,,,,,,,,,,,,,
218112,180.0,81.91617584228516,-2.8456663355231284,36.03493118286133,0.2,-0.04298241919168504,0.028663842,1060,5.960464477539063e-08,44.44416171908379,0.56923828125,0.0003,,,,,
