eval/mean_ep_length,time/total_timesteps,eval/mean_reward,train/value_loss,train/n_updates,train/explained_variance,train/learning_rate,train/entropy_loss,train/approx_kl,train/clip_range,train/loss,train/clip_fraction,train/policy_gradient_loss,time/iterations,time/fps,rollout/ep_len_mean,rollout/ep_rew_mean,time/time_elapsed
27.0,134144,53.88762664794922,20.128090634942055,650,-1.1920928955078125e-07,0.0003,-3.4239021688699722,0.078646824,0.2,8.651586532592773,0.45986328125,-0.0453414128132863,,,,,
27.0,135168,49.863826751708984,,,,,,,,,,,,,,,
27.0,136192,55.39861297607422,21.090555354952812,660,-1.1920928955078125e-07,0.0003,-3.4196916468441487,0.07037022,0.2,10.563669204711914,0.4736328125,-0.03630850021436345,,,,,
27.0,137216,56.000518798828125,,,,,,,,,,,,,,,
27.0,138240,57.075172424316406,19.958474937081338,670,0.0,0.0003,-3.405040987581015,0.07225561,0.2,11.655041694641113,0.437060546875,-0.028819612074585166,,,,,
27.0,139264,52.90549087524414,,,,,,,,,,,,,,,
27.0,140288,51.4946403503418,20.558987936377527,680,0.0,0.0003,-3.4012525893747805,0.07846777,0.2,10.079275131225586,0.490087890625,-0.039859229797730225,,,,,
27.0,141312,54.168975830078125,,,,,,,,,,,,,,,
27.0,142336,51.8927001953125,19.255106088519096,690,0.0,0.0003,-3.401680998504162,0.072264574,0.2,8.028423309326172,0.46650390625,-0.033412879993557,,,,,
27.0,143360,53.755348205566406,,,,,,,,,,,,,,,
,143360,,,,,,,,,,,,70,256,27.0,58.09521961,559
27.0,144384,51.00245666503906,18.880240753293037,700,0.0,0.0003,-3.3982819326221945,0.07571713,0.2,10.453888893127441,0.43154296875,-0.032536887424066664,,,,,
27.0,145408,53.00481033325195,,,,,,,,,,,,,,,
27.0,146432,52.619911193847656,18.8393141746521,710,0.0,0.0003,-3.385548386722803,0.080144435,0.2,8.074488639831543,0.46767578125,-0.0392189406149555,,,,,
27.0,147456,55.48012161254883,,,,,,,,,,,,,,,
27.0,148480,53.54766082763672,19.44118600189686,720,1.1920928955078125e-07,0.0003,-3.389966170489788,0.07688331,0.2,10.872247695922852,0.4826171875,-0.02617529014678439,,,,,
27.0,149504,55.038604736328125,,,,,,,,,,,,,,,
27.0,150528,50.06402587890625,19.08509700000286,730,1.1920928955078125e-07,0.0003,-3.375264772027731,0.06999462,0.2,8.421529769897461,0.450537109375,-0.0369727584256907,,,,,
27.0,151552,53.1012077331543,,,,,,,,,,,,,,,
27.0,152576,53.86735153198242,18.374085384607316,740,1.1920928955078125e-07,0.0003,-3.359199248254299,0.0818585,0.2,10.196481704711914,0.47998046875,-0.03846946517878678,,,,,
27.0,153600,51.79646682739258,,,,,,,,,,,,,,,
27.0,154624,53.43333435058594,19.697407883405685,750,0.0,0.0003,-3.3678587399423123,0.07798323,0.2,10.846026420593262,0.5048828125,-0.02798469657136593,,,,,
27.0,155648,54.03484344482422,,,,,,,,,,,,,,,
27.0,156672,49.57435607910156,17.985135343670844,760,1.1920928955078125e-07,0.0003,-3.370598982274532,0.07308989,0.2,10.261736869812012,0.441064453125,-0.02727653745969292,,,,,
27.0,157696,52.768829345703125,,,,,,,,,,,,,,,
27.0,158720,54.36537170410156,19.367254185676575,770,1.1920928955078125e-07,0.0003,-3.3619759723544123,0.080550276,0.2,8.622529029846191,0.439697265625,-0.031110723139863693,,,,,
27.0,159744,54.379634857177734,,,,,,,,,,,,,,,
27.0,160768,54.99028778076172,14.877030619978905,780,-1.1920928955078125e-07,0.0003,-3.378390997648239,0.06568003,0.2,7.329617500305176,0.420361328125,-0.03235980934114195,,,,,
27.0,161792,54.73170471191406,,,,,,,,,,,,,,,
27.0,162816,50.736358642578125,18.830261167883872,790,0.0,0.0003,-3.3751462385058404,0.06854854,0.2,10.303485870361328,0.463720703125,-0.02854201063455548,,,,,
27.0,163840,55.973419189453125,,,,,,,,,,,,,,,
,163840,,,,,,,,,,,,80,255,27.0,57.54035833000001,641
27.0,164864,52.00468826293945,18.259142333269118,800,0.0,0.0003,-3.3788262352347376,0.073179975,0.2,8.19058895111084,0.45009765625,-0.03724645679903915,,,,,
27.0,165888,50.82665252685547,,,,,,,,,,,,,,,
27.0,166912,58.41651916503906,21.07075771689415,810,0.0,0.0003,-3.3829584009945393,0.06454193,0.2,6.805599689483643,0.41591796875,-0.03286335328739369,,,,,
27.0,167936,54.68035125732422,,,,,,,,,,,,,,,
27.0,168960,56.72548294067383,17.108918595314027,820,0.0,0.0003,-3.379624496400356,0.06654099,0.2,8.909829139709473,0.422314453125,-0.018702389943791788,,,,,
27.0,169984,53.785438537597656,,,,,,,,,,,,,,,
27.0,171008,55.64992141723633,17.493525770306587,830,0.0,0.0003,-3.364515423029661,0.07504791,0.2,7.882785797119141,0.480810546875,-0.04496824553643819,,,,,
27.0,172032,53.77891159057617,,,,,,,,,,,,,,,
27.0,173056,54.948081970214844,16.673547700047493,840,0.0,0.0003,-3.3634049646556377,0.07801952,0.2,8.66487979888916,0.4234375,-0.02084245189325884,,,,,
27.0,174080,55.41653823852539,,,,,,,,,,,,,,,
27.0,175104,54.61198425292969,19.68786053955555,850,-1.1920928955078125e-07,0.0003,-3.3408599086105824,0.069788575,0.2,9.398955345153809,0.429833984375,-0.01434890900272876,,,,,
27.0,176128,51.62309265136719,,,,,,,,,,,,,,,
27.0,177152,53.13768768310547,17.66241601407528,860,0.0,0.0003,-3.3487751416862013,0.09489734,0.2,11.472463607788086,0.4986328125,-0.03298746203945484,,,,,
27.0,178176,53.511749267578125,,,,,,,,,,,,,,,
27.0,179200,51.52965545654297,17.345021265745164,870,0.0,0.0003,-3.355001483857632,0.080776125,0.2,8.366313934326172,0.50556640625,-0.025983641696802805,,,,,
27.0,180224,53.49629211425781,,,,,,,,,,,,,,,
27.0,181248,53.449485778808594,17.012124812603,880,-1.1920928955078125e-07,0.0003,-3.344302174448967,0.07228253,0.2,8.75045394897461,0.458935546875,-0.03009556167089613,,,,,
27.0,182272,53.701690673828125,,,,,,,,,,,,,,,
27.0,183296,55.42430877685547,18.251255372166632,890,-1.1920928955078125e-07,0.0003,-3.3264913089573382,0.078548566,0.2,8.817761421203613,0.461669921875,-0.02606696176590049,,,,,
27.0,184320,52.423587799072266,,,,,,,,,,,,,,,
,184320,,,,,,,,,,,,90,254,27.0,58.825500359999985,724
27.0,185344,57.14407730102539,17.23435723185539,900,-1.1920928955078125e-07,0.0003,-3.3270831942558288,0.082156986,0.2,6.408821105957031,0.485009765625,-0.031561668058566285,,,,,
27.0,186368,52.82270050048828,,,,,,,,,,,,,,,
27.0,187392,56.17372131347656,16.56123715341091,910,0.0,0.0003,-3.341348296403885,0.089981005,0.2,10.48752212524414,0.525146484375,-0.0327195697958814,,,,,
27.0,188416,49.71063995361328,,,,,,,,,,,,,,,
27.0,189440,48.40345764160156,17.436773389577866,920,0.0,0.0003,-3.3461729414761066,0.072036974,0.2,9.399169921875,0.444189453125,-0.016549369545828085,,,,,
27.0,190464,52.78583526611328,,,,,,,,,,,,,,,
27.0,191488,51.9595947265625,20.033389660716058,930,0.0,0.0003,-3.360754207521677,0.086477146,0.2,6.619272708892822,0.466455078125,-0.01980011546984315,,,,,
27.0,192512,56.22688674926758,,,,,,,,,,,,,,,
27.0,193536,49.56953430175781,17.22771624624729,940,1.1920928955078125e-07,0.0003,-3.361500945687294,0.07451433,0.2,6.269225597381592,0.479296875,-0.025697598647093402,,,,,
27.0,194560,53.631099700927734,,,,,,,,,,,,,,,
27.0,195584,53.74876022338867,14.76984425187111,950,0.0,0.0003,-3.355711741745472,0.0772891,0.2,6.109778881072998,0.450244140625,-0.03380301631841576,,,,,
27.0,196608,53.08232498168945,,,,,,,,,,,,,,,
27.0,197632,54.25532150268555,19.67792187333107,960,-1.1920928955078125e-07,0.0003,-3.356079810112715,0.09578791,0.2,9.774944305419922,0.4966796875,-0.025531327542557845,,,,,
27.0,198656,53.219661712646484,,,,,,,,,,,,,,,
