eval/mean_reward,eval/mean_ep_length,time/total_timesteps,train/n_updates,train/learning_rate,train/explained_variance,train/clip_fraction,train/loss,train/clip_range,train/approx_kl,train/entropy_loss,train/value_loss,train/policy_gradient_loss,rollout/ep_rew_mean,rollout/ep_len_mean,time/time_elapsed,time/iterations,time/fps
8.11967945098877,12.0,125952,610,0.0003,0.0,0.393701171875,1701.860595703125,0.2,0.079042874,-2.690690053254366,3999.805354309082,-0.02560905958962394,,,,,
9.373466491699219,12.0,126976,,,,,,,,,,,,,,,
14.992592811584473,12.0,128000,620,0.0003,0.0,0.422314453125,2115.08349609375,0.2,0.084466346,-2.6701795108616353,4518.062395477295,-0.030158215113624466,,,,,
20.101978302001953,12.0,129024,,,,,,,,,,,,,,,
24.168594360351562,12.0,130048,630,0.0003,0.0,0.39189453125,981.1845092773438,0.2,0.06931761,-2.669694799184799,2989.091138076782,-0.01882339946605498,,,,,
21.983461380004883,12.0,131072,,,,,,,,,,,,,,,
23.54121208190918,12.0,132096,640,0.0003,0.0,0.365869140625,1718.843994140625,0.2,0.071082294,-2.6653497092425824,3853.7343727111815,-0.026133616467996036,,,,,
21.0806884765625,12.0,133120,,,,,,,,,,,,,,,
7.224987030029297,12.0,134144,650,0.0003,0.0,0.35126953125,1326.9622802734375,0.2,0.064104825,-2.6662057831883432,3688.736386871338,-0.022877334654913282,,,,,
15.59273910522461,12.0,135168,,,,,,,,,,,,,,,
16.60353660583496,12.0,136192,660,0.0003,0.0,0.373681640625,1475.59228515625,0.2,0.07617848,-2.6479248903691768,3530.106876373291,-0.021329144360788633,,,,,
18.552452087402344,12.0,137216,,,,,,,,,,,,,,,
21.39842987060547,12.0,138240,670,0.0003,0.0,0.39619140625,1284.0360107421875,0.2,0.07429595,-2.607430176436901,3015.4546806335447,-0.010990316994138993,,,,,
12.409943580627441,12.0,139264,,,,,,,,,,,,,,,
6.674699783325195,12.0,140288,680,0.0003,0.0,0.3591796875,1271.77490234375,0.2,0.08435057,-2.6025335788726807,3301.361651611328,-0.015273843219620175,,,,,
10.52149486541748,12.0,141312,,,,,,,,,,,,,,,
10.000839233398438,12.0,142336,690,0.0003,0.0,0.36162109375,1480.562255859375,0.2,0.07419686,-2.589083604514599,3321.129941558838,-0.014771601124084554,,,,,
11.965493202209473,12.0,143360,,,,,,,,,,,,,,,
,,143360,,,,,,,,,,,141.27959937,12.0,280,70,511
15.311028480529785,12.0,144384,700,0.0003,5.960464477539063e-08,0.3677734375,1315.43359375,0.2,0.07696172,-2.599566599726677,3025.0217807769777,-0.01989501111820573,,,,,
20.92108917236328,12.0,145408,,,,,,,,,,,,,,,
21.966819763183594,12.0,146432,710,0.0003,0.0,0.37841796875,1446.579833984375,0.2,0.07316385,-2.5905780747532843,3049.895722579956,-0.008479093369533074,,,,,
8.166253089904785,12.0,147456,,,,,,,,,,,,,,,
10.108195304870605,12.0,148480,720,0.0003,0.0,0.304736328125,1118.7967529296875,0.2,0.07255803,-2.5529603652656077,2907.150121688843,-0.015422180841414956,,,,,
16.382238388061523,12.0,149504,,,,,,,,,,,,,,,
20.19154167175293,12.0,150528,730,0.0003,0.0,0.347021484375,1226.384521484375,0.2,0.082027994,-2.540097668021917,3499.9091636657713,-0.018000669981120154,,,,,
18.614534378051758,12.0,151552,,,,,,,,,,,,,,,
20.822803497314453,12.0,152576,740,0.0003,0.0,0.352978515625,1667.303955078125,0.2,0.081772625,-2.5552214182913304,3741.288388824463,-0.007323905642260797,,,,,
20.92437744140625,12.0,153600,,,,,,,,,,,,,,,
23.293794631958008,12.0,154624,750,0.0003,0.0,0.358740234375,2103.23291015625,0.2,0.07404497,-2.5489307962358,4080.9214462280274,-0.01844276652118424,,,,,
22.33226203918457,12.0,155648,,,,,,,,,,,,,,,
18.793758392333984,12.0,156672,760,0.0003,-1.1920928955078125e-07,0.350048828125,1605.088134765625,0.2,0.07511358,-2.529535797983408,3757.97015914917,-0.02173179605306359,,,,,
21.34256935119629,12.0,157696,,,,,,,,,,,,,,,
17.015710830688477,12.0,158720,770,0.0003,-1.1920928955078125e-07,0.375927734375,1348.4266357421875,0.2,0.07205938,-2.5385792031884193,2923.2542209625244,-0.012509698032226879,,,,,
14.204177856445312,12.0,159744,,,,,,,,,,,,,,,
15.178138732910156,12.0,160768,780,0.0003,0.0,0.36015625,1741.4202880859375,0.2,0.07311113,-2.5368035323917866,3299.527074432373,-0.003622352654929273,,,,,
