time/total_timesteps,eval/mean_ep_length,eval/mean_reward,train/explained_variance,train/n_updates,train/policy_gradient_loss,train/entropy_loss,train/approx_kl,train/value_loss,train/loss,train/learning_rate,train/clip_range,train/clip_fraction,time/time_elapsed,rollout/ep_len_mean,time/iterations,time/fps,rollout/ep_rew_mean
26624,50.0,19.95321273803711,,,,,,,,,,,,,,,
27136,50.0,20.406402587890625,0.0,130,0.07692048084572889,-5.267987862229347,0.1306639,75048.00970458984,39063.1953125,0.0003,0.2,0.38330078125,,,,,
27648,50.0,21.654544830322266,,,,,,,,,,,,,,,
28160,50.0,21.26829719543457,,,,,,,,,,,,,,,
28672,50.0,27.391088485717773,,,,,,,,,,,,,,,
29184,50.0,19.54961585998535,0.0,140,0.07944968627998605,-5.269920125603676,0.12722526,82509.62287597657,38048.34375,0.0003,0.2,0.386767578125,,,,,
29696,50.0,18.574045181274414,,,,,,,,,,,,,,,
30208,50.0,18.627655029296875,,,,,,,,,,,,,,,
30720,50.0,18.42458152770996,,,,,,,,,,,,,,,
31232,50.0,22.23870277404785,0.0,150,0.07313988404348493,-5.270741221308708,0.123582765,84815.4510131836,42149.39453125,0.0003,0.2,0.39775390625,,,,,
31744,50.0,18.387516021728516,,,,,,,,,,,,,,,
32256,50.0,20.745494842529297,,,,,,,,,,,,,,,
32768,50.0,20.032033920288086,,,,,,,,,,,,,,,
33280,50.0,19.950782775878906,-1.1920928955078125e-07,160,0.06978248251834884,-5.2690542340278625,0.13316143,78297.36126708984,39589.2265625,0.0003,0.2,0.401708984375,,,,,
33792,50.0,20.551910400390625,,,,,,,,,,,,,,,
34304,50.0,19.49175262451172,,,,,,,,,,,,,,,
34816,50.0,22.14555549621582,,,,,,,,,,,,,,,
35328,50.0,21.652847290039062,0.0,170,0.07436650064482819,-5.268281923234463,0.13324538,81841.64073486328,38657.8046875,0.0003,0.2,0.389111328125,,,,,
35840,50.0,24.253189086914062,,,,,,,,,,,,,,,
36352,50.0,22.342540740966797,,,,,,,,,,,,,,,
36864,50.0,21.06857681274414,,,,,,,,,,,,,,,
37376,50.0,20.25660514831543,5.960464477539063e-08,180,0.07158078789652791,-5.269447779655456,0.12871462,81970.6593383789,44982.84375,0.0003,0.2,0.409228515625,,,,,
37888,50.0,18.888914108276367,,,,,,,,,,,,,,,
38400,50.0,20.658109664916992,,,,,,,,,,,,,,,
38912,50.0,21.61209487915039,,,,,,,,,,,,,,,
39424,50.0,20.59923553466797,0.0,190,0.0699739029048942,-5.267289696633815,0.12959044,73733.60526123046,33860.359375,0.0003,0.2,0.401904296875,,,,,
39936,50.0,18.874698638916016,,,,,,,,,,,,,,,
40448,50.0,21.56036949157715,,,,,,,,,,,,,,,
40960,50.0,20.377962112426758,,,,,,,,,,,,,,,
40960,,,,,,,,,,,,,124,50.0,20,329,1068.98296891
41472,50.0,20.77193832397461,0.0,200,0.07645685118623077,-5.267624795436859,0.1317546,72549.7359008789,34471.02734375,0.0003,0.2,0.42880859375,,,,,
41984,50.0,21.036632537841797,,,,,,,,,,,,,,,
42496,50.0,23.79792022705078,,,,,,,,,,,,,,,
43008,50.0,16.60005760192871,,,,,,,,,,,,,,,
43520,50.0,19.71828842163086,0.0,210,0.06967550289991778,-5.267902611196041,0.1287209,79678.02214355468,42009.03515625,0.0003,0.2,0.4322265625,,,,,
44032,50.0,23.696666717529297,,,,,,,,,,,,,,,
44544,50.0,22.60056495666504,,,,,,,,,,,,,,,
45056,50.0,21.464706420898438,,,,,,,,,,,,,,,
45568,50.0,20.380020141601562,0.0,220,0.07433778630220331,-5.26611848026514,0.12353198,79472.83908691406,43066.59375,0.0003,0.2,0.411474609375,,,,,
46080,50.0,23.763355255126953,,,,,,,,,,,,,,,
46592,50.0,19.3185977935791,,,,,,,,,,,,,,,
47104,50.0,19.937135696411133,,,,,,,,,,,,,,,
47616,50.0,19.72418785095215,0.0,230,0.08289174525416457,-5.2663408949971195,0.13018177,79400.8587524414,39559.203125,0.0003,0.2,0.42470703125,,,,,
48128,50.0,22.97603988647461,,,,,,,,,,,,,,,
48640,50.0,19.48187255859375,,,,,,,,,,,,,,,
49152,50.0,15.907923698425293,,,,,,,,,,,,,,,
49664,50.0,22.61208152770996,0.0,240,0.07542196025024168,-5.268256375193596,0.13196325,77966.28601074219,37761.875,0.0003,0.2,0.40732421875,,,,,
50176,50.0,20.048831939697266,,,,,,,,,,,,,,,
50688,50.0,20.064485549926758,,,,,,,,,,,,,,,
51200,50.0,21.67403793334961,,,,,,,,,,,,,,,
51712,50.0,23.520381927490234,0.0,250,0.06945509942015633,-5.266932895779609,0.13116625,71416.83123779297,30220.48046875,0.0003,0.2,0.4140625,,,,,
52224,50.0,19.61977767944336,,,,,,,,,,,,,,,
52736,50.0,19.98885726928711,,,,,,,,,,,,,,,
53248,50.0,18.829341888427734,,,,,,,,,,,,,,,
53760,50.0,20.214134216308594,0.0,260,0.073434743413236,-5.2665674313902855,0.12772414,75851.11854248047,34884.109375,0.0003,0.2,0.411376953125,,,,,
54272,50.0,23.065288543701172,,,,,,,,,,,,,,,
54784,50.0,19.71916961669922,,,,,,,,,,,,,,,
