time/total_timesteps,eval/mean_reward,eval/mean_ep_length,train/learning_rate,train/value_loss,train/clip_range,train/entropy_loss,train/approx_kl,train/policy_gradient_loss,train/n_updates,train/clip_fraction,train/loss,train/explained_variance,rollout/ep_rew_mean,rollout/ep_len_mean,time/iterations,time/time_elapsed,time/fps
151552,42.66639709472656,21.0,,,,,,,,,,,,,,,
152576,41.64527130126953,21.0,0.0003,15.004788172245025,0.2,-3.0035461246967317,0.04119484,-0.025864738649397624,740,0.35673828125,8.483797073364258,0.0,,,,,
153600,42.050331115722656,21.0,,,,,,,,,,,,,,,
154624,42.42386245727539,21.0,0.0003,16.723587116599084,0.2,-2.998337338864803,0.058733467,-0.025236554304137827,750,0.41845703125,8.43900203704834,0.0,,,,,
155648,39.464599609375,21.0,,,,,,,,,,,,,,,
156672,43.416114807128906,21.0,0.0003,15.213744202256203,0.2,-3.003728511929512,0.05146104,-0.036475273277028465,760,0.401171875,6.865744113922119,0.0,,,,,
157696,39.9384651184082,21.0,,,,,,,,,,,,,,,
158720,44.36951446533203,21.0,0.0003,16.338601928949355,0.2,-2.992307997494936,0.055927515,-0.026508597005158663,770,0.382568359375,8.199670791625977,0.0,,,,,
159744,40.686370849609375,21.0,,,,,,,,,,,,,,,
160768,44.08650207519531,21.0,0.0003,16.172620150446892,0.2,-2.981712093949318,0.06722467,-0.035354270569223446,780,0.448046875,7.594171524047852,0.0,,,,,
161792,44.558448791503906,21.0,,,,,,,,,,,,,,,
162816,37.55009460449219,21.0,0.0003,15.160383567214012,0.2,-2.981526550650597,0.07187111,-0.0305502355331555,790,0.439306640625,7.88548469543457,5.960464477539063e-08,,,,,
163840,39.71147918701172,21.0,,,,,,,,,,,,,,,
163840,,,,,,,,,,,,,44.36616582,21.0,80,228,718
164864,41.30345153808594,21.0,0.0003,15.69474754333496,0.2,-2.9836069479584695,0.0688497,-0.029427826615574304,800,0.4505859375,7.333486080169678,0.0,,,,,
165888,41.60752868652344,21.0,,,,,,,,,,,,,,,
