eval/mean_ep_length,eval/mean_reward,time/total_timesteps,train/learning_rate,train/loss,train/n_updates,train/explained_variance,train/clip_range,train/policy_gradient_loss,train/value_loss,train/approx_kl,train/entropy_loss,train/clip_fraction,rollout/ep_rew_mean,time/fps,time/time_elapsed,time/iterations,rollout/ep_len_mean
27.0,35.60124969482422,121856,0.0003,18.260534286499023,590,0.0,0.2,-0.039568510139361024,28.214990258216858,0.07596609,-3.757493803650141,0.473291015625,,,,,
27.0,39.020973205566406,122880,,,,,,,,,,,,,,,
,,122880,,,,,,,,,,,44.266364120000006,540,227,60,27.0
27.0,43.74534606933594,123904,0.0003,10.925225257873535,600,0.0,0.2,-0.025117421576578636,21.49573230445385,0.06933257,-3.7294335305690764,0.469091796875,,,,,
27.0,32.10199737548828,124928,,,,,,,,,,,,,,,
27.0,44.69442367553711,125952,0.0003,14.199281692504883,610,0.0,0.2,-0.034768839267781,25.422736206650733,0.052200776,-3.73313018232584,0.400439453125,,,,,
27.0,33.2408561706543,126976,,,,,,,,,,,,,,,
27.0,40.03794860839844,128000,0.0003,11.169066429138184,620,0.0,0.2,-0.04096848326153122,23.463089722394944,0.06736706,-3.723244372010231,0.45263671875,,,,,
27.0,35.044979095458984,129024,,,,,,,,,,,,,,,
27.0,36.594017028808594,130048,0.0003,13.566266059875488,630,0.0,0.2,-0.026112220538198016,22.214464443922044,0.0676216,-3.6890873916447164,0.452734375,,,,,
27.0,49.07855224609375,131072,,,,,,,,,,,,,,,
27.0,40.70860290527344,132096,0.0003,15.654485702514648,640,0.0,0.2,-0.027344908312079495,26.825506204366683,0.057541385,-3.670925735682249,0.433837890625,,,,,
27.0,34.746124267578125,133120,,,,,,,,,,,,,,,
27.0,42.859947204589844,134144,0.0003,14.482271194458008,650,0.0,0.2,-0.018085573871212547,26.705477610230446,0.055087805,-3.669891657680273,0.436279296875,,,,,
27.0,42.07235336303711,135168,,,,,,,,,,,,,,,
27.0,39.744667053222656,136192,0.0003,12.388792037963867,660,5.960464477539063e-08,0.2,-0.032243764435406774,24.53730604946613,0.058420964,-3.65997564047575,0.452197265625,,,,,
27.0,43.675132751464844,137216,,,,,,,,,,,,,,,
27.0,38.26203155517578,138240,0.0003,9.927678108215332,670,5.960464477539063e-08,0.2,-0.015664221061160787,23.913160115480423,0.050599016,-3.651541227847338,0.425390625,,,,,
27.0,35.79998016357422,139264,,,,,,,,,,,,,,,
27.0,37.451072692871094,140288,0.0003,14.25462532043457,680,0.0,0.2,-0.044129351853916886,28.642852711677552,0.0549926,-3.63349247649312,0.42158203125,,,,,
27.0,38.96161651611328,141312,,,,,,,,,,,,,,,
27.0,43.954322814941406,142336,0.0003,15.327466011047363,690,1.1920928955078125e-07,0.2,-0.018872182975610486,29.061035656929015,0.053362414,-3.603129190206528,0.420751953125,,,,,
27.0,51.446861267089844,143360,,,,,,,,,,,,,,,
,,143360,,,,,,,,,,,43.00092196,542,264,70,27.0
27.0,39.448062896728516,144384,0.0003,10.964951515197754,700,0.0,0.2,-0.0250224430084927,25.228637900948524,0.056723736,-3.593589222431183,0.41787109375,,,,,
27.0,51.6397705078125,145408,,,,,,,,,,,,,,,
27.0,37.09840393066406,146432,0.0003,13.164339065551758,710,0.0,0.2,-0.029753817300661466,21.06098422408104,0.048989408,-3.592314534634352,0.417041015625,,,,,
27.0,43.02396774291992,147456,,,,,,,,,,,,,,,
27.0,44.87947463989258,148480,0.0003,13.652078628540039,720,-1.1920928955078125e-07,0.2,-0.02871314602161874,24.573412293195723,0.055386044,-3.5693488106131555,0.41640625,,,,,
27.0,47.258766174316406,149504,,,,,,,,,,,,,,,
27.0,40.37680435180664,150528,0.0003,15.063273429870605,730,0.0,0.2,-0.02626193879696075,26.945915895700455,0.05800639,-3.5590186811983586,0.4216796875,,,,,
27.0,40.87567138671875,151552,,,,,,,,,,,,,,,
27.0,42.810245513916016,152576,0.0003,12.629410743713379,740,0.0,0.2,-0.031876716820988804,22.530215936899186,0.062852986,-3.5610665664076806,0.4349609375,,,,,
27.0,40.46736526489258,153600,,,,,,,,,,,,,,,
27.0,28.28673553466797,154624,0.0003,10.736817359924316,750,-1.1920928955078125e-07,0.2,-0.033331374486442654,29.042973119020463,0.068456285,-3.559027924388647,0.447900390625,,,,,
27.0,46.751651763916016,155648,,,,,,,,,,,,,,,
27.0,45.06012725830078,156672,0.0003,8.736371994018555,760,-1.1920928955078125e-07,0.2,-0.02695742219366366,20.281821516156196,0.07812827,-3.5552833996713162,0.481103515625,,,,,
27.0,32.153282165527344,157696,,,,,,,,,,,,,,,
27.0,37.05727767944336,158720,0.0003,13.85522174835205,770,0.0,0.2,-0.012468461123353336,22.992313975095747,0.078240395,-3.5557009994983675,0.458935546875,,,,,
27.0,31.96529197692871,159744,,,,,,,,,,,,,,,
27.0,40.74750518798828,160768,0.0003,16.578596115112305,780,0.0,0.2,-0.016079584292310756,26.3742073148489,0.07956952,-3.5339497797191144,0.458056640625,,,,,
27.0,43.16217803955078,161792,,,,,,,,,,,,,,,
