time/total_timesteps,eval/mean_reward,eval/mean_ep_length,train/clip_fraction,train/entropy_loss,train/policy_gradient_loss,train/loss,train/explained_variance,train/value_loss,train/approx_kl,train/clip_range,train/learning_rate,train/n_updates,time/fps,time/iterations,rollout/ep_len_mean,time/time_elapsed,rollout/ep_rew_mean
82944,37.60028839111328,180.0,0.2634765625,-4.199282291531563,-0.026816698134643956,10.48138427734375,0.0,19.279939031600954,0.018402403,0.2,0.0003,400,,,,,
83968,33.110809326171875,180.0,,,,,,,,,,,,,,,
84992,35.87745666503906,180.0,0.255712890625,-4.086918385326863,-0.021697217217297293,8.026041030883789,0.0,18.39396176338196,0.016901476,0.2,0.0003,410,,,,,
86016,36.507198333740234,180.0,,,,,,,,,,,,,,,
87040,39.940948486328125,180.0,0.23154296875,-3.992291460931301,-0.021529353455116508,9.176368713378906,0.0,16.753403145074845,0.014584351,0.2,0.0003,420,,,,,
88064,34.620750427246094,180.0,,,,,,,,,,,,,,,
89088,41.140384674072266,180.0,0.21787109375,-3.940135469287634,-0.02201285777409794,10.860076904296875,-1.1920928955078125e-07,19.36188277006149,0.014441976,0.2,0.0003,430,,,,,
90112,39.788421630859375,180.0,,,,,,,,,,,,,,,
91136,38.744136810302734,180.0,0.24111328125,-3.9562876373529434,-0.0234487069901661,9.210102081298828,0.0,19.445565995573997,0.019730847,0.2,0.0003,440,,,,,
92160,40.18105697631836,180.0,,,,,,,,,,,,,,,
93184,40.81414031982422,180.0,0.23095703125,-3.9506295710802077,-0.02170295173273189,6.111013889312744,-1.1920928955078125e-07,18.529796700179578,0.01703152,0.2,0.0003,450,,,,,
94208,42.669166564941406,180.0,,,,,,,,,,,,,,,
95232,39.51006317138672,180.0,0.20361328125,-3.8943134851753713,-0.018748684495221823,10.732933044433594,0.0,19.31491181254387,0.016248178,0.2,0.0003,460,,,,,
96256,44.42015075683594,180.0,,,,,,,,,,,,,,,
97280,42.65629959106445,180.0,0.246435546875,-3.9373364515602587,-0.024710742990282596,7.678844451904297,0.0,17.93192519247532,0.018794026,0.2,0.0003,470,,,,,
98304,42.0408935546875,180.0,,,,,,,,,,,,,,,
99328,45.88902282714844,180.0,0.219287109375,-3.9662921503186226,-0.019750705813930836,10.843395233154297,0.0,21.953210863471032,0.019665916,0.2,0.0003,480,,,,,
100352,41.892723083496094,180.0,,,,,,,,,,,,,,,
101376,40.31376647949219,180.0,0.240673828125,-3.9015563152730466,-0.021166242158506064,13.024582862854004,-1.1920928955078125e-07,19.365705266594887,0.017570546,0.2,0.0003,490,,,,,
102400,43.223716735839844,180.0,,,,,,,,,,,,,,,
102400,,,,,,,,,,,,,318,50,180.0,321,40.24901563
103424,46.9669075012207,180.0,0.1939453125,-3.8517458088696004,-0.020363718875159975,11.302224159240723,0.0,19.785424314439297,0.01734003,0.2,0.0003,500,,,,,
104448,41.6834716796875,180.0,,,,,,,,,,,,,,,
105472,45.29267883300781,180.0,0.208984375,-3.852352724969387,-0.021182313332974444,10.459705352783203,0.0,19.430824533104897,0.014603096,0.2,0.0003,510,,,,,
106496,43.89450454711914,180.0,,,,,,,,,,,,,,,
107520,45.89674377441406,180.0,0.26474609375,-3.8491092063486576,-0.026083626218314747,9.520929336547852,0.0,21.325599750876428,0.020004015,0.2,0.0003,520,,,,,
108544,46.669189453125,180.0,,,,,,,,,,,,,,,
109568,48.8463020324707,180.0,0.2380859375,-3.8299816213548183,-0.020762084488524124,6.663217067718506,0.0,20.26214991211891,0.017046703,0.2,0.0003,530,,,,,
110592,50.52496337890625,180.0,,,,,,,,,,,,,,,
