eval/mean_ep_length,time/total_timesteps,eval/mean_reward,train/n_updates,train/value_loss,train/loss,train/entropy_loss,train/policy_gradient_loss,train/explained_variance,train/clip_fraction,train/clip_range,train/approx_kl,train/learning_rate,rollout/ep_len_mean,rollout/ep_rew_mean,time/time_elapsed,time/fps,time/iterations
21.0,48128,29.514795303344727,,,,,,,,,,,,,,,
21.0,48640,28.1761531829834,,,,,,,,,,,,,,,
21.0,49152,30.752782821655273,,,,,,,,,,,,,,,
21.0,49664,25.636926651000977,240,30732.710955810548,16794.017578125,-5.182248920202255,-0.05758421840146184,0.0,0.2783203125,0.2,0.024817131,0.0003,,,,,
21.0,50176,28.149993896484375,,,,,,,,,,,,,,,
21.0,50688,27.562725067138672,,,,,,,,,,,,,,,
21.0,51200,26.639598846435547,,,,,,,,,,,,,,,
21.0,51712,29.30813980102539,250,29841.72297973633,13758.0908203125,-5.174876716732979,-0.06266666152514518,1.1920928955078125e-07,0.2599609375,0.2,0.024102338,0.0003,,,,,
21.0,52224,29.45770263671875,,,,,,,,,,,,,,,
21.0,52736,29.31524085998535,,,,,,,,,,,,,,,
21.0,53248,29.234853744506836,,,,,,,,,,,,,,,
21.0,53760,26.962810516357422,260,30551.989495849608,14196.26953125,-5.166869753599167,-0.06612335139652714,0.0,0.248828125,0.2,0.023014713,0.0003,,,,,
21.0,54272,26.904937744140625,,,,,,,,,,,,,,,
21.0,54784,22.703533172607422,,,,,,,,,,,,,,,
21.0,55296,28.553150177001953,,,,,,,,,,,,,,,
21.0,55808,23.93741226196289,270,31682.95250854492,15907.6904296875,-5.168164493143559,-0.0650398462661542,0.0,0.27353515625,0.2,0.02649811,0.0003,,,,,
21.0,56320,33.23340606689453,,,,,,,,,,,,,,,
21.0,56832,28.150768280029297,,,,,,,,,,,,,,,
21.0,57344,26.286569595336914,,,,,,,,,,,,,,,
21.0,57856,28.516204833984375,280,31521.561145019532,13965.3427734375,-5.168469178676605,-0.06399961274582892,0.0,0.25927734375,0.2,0.024698844,0.0003,,,,,
21.0,58368,23.102951049804688,,,,,,,,,,,,,,,
21.0,58880,31.535320281982422,,,,,,,,,,,,,,,
21.0,59392,30.457645416259766,,,,,,,,,,,,,,,
21.0,59904,24.9033203125,290,28245.49984741211,12718.1181640625,-5.158965009450912,-0.06414051676983945,0.0,0.274658203125,0.2,0.02657976,0.0003,,,,,
21.0,60416,30.06118392944336,,,,,,,,,,,,,,,
21.0,60928,33.88861083984375,,,,,,,,,,,,,,,
21.0,61440,27.82253646850586,,,,,,,,,,,,,,,
