eval/mean_ep_length,time/total_timesteps,eval/mean_reward,train/learning_rate,train/explained_variance,train/loss,train/clip_fraction,train/value_loss,train/approx_kl,train/policy_gradient_loss,train/n_updates,train/clip_range,train/entropy_loss,rollout/ep_rew_mean,time/iterations,time/time_elapsed,rollout/ep_len_mean,time/fps
21.0,277504,36.323699951171875,0.0003,0.0,12292.025390625,0.272216796875,27997.742669677733,0.028856447,-0.03939562467858195,1350,0.2,-3.485401029884815,,,,,
21.0,278528,39.45000457763672,,,,,,,,,,,,,,,
21.0,279552,39.412139892578125,0.0003,5.960464477539063e-08,12763.4296875,0.201123046875,27022.80729980469,0.022128388,-0.035041624345467426,1360,0.2,-3.4816601641476153,,,,,
21.0,280576,36.09831237792969,,,,,,,,,,,,,,,
21.0,281600,44.16313171386719,0.0003,0.0,11472.916015625,0.261865234375,26261.813513183595,0.029904043,-0.03082067739596823,1370,0.2,-3.4676376834511755,,,,,
21.0,282624,41.9645881652832,,,,,,,,,,,,,,,
21.0,283648,39.70531463623047,0.0003,0.0,12272.4130859375,0.24296875,24474.776330566405,0.028030531,-0.029830142699938732,1380,0.2,-3.459452395141125,,,,,
21.0,284672,38.04974365234375,,,,,,,,,,,,,,,
21.0,285696,38.036495208740234,0.0003,-1.1920928955078125e-07,10764.640625,0.28798828125,25982.053845214843,0.030841209,-0.031264301334158515,1390,0.2,-3.456738445907831,,,,,
21.0,286720,35.97673034667969,,,,,,,,,,,,,,,
,286720,,,,,,,,,,,,502.97413387999995,140,331,21.0,864
21.0,287744,38.78776931762695,0.0003,0.0,13507.9287109375,0.241943359375,25303.36520996094,0.026929043,-0.0353782692385721,1400,0.2,-3.4332128942012785,,,,,
21.0,288768,37.48352813720703,,,,,,,,,,,,,,,
21.0,289792,35.231300354003906,0.0003,-1.1920928955078125e-07,11883.3828125,0.261865234375,25518.03757324219,0.028293632,-0.028802557614108083,1410,0.2,-3.4154629841446877,,,,,
21.0,290816,36.52368927001953,,,,,,,,,,,,,,,
21.0,291840,40.555015563964844,0.0003,5.960464477539063e-08,11931.1103515625,0.260791015625,25963.905346679687,0.03004827,-0.03442872772575356,1420,0.2,-3.408877980709076,,,,,
21.0,292864,38.79519271850586,,,,,,,,,,,,,,,
21.0,293888,37.724403381347656,0.0003,0.0,13878.748046875,0.268408203125,27243.221923828125,0.02711919,-0.031965266572660765,1430,0.2,-3.4066037431359293,,,,,
21.0,294912,39.17232131958008,,,,,,,,,,,,,,,
21.0,295936,36.92704391479492,0.0003,0.0,14617.1923828125,0.260400390625,26646.05912475586,0.023797138,-0.04048043299699202,1440,0.2,-3.4140815176069736,,,,,
21.0,296960,36.06986999511719,,,,,,,,,,,,,,,
21.0,297984,38.016849517822266,0.0003,0.0,11638.3701171875,0.251171875,25550.35012207031,0.02451875,-0.03841048608301208,1450,0.2,-3.4103148065507414,,,,,
21.0,299008,42.21441650390625,,,,,,,,,,,,,,,
21.0,300032,38.6573486328125,0.0003,0.0,14322.7431640625,0.239306640625,25236.26251831055,0.023556706,-0.030135121555940714,1460,0.2,-3.406520815193653,,,,,
21.0,301056,39.215980529785156,,,,,,,,,,,,,,,
21.0,302080,39.05725860595703,0.0003,5.960464477539063e-08,14004.7890625,0.27412109375,27585.728253173827,0.033716135,-0.028887031387421304,1470,0.2,-3.4019315004348756,,,,,
21.0,303104,36.14857864379883,,,,,,,,,,,,,,,
21.0,304128,38.12709045410156,0.0003,0.0,12033.3037109375,0.2771484375,26644.407604980468,0.02538927,-0.03313539486553054,1480,0.2,-3.402227585762739,,,,,
21.0,305152,36.972877502441406,,,,,,,,,,,,,,,
21.0,306176,38.65765380859375,0.0003,0.0,14022.4140625,0.289794921875,28163.35599975586,0.034064487,-0.02999327721481677,1490,0.2,-3.391156719624996,,,,,
21.0,307200,42.72528076171875,,,,,,,,,,,,,,,
,307200,,,,,,,,,,,,516.91831247,150,355,21.0,865
21.0,308224,40.90126419067383,0.0003,-1.1920928955078125e-07,11896.712890625,0.28720703125,25563.970013427734,0.030608306,-0.034419040521606804,1500,0.2,-3.389345708489418,,,,,
21.0,309248,38.93541717529297,,,,,,,,,,,,,,,
21.0,310272,36.71183776855469,0.0003,0.0,12821.6171875,0.2822265625,25062.414739990236,0.02971542,-0.02539153419493232,1510,0.2,-3.379812140017748,,,,,
21.0,311296,38.12310791015625,,,,,,,,,,,,,,,
21.0,312320,42.046112060546875,0.0003,0.0,13089.0419921875,0.245849609375,26776.818444824217,0.027171277,-0.03256560809677467,1520,0.2,-3.3681470073759554,,,,,
21.0,313344,40.34068298339844,,,,,,,,,,,,,,,
21.0,314368,39.469058990478516,0.0003,5.960464477539063e-08,11504.7431640625,0.258642578125,28026.313201904297,0.02802466,-0.026137545981328003,1530,0.2,-3.368067115545273,,,,,
21.0,315392,38.33173370361328,,,,,,,,,,,,,,,
21.0,316416,39.13623809814453,0.0003,0.0,12308.1015625,0.2087890625,24109.00503540039,0.021227397,-0.031323709001298994,1540,0.2,-3.342992150038481,,,,,
21.0,317440,37.19438171386719,,,,,,,,,,,,,,,
21.0,318464,36.88854217529297,0.0003,0.0,12806.9228515625,0.270361328125,26583.30658569336,0.024833452,-0.03041506531299092,1550,0.2,-3.3383782282471657,,,,,
21.0,319488,37.13310623168945,,,,,,,,,,,,,,,
21.0,320512,36.06103515625,0.0003,0.0,12368.46875,0.232861328125,24178.312121582032,0.024102993,-0.02904955645208247,1560,0.2,-3.338883604109287,,,,,
21.0,321536,38.72225570678711,,,,,,,,,,,,,,,
21.0,322560,38.24150085449219,0.0003,0.0,12813.3408203125,0.254345703125,26122.60369873047,0.026311472,-0.029405024122388566,1570,0.2,-3.3304550014436245,,,,,
21.0,323584,36.8437385559082,,,,,,,,,,,,,,,
21.0,324608,39.622283935546875,0.0003,0.0,12017.4892578125,0.2552734375,25778.684521484374,0.029205106,-0.02820493902254384,1580,0.2,-3.325614691525698,,,,,
21.0,325632,40.00306701660156,,,,,,,,,,,,,,,
21.0,326656,39.94440841674805,0.0003,5.960464477539063e-08,13181.5576171875,0.25771484375,26146.318408203126,0.032522336,-0.02474610572535312,1590,0.2,-3.3208968162536623,,,,,
21.0,327680,35.40833282470703,,,,,,,,,,,,,,,
,327680,,,,,,,,,,,,510.57701047999996,160,378,21.0,865
21.0,328704,38.58268737792969,0.0003,0.0,11607.25,0.2880859375,23515.584887695313,0.033560574,-0.021633880262379536,1600,0.2,-3.3194417864084245,,,,,
21.0,329728,40.89684295654297,,,,,,,,,,,,,,,
21.0,330752,40.051788330078125,0.0003,5.960464477539063e-08,14646.0107421875,0.281884765625,25998.5552734375,0.029137995,-0.033708969235885886,1610,0.2,-3.308619333803654,,,,,
21.0,331776,37.179603576660156,,,,,,,,,,,,,,,
21.0,332800,40.021453857421875,0.0003,-1.1920928955078125e-07,11810.4189453125,0.3232421875,24679.74370727539,0.0351268,-0.03097476265829755,1620,0.2,-3.2906244955956936,,,,,
21.0,333824,39.46513366699219,,,,,,,,,,,,,,,
21.0,334848,40.43307876586914,0.0003,0.0,11259.5810546875,0.255615234375,25329.418054199217,0.028735414,-0.02795425706281094,1630,0.2,-3.2721481882035732,,,,,
21.0,335872,40.0040283203125,,,,,,,,,,,,,,,
21.0,336896,36.277793884277344,0.0003,-1.1920928955078125e-07,12206.380859375,0.2962890625,25261.352868652342,0.0341769,-0.0340594073466491,1640,0.2,-3.2740635268390177,,,,,
21.0,337920,41.16624450683594,,,,,,,,,,,,,,,
21.0,338944,36.53887939453125,0.0003,0.0,13429.0947265625,0.260693359375,24390.907177734374,0.033201568,-0.016438100703817328,1650,0.2,-3.263637565076351,,,,,
21.0,339968,35.550323486328125,,,,,,,,,,,,,,,
21.0,340992,36.67551040649414,0.0003,0.0,12319.02734375,0.320751953125,26444.157025146484,0.036883757,-0.028699906254769304,1660,0.2,-3.259119190275669,,,,,
21.0,342016,37.84137725830078,,,,,,,,,,,,,,,
21.0,343040,37.91603088378906,0.0003,5.960464477539063e-08,13019.234375,0.309716796875,24190.30634765625,0.034357846,-0.01719176026963396,1670,0.2,-3.2732919059693812,,,,,
21.0,344064,38.111045837402344,,,,,,,,,,,,,,,
21.0,345088,40.44562530517578,0.0003,0.0,13344.083984375,0.24326171875,25187.59650878906,0.024982827,-0.026814488868694752,1680,0.2,-3.2712486505508425,,,,,
21.0,346112,42.64250946044922,,,,,,,,,,,,,,,
21.0,347136,40.90911102294922,0.0003,0.0,11018.2939453125,0.22470703125,23438.72763671875,0.023543896,-0.024293112468149046,1690,0.2,-3.2661863304674625,,,,,
21.0,348160,37.282447814941406,,,,,,,,,,,,,,,
,348160,,,,,,,,,,,,521.4139231,170,401,21.0,866
21.0,349184,37.78740692138672,0.0003,-1.1920928955078125e-07,11493.8408203125,0.267236328125,23702.771405029296,0.029865727,-0.02175986580841709,1700,0.2,-3.2576564326882362,,,,,
21.0,350208,37.32826614379883,,,,,,,,,,,,,,,
21.0,351232,38.628570556640625,0.0003,0.0,12689.8505859375,0.249462890625,25215.9905456543,0.030080313,-0.02388907440472394,1710,0.2,-3.2503060355782507,,,,,
