eval/mean_ep_length,time/total_timesteps,eval/mean_reward,train/value_loss,train/entropy_loss,train/clip_fraction,train/explained_variance,train/clip_range,train/loss,train/learning_rate,train/n_updates,train/approx_kl,train/policy_gradient_loss,time/fps,rollout/ep_len_mean,rollout/ep_rew_mean,time/iterations,time/time_elapsed
50.0,63500,4.131089210510254,10006.679541015625,-4.917311426997185,0.394873046875,0.0,0.2,5097.78955078125,0.0003,310,0.043758407,-0.07559013419086114,,,,,
50.0,64000,9.581056594848633,,,,,,,,,,,,,,,
50.0,64500,6.367189407348633,,,,,,,,,,,,,,,
50.0,65000,5.411370754241943,,,,,,,,,,,,,,,
50.0,65500,5.07716703414917,,,,,,,,,,,,,,,
50.0,66000,4.441418647766113,9220.781817626954,-4.886901718378067,0.41416015625,0.0,0.2,3830.163818359375,0.0003,320,0.048430406,-0.08236068862024695,,,,,
50.0,66500,8.27324104309082,,,,,,,,,,,,,,,
50.0,67000,5.413889408111572,,,,,,,,,,,,,,,
50.0,67500,7.418713569641113,,,,,,,,,,,,,,,
50.0,68000,3.895623207092285,9594.508731079102,-4.843483726680279,0.43037109375,0.0,0.2,4171.6826171875,0.0003,330,0.05381249,-0.07920397736597806,,,,,
50.0,68500,5.66588020324707,,,,,,,,,,,,,,,
50.0,69000,4.325051307678223,,,,,,,,,,,,,,,
50.0,69500,6.725915431976318,,,,,,,,,,,,,,,
50.0,70000,5.306815147399902,8704.026887512207,-4.82633226364851,0.400048828125,0.0,0.2,4035.233154296875,0.0003,340,0.047299955,-0.08192397123202681,,,,,
50.0,70500,5.914111137390137,,,,,,,,,,,,,,,
50.0,71000,4.691836357116699,,,,,,,,,,,,,,,
50.0,71500,3.7720189094543457,,,,,,,,,,,,,,,
50.0,72000,4.070866107940674,8132.874542236328,-4.819795416295529,0.435498046875,0.0,0.2,3630.263916015625,0.0003,350,0.05591485,-0.08029388901777565,,,,,
50.0,72500,4.503305912017822,,,,,,,,,,,,,,,
50.0,73000,7.286032676696777,,,,,,,,,,,,,,,
50.0,73500,5.835667610168457,,,,,,,,,,,,,,,
50.0,74000,8.115045547485352,8329.49941558838,-4.807717761397361,0.450341796875,-1.1920928955078125e-07,0.2,4492.14794921875,0.0003,360,0.061631743,-0.08607092044549063,,,,,
50.0,74500,5.317195415496826,,,,,,,,,,,,,,,
50.0,75000,5.505838871002197,,,,,,,,,,,,,,,
50.0,75500,5.993008613586426,,,,,,,,,,,,,,,
50.0,76000,4.023555755615234,7707.217161560058,-4.783208937942982,0.43662109375,0.0,0.2,3404.498046875,0.0003,370,0.06694405,-0.08463657466927543,,,,,
50.0,76500,7.893671035766602,,,,,,,,,,,,,,,
50.0,77000,5.7165846824646,,,,,,,,,,,,,,,
50.0,77500,4.157315254211426,,,,,,,,,,,,,,,
50.0,78000,7.750570297241211,8205.983544921875,-4.7477517306804655,0.407080078125,-1.1920928955078125e-07,0.2,2847.83447265625,0.0003,380,0.051662773,-0.08104536549653858,,,,,
50.0,78500,3.7319908142089844,,,,,,,,,,,,,,,
50.0,79000,6.327764511108398,,,,,,,,,,,,,,,
50.0,79500,4.535425186157227,,,,,,,,,,,,,,,
50.0,80000,6.488725662231445,8352.295416259765,-4.706829597055912,0.362939453125,0.0,0.2,3635.33837890625,0.0003,390,0.042948406,-0.07342147090239451,,,,,
50.0,80500,4.662858486175537,,,,,,,,,,,,,,,
50.0,81000,6.319360256195068,,,,,,,,,,,,,,,
50.0,81500,4.656975269317627,,,,,,,,,,,,,,,
,81920,,,,,,,,,,,,682,50.0,474.44990199,40,120
50.0,82000,5.3750433921813965,8867.733239746094,-4.684883224964142,0.43720703125,-1.1920928955078125e-07,0.2,2802.013427734375,0.0003,400,0.05748569,-0.0776528159622103,,,,,
50.0,82500,8.158754348754883,,,,,,,,,,,,,,,
50.0,83000,5.9907026290893555,,,,,,,,,,,,,,,
50.0,83500,5.029675006866455,,,,,,,,,,,,,,,
50.0,84000,7.498579978942871,8583.83426361084,-4.6647926568984985,0.396337890625,5.960464477539063e-08,0.2,4051.892333984375,0.0003,410,0.0499034,-0.0749557817587629,,,,,
50.0,84500,4.973719596862793,,,,,,,,,,,,,,,
50.0,85000,5.710756301879883,,,,,,,,,,,,,,,
50.0,85500,6.182126998901367,,,,,,,,,,,,,,,
50.0,86000,8.742315292358398,,,,,,,,,,,,,,,
50.0,86500,6.0731635093688965,8438.673657226562,-4.625689534842968,0.430908203125,0.0,0.2,3887.49609375,0.0003,420,0.05147986,-0.08195409959880635,,,,,
50.0,87000,6.86212158203125,,,,,,,,,,,,,,,
50.0,87500,7.932676315307617,,,,,,,,,,,,,,,
50.0,88000,7.225588321685791,,,,,,,,,,,,,,,
50.0,88500,6.175380706787109,10209.845846557617,-4.564578811824322,0.4275390625,0.0,0.2,5001.78271484375,0.0003,430,0.05517101,-0.07957097534090281,,,,,
50.0,89000,4.903648853302002,,,,,,,,,,,,,,,
50.0,89500,10.318034172058105,,,,,,,,,,,,,,,
50.0,90000,5.9408650398254395,,,,,,,,,,,,,,,
50.0,90500,4.483528137207031,8944.596792602539,-4.515445926785469,0.41669921875,-1.1920928955078125e-07,0.2,3763.34375,0.0003,440,0.057658322,-0.07350281191174872,,,,,
50.0,91000,9.520336151123047,,,,,,,,,,,,,,,
50.0,91500,5.744061470031738,,,,,,,,,,,,,,,
50.0,92000,8.885021209716797,,,,,,,,,,,,,,,
50.0,92500,5.7505927085876465,9412.065481567382,-4.44458287358284,0.43154296875,0.0,0.2,5451.19677734375,0.0003,450,0.06332649,-0.07949333272408694,,,,,
50.0,93000,6.4692840576171875,,,,,,,,,,,,,,,
50.0,93500,4.189274787902832,,,,,,,,,,,,,,,
50.0,94000,5.377945899963379,,,,,,,,,,,,,,,
50.0,94500,6.341001510620117,9657.92172088623,-4.382676540315151,0.393994140625,-1.1920928955078125e-07,0.2,5130.9970703125,0.0003,460,0.049865723,-0.06771858180873096,,,,,
50.0,95000,6.028531551361084,,,,,,,,,,,,,,,
50.0,95500,8.260198593139648,,,,,,,,,,,,,,,
50.0,96000,9.91347885131836,,,,,,,,,,,,,,,
50.0,96500,8.207685470581055,9888.944296264648,-4.315193337202072,0.39296875,-1.1920928955078125e-07,0.2,5394.91064453125,0.0003,470,0.0552149,-0.07215382277499885,,,,,
50.0,97000,8.748459815979004,,,,,,,,,,,,,,,
50.0,97500,4.6554718017578125,,,,,,,,,,,,,,,
50.0,98000,6.044867992401123,,,,,,,,,,,,,,,
50.0,98500,7.357797622680664,9192.517991638184,-4.231592118740082,0.405126953125,0.0,0.2,4594.33642578125,0.0003,480,0.054410227,-0.06942508027423173,,,,,
50.0,99000,7.873269081115723,,,,,,,,,,,,,,,
50.0,99500,6.697652816772461,,,,,,,,,,,,,,,
50.0,100000,9.00107192993164,,,,,,,,,,,,,,,
50.0,100500,5.515121936798096,8761.853579711915,-4.204384304583073,0.402197265625,0.0,0.2,3945.855224609375,0.0003,490,0.051742993,-0.0638321153121069,,,,,
50.0,101000,7.21774435043335,,,,,,,,,,,,,,,
50.0,101500,10.118648529052734,,,,,,,,,,,,,,,
50.0,102000,8.343935012817383,,,,,,,,,,,,,,,
,102400,,,,,,,,,,,,705,50.0,519.0410121000001,50,145
50.0,102500,7.258583068847656,9927.711373901368,-4.106199894845486,0.356494140625,-1.1920928955078125e-07,0.2,3654.908935546875,0.0003,500,0.048736446,-0.0760442293365486,,,,,
50.0,103000,7.417854309082031,,,,,,,,,,,,,,,
50.0,103500,9.493904113769531,,,,,,,,,,,,,,,
50.0,104000,8.675281524658203,,,,,,,,,,,,,,,
50.0,104500,5.061807155609131,11506.26259765625,-4.0461451843380924,0.3296875,0.0,0.2,4890.93359375,0.0003,510,0.038135774,-0.06648825439624488,,,,,
50.0,105000,12.952628135681152,,,,,,,,,,,,,,,
50.0,105500,10.995392799377441,,,,,,,,,,,,,,,
50.0,106000,7.472888946533203,,,,,,,,,,,,,,,
50.0,106500,5.355196475982666,10131.293614196777,-4.038271474838257,0.285400390625,-1.1920928955078125e-07,0.2,4519.97021484375,0.0003,520,0.030888293,-0.06548110435251146,,,,,
50.0,107000,7.416618824005127,,,,,,,,,,,,,,,
50.0,107500,5.4058518409729,,,,,,,,,,,,,,,
50.0,108000,9.115252494812012,,,,,,,,,,,,,,,
50.0,108500,5.935773849487305,,,,,,,,,,,,,,,
50.0,109000,5.311155319213867,12010.21067199707,-4.003357149660587,0.33427734375,0.0,0.2,5920.7275390625,0.0003,530,0.03909759,-0.07272740650223568,,,,,
50.0,109500,12.445413589477539,,,,,,,,,,,,,,,
50.0,110000,7.45780611038208,,,,,,,,,,,,,,,
50.0,110500,8.796236991882324,,,,,,,,,,,,,,,
50.0,111000,11.03819751739502,9743.457264709472,-3.947666656970978,0.351513671875,0.0,0.2,4393.6669921875,0.0003,540,0.04242165,-0.06650681314058601,,,,,
50.0,111500,7.498355865478516,,,,,,,,,,,,,,,
50.0,112000,9.099098205566406,,,,,,,,,,,,,,,
50.0,112500,12.98264217376709,,,,,,,,,,,,,,,
50.0,113000,9.931983947753906,13217.38009185791,-3.872811445593834,0.227978515625,0.0,0.2,5491.81689453125,0.0003,550,0.020671891,-0.060037247592117635,,,,,
50.0,113500,5.42920446395874,,,,,,,,,,,,,,,
50.0,114000,11.384852409362793,,,,,,,,,,,,,,,
50.0,114500,8.325729370117188,,,,,,,,,,,,,,,
50.0,115000,12.04725456237793,13885.552954101562,-3.8260245233774186,0.273046875,0.0,0.2,5635.83935546875,0.0003,560,0.02949843,-0.059010750346351414,,,,,
50.0,115500,10.097911834716797,,,,,,,,,,,,,,,
50.0,116000,9.050738334655762,,,,,,,,,,,,,,,
50.0,116500,11.70897102355957,,,,,,,,,,,,,,,
50.0,117000,13.046252250671387,15417.073513793945,-3.77549162581563,0.238037109375,0.0,0.2,7217.6591796875,0.0003,570,0.023752112,-0.06390330023132265,,,,,
50.0,117500,8.876285552978516,,,,,,,,,,,,,,,
50.0,118000,6.928112030029297,,,,,,,,,,,,,,,
50.0,118500,9.813821792602539,,,,,,,,,,,,,,,
50.0,119000,8.299297332763672,16494.3439453125,-3.7187436409294605,0.215185546875,0.0,0.2,7529.18896484375,0.0003,580,0.02435484,-0.05581633545225486,,,,,
50.0,119500,12.43520736694336,,,,,,,,,,,,,,,
50.0,120000,13.301496505737305,,,,,,,,,,,,,,,
50.0,120500,11.117352485656738,,,,,,,,,,,,,,,
50.0,121000,13.038102149963379,14780.199517822266,-3.678299597650766,0.22626953125,0.0,0.2,7450.73681640625,0.0003,590,0.022177808,-0.06045485502691008,,,,,
50.0,121500,9.202594757080078,,,,,,,,,,,,,,,
50.0,122000,9.718681335449219,,,,,,,,,,,,,,,
50.0,122500,7.389525413513184,,,,,,,,,,,,,,,
,122880,,,,,,,,,,,,724,50.0,646.57430504,60,169
50.0,123000,10.126201629638672,15041.710086059571,-3.6641124680638315,0.2169921875,0.0,0.2,8068.099609375,0.0003,600,0.021767963,-0.04880892884684727,,,,,
50.0,123500,9.958791732788086,,,,,,,,,,,,,,,
50.0,124000,11.88588809967041,,,,,,,,,,,,,,,
50.0,124500,9.864503860473633,,,,,,,,,,,,,,,
50.0,125000,8.566717147827148,17010.97508239746,-3.59709552526474,0.238134765625,0.0,0.2,7130.20654296875,0.0003,610,0.021076849,-0.059709213173482566,,,,,
50.0,125500,11.052923202514648,,,,,,,,,,,,,,,
50.0,126000,11.173639297485352,,,,,,,,,,,,,,,
50.0,126500,8.732897758483887,,,,,,,,,,,,,,,
50.0,127000,12.399297714233398,16497.214309692383,-3.548445424437523,0.254833984375,0.0,0.2,6555.94775390625,0.0003,620,0.026076604,-0.0598900863842573,,,,,
50.0,127500,9.337607383728027,,,,,,,,,,,,,,,
50.0,128000,14.411489486694336,,,,,,,,,,,,,,,
50.0,128500,11.975822448730469,,,,,,,,,,,,,,,
50.0,129000,13.091161727905273,,,,,,,,,,,,,,,
50.0,129500,10.861477851867676,19234.856695556642,-3.5260128028690816,0.16875,0.0,0.2,10245.4287109375,0.0003,630,0.018692538,-0.04676989155705087,,,,,
50.0,130000,15.207778930664062,,,,,,,,,,,,,,,
50.0,130500,10.037970542907715,,,,,,,,,,,,,,,
50.0,131000,14.001325607299805,,,,,,,,,,,,,,,
50.0,131500,16.452594757080078,17553.96272277832,-3.494604106992483,0.23544921875,-1.1920928955078125e-07,0.2,9726.1259765625,0.0003,640,0.02343788,-0.05706484686234035,,,,,
50.0,132000,14.326410293579102,,,,,,,,,,,,,,,
50.0,132500,15.616670608520508,,,,,,,,,,,,,,,
50.0,133000,18.04226303100586,,,,,,,,,,,,,,,
50.0,133500,17.230316162109375,18630.23225708008,-3.4445630267262457,0.1966796875,-1.1920928955078125e-07,0.2,10288.0166015625,0.0003,650,0.017241634,-0.04342470186529681,,,,,
50.0,134000,11.599318504333496,,,,,,,,,,,,,,,
50.0,134500,18.49677848815918,,,,,,,,,,,,,,,
50.0,135000,16.400306701660156,,,,,,,,,,,,,,,
50.0,135500,12.469038009643555,18633.880209350587,-3.4393166601657867,0.16787109375,5.960464477539063e-08,0.2,9833.998046875,0.0003,660,0.016739305,-0.04129572094534524,,,,,
50.0,136000,13.717729568481445,,,,,,,,,,,,,,,
50.0,136500,9.9686279296875,,,,,,,,,,,,,,,
50.0,137000,12.231287002563477,,,,,,,,,,,,,,,
50.0,137500,11.515344619750977,19667.800161743166,-3.4065133050084113,0.148046875,0.0,0.2,9092.865234375,0.0003,670,0.013230055,-0.03814534731209278,,,,,
50.0,138000,11.347314834594727,,,,,,,,,,,,,,,
50.0,138500,12.53669261932373,,,,,,,,,,,,,,,
50.0,139000,14.191207885742188,,,,,,,,,,,,,,,
50.0,139500,9.75741958618164,20082.518298339844,-3.3334870457649233,0.22197265625,0.0,0.2,6609.48876953125,0.0003,680,0.021932758,-0.05252227072487585,,,,,
50.0,140000,13.330127716064453,,,,,,,,,,,,,,,
50.0,140500,15.875944137573242,,,,,,,,,,,,,,,
50.0,141000,15.259130477905273,,,,,,,,,,,,,,,
50.0,141500,16.48989486694336,22325.763540649416,-3.2643389143049717,0.17783203125,0.0,0.2,10509.7744140625,0.0003,690,0.01824564,-0.04646435544709675,,,,,
50.0,142000,11.045717239379883,,,,,,,,,,,,,,,
