eval/mean_reward,time/total_timesteps,eval/mean_ep_length,train/approx_kl,train/loss,train/value_loss,train/learning_rate,train/entropy_loss,train/policy_gradient_loss,train/explained_variance,train/n_updates,train/clip_fraction,train/clip_range,time/time_elapsed,time/fps,rollout/ep_len_mean,rollout/ep_rew_mean,time/iterations
44.647132873535156,134144,27.0,0.017052481,17.893962860107422,36.88833951354027,0.0003,-4.426593977212906,-0.02424101890064776,0.0,650,0.233642578125,0.2,,,,,
46.42217254638672,135168,27.0,,,,,,,,,,,,,,,
46.96067810058594,136192,27.0,0.018004552,12.098538398742676,34.10089290142059,0.0003,-4.428903257846832,-0.0202796794459573,0.0,660,0.212353515625,0.2,,,,,
49.10838317871094,137216,27.0,,,,,,,,,,,,,,,
48.49596405029297,138240,27.0,0.018515324,12.922717094421387,36.31531553864479,0.0003,-4.434278295934201,-0.024588892437168396,0.0,670,0.242578125,0.2,,,,,
49.59442138671875,139264,27.0,,,,,,,,,,,,,,,
45.48298645019531,140288,27.0,0.017183246,19.276451110839844,35.42583904862404,0.0003,-4.396220523118973,-0.028189833382202777,-1.1920928955078125e-07,680,0.26337890625,0.2,,,,,
47.200172424316406,141312,27.0,,,,,,,,,,,,,,,
49.18914031982422,142336,27.0,0.017692002,14.865408897399902,36.793535876274106,0.0003,-4.385665883123875,-0.02340265155362431,0.0,690,0.215673828125,0.2,,,,,
51.270484924316406,143360,27.0,,,,,,,,,,,,,,,
,143360,,,,,,,,,,,,451,317,27.0,48.06690146,70
50.53119659423828,144384,27.0,0.01597615,13.392305374145508,35.1965540766716,0.0003,-4.397579888999462,-0.02404075211088639,0.0,700,0.22138671875,0.2,,,,,
45.05712127685547,145408,27.0,,,,,,,,,,,,,,,
45.326820373535156,146432,27.0,0.019125907,17.054580688476562,35.21213514208794,0.0003,-4.345736275613308,-0.025780104286968707,0.0,710,0.26982421875,0.2,,,,,
50.066368103027344,147456,27.0,,,,,,,,,,,,,,,
47.133201599121094,148480,27.0,0.018330298,18.66021728515625,32.71687752604485,0.0003,-4.311156359314919,-0.022323377308202906,0.0,720,0.235791015625,0.2,,,,,
50.60179138183594,149504,27.0,,,,,,,,,,,,,,,
48.94328689575195,150528,27.0,0.016418565,14.69262409210205,31.078070455789565,0.0003,-4.2772658839821815,-0.02455764792393893,-1.1920928955078125e-07,730,0.2443359375,0.2,,,,,
48.37105178833008,151552,27.0,,,,,,,,,,,,,,,
52.44329833984375,152576,27.0,0.018672083,21.10891342163086,30.149254685640337,0.0003,-4.278777368366718,-0.02385812132124556,0.0,740,0.234130859375,0.2,,,,,
43.8732795715332,153600,27.0,,,,,,,,,,,,,,,
48.17610168457031,154624,27.0,0.018646184,16.969175338745117,32.3955373108387,0.0003,-4.203317180275917,-0.02518293734319741,0.0,750,0.243603515625,0.2,,,,,
48.47308349609375,155648,27.0,,,,,,,,,,,,,,,
51.374698638916016,156672,27.0,0.019091748,15.80490779876709,30.744298142194747,0.0003,-4.1923423379659654,-0.020812926451617385,0.0,760,0.230615234375,0.2,,,,,
43.942901611328125,157696,27.0,,,,,,,,,,,,,,,
50.627403259277344,158720,27.0,0.019116694,14.883252143859863,30.295249181985856,0.0003,-4.187393634021282,-0.027422396406473128,0.0,770,0.279833984375,0.2,,,,,
46.91484069824219,159744,27.0,,,,,,,,,,,,,,,
52.60921096801758,160768,27.0,0.01723712,16.328588485717773,29.05105558037758,0.0003,-4.166795912384987,-0.0242945991398301,0.0,780,0.231787109375,0.2,,,,,
52.20081329345703,161792,27.0,,,,,,,,,,,,,,,
47.63752746582031,162816,27.0,0.017775163,15.282668113708496,25.75958668291569,0.0003,-4.205773088335991,-0.02059354858356528,0.0,790,0.229833984375,0.2,,,,,
48.76243591308594,163840,27.0,,,,,,,,,,,,,,,
,163840,,,,,,,,,,,,514,318,27.0,48.454140420000016,80
52.24791717529297,164864,27.0,0.017352792,11.880358695983887,28.824883157014845,0.0003,-4.188985612988472,-0.024451980234880467,0.0,800,0.233544921875,0.2,,,,,
44.0125732421875,165888,27.0,,,,,,,,,,,,,,,
49.34300231933594,166912,27.0,0.01771216,16.54973793029785,26.948195853829382,0.0003,-4.179945337772369,-0.02758224339049775,-1.1920928955078125e-07,810,0.28369140625,0.2,,,,,
50.18968963623047,167936,27.0,,,,,,,,,,,,,,,
48.470733642578125,168960,27.0,0.018597145,14.749717712402344,32.18997070193291,0.0003,-4.133115985989571,-0.021139617258450018,0.0,820,0.230419921875,0.2,,,,,
51.951805114746094,169984,27.0,,,,,,,,,,,,,,,
52.25592803955078,171008,27.0,0.018198043,15.479012489318848,28.97513892650604,0.0003,-4.110066920518875,-0.020594027279003058,0.0,830,0.211767578125,0.2,,,,,
46.79988098144531,172032,27.0,,,,,,,,,,,,,,,
50.687103271484375,173056,27.0,0.016361794,13.060720443725586,31.48800345659256,0.0003,-4.103297945857048,-0.020613788058108186,-1.1920928955078125e-07,840,0.195458984375,0.2,,,,,
50.91804885864258,174080,27.0,,,,,,,,,,,,,,,
53.535682678222656,175104,27.0,0.016069364,13.414660453796387,26.704757457971574,0.0003,-4.062173567712307,-0.02178840156266233,0.0,850,0.2162109375,0.2,,,,,
49.83393096923828,176128,27.0,,,,,,,,,,,,,,,
51.50387191772461,177152,27.0,0.017505359,12.343186378479004,25.333606204390527,0.0003,-4.059814038872719,-0.019567831174936146,0.0,860,0.204150390625,0.2,,,,,
50.717376708984375,178176,27.0,,,,,,,,,,,,,,,
53.82004165649414,179200,27.0,0.01815916,13.095117568969727,31.25215120613575,0.0003,-4.049844947457314,-0.02091986677405657,0.0,870,0.228076171875,0.2,,,,,
