time/total_timesteps,eval/mean_ep_length,eval/mean_reward,train/learning_rate,train/loss,train/entropy_loss,train/clip_range,train/policy_gradient_loss,train/approx_kl,train/clip_fraction,train/explained_variance,train/n_updates,train/value_loss,rollout/ep_len_mean,time/time_elapsed,time/iterations,time/fps,rollout/ep_rew_mean
87040,120.0,23.184139251708984,0.0003,57.5597038269043,-5.481448751688004,0.3,-0.04243820197225432,0.04090935,0.2412109375,0.0,420,60.80005861222744,,,,,
88064,120.0,19.57224464416504,,,,,,,,,,,,,,,
89088,120.0,18.76275062561035,0.0003,43.3598747253418,-5.544505200535059,0.3,-0.042067527317340134,0.04674539,0.262060546875,0.0,430,66.74907743483782,,,,,
90112,120.0,23.80891227722168,,,,,,,,,,,,,,,
91136,120.0,22.947154998779297,0.0003,101.59644317626953,-5.506981230527162,0.3,-0.041798198374453935,0.04082833,0.25546875,0.0,440,64.31427864432335,,,,,
92160,120.0,22.86001968383789,,,,,,,,,,,,,,,
93184,120.0,23.340103149414062,0.0003,109.13457489013672,-5.508775293081999,0.3,-0.04010466225954588,0.04409565,0.2546875,0.0,450,66.883276745677,,,,,
94208,120.0,22.203187942504883,,,,,,,,,,,,,,,
95232,120.0,26.426349639892578,0.0003,70.29180145263672,-5.479692561924457,0.3,-0.04435380810973584,0.050138686,0.282568359375,0.0,460,65.6111474558711,,,,,
96256,120.0,27.518335342407227,,,,,,,,,,,,,,,
97280,120.0,21.364028930664062,0.0003,61.487083435058594,-5.505054039508105,0.3,-0.04428133424808038,0.047041915,0.28017578125,0.0,470,64.06875245571136,,,,,
98304,120.0,23.13178253173828,,,,,,,,,,,,,,,
99328,120.0,23.19426727294922,0.0003,143.65643310546875,-5.471459660679102,0.3,-0.04064961373587721,0.042358838,0.25087890625,0.0,480,67.89561613202095,,,,,
100352,120.0,24.389801025390625,,,,,,,,,,,,,,,
101376,120.0,25.50101089477539,0.0003,58.21221923828125,-5.510669027268887,0.3,-0.03723708800098393,0.041896164,0.248095703125,0.0,490,62.52921208590269,,,,,
102400,120.0,23.734283447265625,,,,,,,,,,,,,,,
102400,,,,,,,,,,,,,120.0,287,50,355,23.06658914
103424,120.0,21.319337844848633,0.0003,53.20052719116211,-5.5110495336353775,0.3,-0.0436587088071974,0.046752974,0.2611328125,0.0,500,58.42147034704685,,,,,
104448,120.0,23.605426788330078,,,,,,,,,,,,,,,
105472,120.0,24.397008895874023,0.0003,92.94779968261719,-5.494642375409603,0.3,-0.03955087246358744,0.044289064,0.277978515625,0.0,510,56.20887454152107,,,,,
106496,120.0,21.20651626586914,,,,,,,,,,,,,,,
107520,120.0,24.080974578857422,0.0003,65.55921936035156,-5.473362399637699,0.3,-0.04293163216316316,0.044379093,0.2619140625,0.0,520,71.23073971271515,,,,,
108544,120.0,24.035175323486328,,,,,,,,,,,,,,,
109568,120.0,24.425905227661133,0.0003,49.989688873291016,-5.5242770403623584,0.3,-0.04400605926057324,0.041646138,0.245947265625,0.0,530,71.92830560207366,,,,,
110592,120.0,22.431625366210938,,,,,,,,,,,,,,,
111616,120.0,21.94458770751953,0.0003,66.26068878173828,-5.506461571902037,0.3,-0.042497600631759266,0.045866027,0.256884765625,0.0,540,56.75000504255295,,,,,
112640,120.0,24.668529510498047,,,,,,,,,,,,,,,
113664,120.0,23.76460838317871,0.0003,34.5069694519043,-5.535666186362505,0.3,-0.03987777608053875,0.044786524,0.231787109375,0.0,550,60.4630507171154,,,,,
114688,120.0,24.765342712402344,,,,,,,,,,,,,,,
115712,120.0,22.39917755126953,0.0003,43.331485748291016,-5.550175298750401,0.3,-0.03886416364730394,0.04334935,0.251806640625,0.0,560,51.8474412292242,,,,,
116736,120.0,21.869796752929688,,,,,,,,,,,,,,,
117760,120.0,20.876970291137695,0.0003,82.96504211425781,-5.571628781408071,0.3,-0.041980195957876276,0.040533446,0.237451171875,0.0,570,65.16133625805378,,,,,
118784,120.0,20.2668399810791,,,,,,,,,,,,,,,
119808,120.0,23.698747634887695,0.0003,38.83506774902344,-5.529753315448761,0.3,-0.038768206103850386,0.039658464,0.23916015625,-1.1920928955078125e-07,580,57.383781188726424,,,,,
120832,120.0,19.781187057495117,,,,,,,,,,,,,,,
121856,120.0,23.102880477905273,0.0003,52.12788772583008,-5.522032600641251,0.3,-0.04394004997884622,0.043953817,0.255078125,5.960464477539063e-08,590,60.64335700422525,,,,,
122880,120.0,21.2056884765625,,,,,,,,,,,,,,,
122880,,,,,,,,,,,,,120.0,343,60,357,21.971861680000007
123904,120.0,21.646224975585938,0.0003,86.20936584472656,-5.551947666704654,0.3,-0.04305431622851756,0.042886253,0.246875,0.0,600,65.4382274210453,,,,,
124928,120.0,22.3671875,,,,,,,,,,,,,,,
125952,120.0,21.93266487121582,0.0003,42.85852813720703,-5.539326208084821,0.3,-0.0386414473890909,0.046493545,0.247314453125,0.0,610,50.26933112442494,,,,,
126976,120.0,21.293804168701172,,,,,,,,,,,,,,,
128000,120.0,22.76466941833496,0.0003,56.008663177490234,-5.546577011793852,0.3,-0.04072984903177712,0.04747936,0.25361328125,5.960464477539063e-08,620,63.44625581502915,,,,,
129024,120.0,22.778169631958008,,,,,,,,,,,,,,,
130048,120.0,23.003816604614258,0.0003,65.36298370361328,-5.497930624336004,0.3,-0.04154643835208845,0.045397073,0.251220703125,0.0,630,60.792629547417164,,,,,
131072,120.0,23.047880172729492,,,,,,,,,,,,,,,
132096,120.0,24.028841018676758,0.0003,71.91195678710938,-5.454062738269568,0.3,-0.0413450375013781,0.044303022,0.23837890625,0.0,640,58.81487934291363,,,,,
133120,120.0,24.840229034423828,,,,,,,,,,,,,,,
134144,120.0,22.600536346435547,0.0003,15.215755462646484,-5.443125706911087,0.3,-0.04397927261088626,0.04486908,0.245703125,0.0,650,61.800487217307094,,,,,
135168,120.0,24.81105613708496,,,,,,,,,,,,,,,
136192,120.0,21.841930389404297,0.0003,67.53223419189453,-5.453156252205372,0.3,-0.04118338727130322,0.045303434,0.250927734375,5.960464477539063e-08,660,61.41193273663521,,,,,
137216,120.0,25.960037231445312,,,,,,,,,,,,,,,
138240,120.0,23.235145568847656,0.0003,48.84695816040039,-5.48645254522562,0.3,-0.042774664932949236,0.042316765,0.273583984375,5.960464477539063e-08,670,50.48410444557667,,,,,
139264,120.0,25.77899932861328,,,,,,,,,,,,,,,
140288,120.0,22.02545166015625,0.0003,55.304080963134766,-5.494040534645319,0.3,-0.04436296279054659,0.042377464,0.22060546875,0.0,680,54.40324184596538,,,,,
141312,120.0,22.527057647705078,,,,,,,,,,,,,,,
142336,120.0,23.240835189819336,0.0003,77.14216613769531,-5.493063723295927,0.3,-0.0514630423469498,0.049497575,0.29326171875,0.0,690,54.792037872970106,,,,,
143360,120.0,21.443866729736328,,,,,,,,,,,,,,,
143360,,,,,,,,,,,,,120.0,399,70,358,23.806642299999993
144384,120.0,24.80516815185547,0.0003,76.58124542236328,-5.491497904807329,0.3,-0.0396206900375546,0.04195367,0.218359375,-1.1920928955078125e-07,700,63.17373541593552,,,,,
145408,120.0,23.28272247314453,,,,,,,,,,,,,,,
146432,120.0,20.904422760009766,0.0003,33.071170806884766,-5.501885267347097,0.3,-0.048517024089960614,0.043325916,0.27021484375,-1.1920928955078125e-07,710,51.290202516317365,,,,,
