eval/mean_ep_length,eval/mean_reward,time/total_timesteps,train/learning_rate,train/loss,train/n_updates,train/explained_variance,train/clip_range,train/policy_gradient_loss,train/value_loss,train/approx_kl,train/entropy_loss,train/clip_fraction,rollout/ep_rew_mean,time/fps,time/time_elapsed,time/iterations,rollout/ep_len_mean
12.0,15.583638191223145,159744,,,,,,,,,,,,,,,
12.0,16.452430725097656,160768,0.0003,8.575376510620117,780,-1.1920928955078125e-07,0.2,-0.01581751082558185,12.806901170313358,0.07314983,-2.288875362277031,0.3025390625,,,,,
12.0,8.946598052978516,161792,,,,,,,,,,,,,,,
12.0,5.622718811035156,162816,0.0003,6.822412014007568,790,0.0,0.2,-0.008090790845744777,12.266136367619037,0.09094719,-2.284771544486284,0.3033203125,,,,,
12.0,22.522014617919922,163840,,,,,,,,,,,,,,,
,,163840,,,,,,,,,,,21.43433027,1086,150,80,12.0
12.0,11.753437042236328,164864,0.0003,7.077197074890137,800,0.0,0.2,-0.022741703969950323,14.244778102636337,0.10620422,-2.2644724301993846,0.30859375,,,,,
12.0,10.223859786987305,165888,,,,,,,,,,,,,,,
12.0,4.465551376342773,166912,0.0003,8.173290252685547,810,-1.1920928955078125e-07,0.2,-0.015005635915440508,13.655947251617908,0.11218475,-2.2612893797457216,0.398046875,,,,,
12.0,19.951839447021484,167936,,,,,,,,,,,,,,,
12.0,23.038970947265625,168960,0.0003,6.8060383796691895,820,5.960464477539063e-08,0.2,-0.0004196357011096552,12.34467430561781,0.089914046,-2.259088972210884,0.319677734375,,,,,
12.0,21.354883193969727,169984,,,,,,,,,,,,,,,
12.0,20.742191314697266,171008,0.0003,6.52836799621582,830,0.0,0.2,-0.02211996697151335,13.481181082129478,0.08155954,-2.265991286188364,0.36259765625,,,,,
12.0,22.716777801513672,172032,,,,,,,,,,,,,,,
12.0,17.910228729248047,173056,0.0003,8.01448917388916,840,0.0,0.2,-5.767281982116401e-05,12.78448725938797,0.09527618,-2.3018938831985,0.36689453125,,,,,
12.0,13.044656753540039,174080,,,,,,,,,,,,,,,
12.0,7.508460998535156,175104,0.0003,7.270784854888916,850,5.960464477539063e-08,0.2,-0.007109558617230505,15.130089157819748,0.06637787,-2.318335906416178,0.26728515625,,,,,
12.0,17.276344299316406,176128,,,,,,,,,,,,,,,
12.0,16.709056854248047,177152,0.0003,6.131872177124023,860,0.0,0.2,-0.005459543006145396,12.864075598120689,0.055021975,-2.307587853074074,0.2900390625,,,,,
12.0,16.20560073852539,178176,,,,,,,,,,,,,,,
12.0,13.985607147216797,179200,0.0003,8.537622451782227,870,0.0,0.2,-0.02069160158134764,12.944050362706184,0.06672181,-2.290602946281433,0.3443359375,,,,,
12.0,19.252761840820312,180224,,,,,,,,,,,,,,,
12.0,14.574783325195312,181248,0.0003,5.222165107727051,880,0.0,0.2,-0.0029005461576161904,14.092602887749672,0.0740286,-2.274284379929304,0.30703125,,,,,
12.0,7.964244842529297,182272,,,,,,,,,,,,,,,
12.0,11.804914474487305,183296,0.0003,7.077844142913818,890,0.0,0.2,-0.001938723851344548,12.862203648686409,0.08279745,-2.294355138391256,0.412841796875,,,,,
12.0,11.541829109191895,184320,,,,,,,,,,,,,,,
,,184320,,,,,,,,,,,18.32309742,1087,169,90,12.0
12.0,21.612937927246094,185344,0.0003,8.881084442138672,900,0.0,0.2,-0.015641906429664232,14.031230965256691,0.0774772,-2.284617628902197,0.31640625,,,,,
12.0,1.6599448919296265,186368,,,,,,,,,,,,,,,
12.0,13.644880294799805,187392,0.0003,6.102341651916504,910,0.0,0.2,-0.0010045876399090048,12.912654356658459,0.06620991,-2.294183464348316,0.288134765625,,,,,
12.0,20.06846046447754,188416,,,,,,,,,,,,,,,
12.0,21.560863494873047,189440,0.0003,7.792610168457031,920,-1.1920928955078125e-07,0.2,-0.004232873865839792,13.255716061592102,0.07923414,-2.2688907988369467,0.30771484375,,,,,
12.0,14.9119873046875,190464,,,,,,,,,,,,,,,
