time/total_timesteps,eval/mean_reward,eval/mean_ep_length,train/learning_rate,train/value_loss,train/entropy_loss,train/policy_gradient_loss,train/approx_kl,train/clip_range,train/clip_fraction,train/loss,train/explained_variance,train/n_updates,rollout/ep_len_mean,time/iterations,rollout/ep_rew_mean,time/time_elapsed,time/fps
535552,43.640586853027344,180.0,3e-05,30.47076599448919,-4.098276571184397,-0.009451351075404091,0.0057607074,0.2,0.011767578125,13.158385276794434,0.0,2610,,,,,
536576,48.84149932861328,180.0,,,,,,,,,,,,,,,
537600,49.42448425292969,180.0,3e-05,30.64290618747473,-4.090138574689627,-0.007742790368865826,0.0037477217,0.2,0.00595703125,24.682615280151367,0.0,2620,,,,,
538624,44.87466049194336,180.0,,,,,,,,,,,,,,,
539648,50.07440185546875,180.0,3e-05,31.736082397401333,-4.084045355021954,-0.00959715373992367,0.005634075,0.2,0.012841796875,17.703271865844727,-1.1920928955078125e-07,2630,,,,,
540672,48.460384368896484,180.0,,,,,,,,,,,,,,,
541696,51.65607452392578,180.0,3e-05,29.906550250947475,-4.081687760353089,-0.010239265702330158,0.006092029,0.2,0.0072265625,19.155929565429688,0.0,2640,,,,,
542720,40.90350341796875,180.0,,,,,,,,,,,,,,,
543744,47.61394500732422,180.0,3e-05,30.355613781511785,-4.066280031949281,-0.0069707511196611446,0.003594311,0.2,0.00341796875,19.25029945373535,0.0,2650,,,,,
544768,45.056827545166016,180.0,,,,,,,,,,,,,,,
545792,40.13555908203125,180.0,3e-05,30.414929378032685,-4.057069777697325,-0.007586018378060544,0.0037104636,0.2,0.005322265625,23.320552825927734,-1.1920928955078125e-07,2660,,,,,
546816,43.47296142578125,180.0,,,,,,,,,,,,,,,
547840,46.384361267089844,180.0,3e-05,31.11546910703182,-4.062222544103861,-0.0086836842707271,0.0050782557,0.2,0.00810546875,21.173322677612305,-1.1920928955078125e-07,2670,,,,,
548864,45.627113342285156,180.0,,,,,,,,,,,,,,,
549888,42.90830612182617,180.0,3e-05,31.080453994870187,-4.065362978726625,-0.00870920775050763,0.0047878698,0.2,0.0044921875,24.164968490600586,0.0,2680,,,,,
550912,46.19481658935547,180.0,,,,,,,,,,,,,,,
551936,48.36455535888672,180.0,3e-05,29.199890133738517,-4.072165413200855,-0.00805010154035699,0.0043719774,0.2,0.009033203125,20.76241111755371,0.0,2690,,,,,
552960,39.9002799987793,180.0,,,,,,,,,,,,,,,
552960,,,,,,,,,,,,,180.0,270,46.35448613,1985,278
553984,48.499053955078125,180.0,3e-05,27.7343464627862,-4.079952497780323,-0.00815727450462873,0.004720262,0.2,0.01064453125,19.576900482177734,0.0,2700,,,,,
555008,48.20969009399414,180.0,,,,,,,,,,,,,,,
556032,49.143489837646484,180.0,3e-05,30.47835407704115,-4.085074707120657,-0.007643929567711894,0.0040107127,0.2,0.007470703125,17.70827293395996,0.0,2710,,,,,
557056,44.991485595703125,180.0,,,,,,,,,,,,,,,
558080,48.7310791015625,180.0,3e-05,31.12937111854553,-4.091092319786549,-0.009718767469530576,0.004949577,0.2,0.010302734375,18.536399841308594,0.0,2720,,,,,
559104,48.76811218261719,180.0,,,,,,,,,,,,,,,
560128,49.64200210571289,180.0,3e-05,29.68973124474287,-4.09314851090312,-0.008598679647911922,0.004164335,0.2,0.0083984375,26.547019958496094,5.960464477539063e-08,2730,,,,,
561152,46.24346923828125,180.0,,,,,,,,,,,,,,,
562176,46.614681243896484,180.0,3e-05,31.100654919445514,-4.085300678014756,-0.009065431503404397,0.0047318833,0.2,0.015234375,20.936323165893555,0.0,2740,,,,,
563200,44.019744873046875,180.0,,,,,,,,,,,,,,,
564224,43.807411193847656,180.0,3e-05,28.530080588161944,-4.067719841003418,-0.00792812640156626,0.004949758,0.2,0.003857421875,25.696186065673828,0.0,2750,,,,,
565248,46.685272216796875,180.0,,,,,,,,,,,,,,,
566272,45.036312103271484,180.0,3e-05,31.16268713772297,-4.0630655594170095,-0.01116341836459469,0.005460546,0.2,0.01572265625,16.467172622680664,5.960464477539063e-08,2760,,,,,
567296,49.89984130859375,180.0,,,,,,,,,,,,,,,
568320,46.90819549560547,180.0,3e-05,28.97198742479086,-4.070499637722969,-0.0080636189897632,0.0044999495,0.2,0.005615234375,16.23091697692871,5.960464477539063e-08,2770,,,,,
569344,46.648834228515625,180.0,,,,,,,,,,,,,,,
570368,49.41422653198242,180.0,3e-05,32.74975032508373,-4.073689745366574,-0.009047427253972274,0.004744688,0.2,0.005908203125,15.453993797302246,0.0,2780,,,,,
571392,50.60820770263672,180.0,,,,,,,,,,,,,,,
572416,38.62906265258789,180.0,3e-05,31.691719943284987,-4.072839439660311,-0.00842401194604463,0.004279631,0.2,0.010009765625,20.40993309020996,0.0,2790,,,,,
573440,43.736534118652344,180.0,,,,,,,,,,,,,,,
573440,,,,,,,,,,,,,180.0,280,46.568321020000006,2056,278
574464,48.69549560546875,180.0,3e-05,31.311625953018666,-4.06931207254529,-0.009325418798471218,0.0058049215,0.2,0.009521484375,17.218894958496094,0.0,2800,,,,,
575488,46.194766998291016,180.0,,,,,,,,,,,,,,,
576512,50.00214767456055,180.0,3e-05,29.507103149592876,-4.061883825063705,-0.0073320691961271224,0.0044139866,0.2,0.00595703125,19.283166885375977,0.0,2810,,,,,
577536,42.373085021972656,180.0,,,,,,,,,,,,,,,
578560,43.74367141723633,180.0,3e-05,28.600093176960947,-4.0560676150023935,-0.010309323672845493,0.006373964,0.2,0.00947265625,30.724979400634766,0.0,2820,,,,,
579584,50.465904235839844,180.0,,,,,,,,,,,,,,,
580608,47.617408752441406,180.0,3e-05,31.58831928521395,-4.042695864289999,-0.009939848983776756,0.005182511,0.2,0.019384765625,14.325982093811035,0.0,2830,,,,,
581632,48.19053649902344,180.0,,,,,,,,,,,,,,,
582656,41.499935150146484,180.0,3e-05,29.30450187176466,-4.043333947658539,-0.009070497145876289,0.00512514,0.2,0.014013671875,20.516450881958008,-1.1920928955078125e-07,2840,,,,,
583680,43.63312530517578,180.0,,,,,,,,,,,,,,,
584704,45.745567321777344,180.0,3e-05,29.99589195549488,-4.042749302834272,-0.009867042870610021,0.0044776206,0.2,0.020703125,16.018583297729492,0.0,2850,,,,,
585728,49.174076080322266,180.0,,,,,,,,,,,,,,,
586752,45.55664825439453,180.0,3e-05,32.849286551773545,-4.037831833958625,-0.008008064732712228,0.0050180014,0.2,0.0025390625,30.840599060058594,0.0,2860,,,,,
587776,47.00278091430664,180.0,,,,,,,,,,,,,,,
588800,49.6205940246582,180.0,3e-05,31.11001095920801,-4.036275243014098,-0.009786116456598392,0.0046138978,0.2,0.0107421875,19.180862426757812,0.0,2870,,,,,
589824,41.602317810058594,180.0,,,,,,,,,,,,,,,
590848,46.414527893066406,180.0,3e-05,32.573162072896956,-4.034234522283077,-0.007692016590044659,0.004876653,0.2,0.006884765625,23.698596954345703,0.0,2880,,,,,
591872,45.436492919921875,180.0,,,,,,,,,,,,,,,
