time/total_timesteps,eval/mean_reward,eval/mean_ep_length,train/policy_gradient_loss,train/clip_fraction,train/n_updates,train/explained_variance,train/approx_kl,train/clip_range,train/entropy_loss,train/learning_rate,train/loss,train/value_loss,rollout/ep_len_mean,rollout/ep_rew_mean,time/fps,time/time_elapsed,time/iterations
117760,15.327397346496582,180.0,-0.035587072333146355,0.32568359375,570,0.0,0.021573294,0.2,-5.630102081596851,0.0003,19.127561569213867,34.35920201539993,,,,,
118784,16.91185188293457,180.0,,,,,,,,,,,,,,,
119808,15.075714111328125,180.0,-0.03229301841347478,0.305029296875,580,0.0,0.022748794,0.2,-5.6435307264328,0.0003,9.910492897033691,32.332654651999476,,,,,
120832,15.230100631713867,180.0,,,,,,,,,,,,,,,
121856,13.369081497192383,180.0,-0.033224490193242674,0.304296875,590,0.0,0.02186247,0.2,-5.634470045566559,0.0003,21.12148666381836,42.09615956246853,,,,,
122880,13.718450546264648,180.0,,,,,,,,,,,,,,,
122880,,,,,,,,,,,,,180.0,14.745138919999997,342,359,60
123904,14.665788650512695,180.0,-0.03157958348019747,0.284619140625,600,0.0,0.019993475,0.2,-5.655350203812122,0.0003,14.12943172454834,40.145327877998355,,,,,
124928,16.48084259033203,180.0,,,,,,,,,,,,,,,
125952,14.249058723449707,180.0,-0.03254372992960271,0.29619140625,610,5.960464477539063e-08,0.02021095,0.2,-5.6791376829147335,0.0003,24.083187103271484,42.771925592422484,,,,,
126976,14.090307235717773,180.0,,,,,,,,,,,,,,,
128000,14.326837539672852,180.0,-0.03251160361251095,0.272705078125,620,0.0,0.020112926,0.2,-5.687783256173134,0.0003,19.757535934448242,42.92098854482174,,,,,
129024,15.957368850708008,180.0,,,,,,,,,,,,,,,
130048,14.416254997253418,180.0,-0.03248003512853757,0.30224609375,630,0.0,0.020391326,0.2,-5.683371007442474,0.0003,13.801902770996094,38.9850293636322,,,,,
131072,14.069243431091309,180.0,,,,,,,,,,,,,,,
132096,15.145303726196289,180.0,-0.030678641371196136,0.288818359375,640,0.0,0.021624358,0.2,-5.692719075083732,0.0003,21.743572235107422,39.64146035015583,,,,,
133120,15.07946491241455,180.0,,,,,,,,,,,,,,,
134144,15.497060775756836,180.0,-0.03424971568456385,0.30029296875,650,0.0,0.023058016,0.2,-5.67853392213583,0.0003,10.292072296142578,38.568493908643724,,,,,
135168,13.97152328491211,180.0,,,,,,,,,,,,,,,
136192,14.384744644165039,180.0,-0.033206491211603864,0.287109375,660,-1.1920928955078125e-07,0.020707708,0.2,-5.6875127971172335,0.0003,17.772777557373047,33.7502616494894,,,,,
137216,13.49468994140625,180.0,,,,,,,,,,,,,,,
138240,15.37010669708252,180.0,-0.03255474744946696,0.264013671875,670,0.0,0.018479042,0.2,-5.676547826826573,0.0003,18.75271987915039,43.130038666725156,,,,,
139264,14.690303802490234,180.0,,,,,,,,,,,,,,,
140288,16.586299896240234,180.0,-0.030245206186373254,0.267529296875,680,0.0,0.02017082,0.2,-5.669545622169972,0.0003,13.64848518371582,38.929506516456605,,,,,
141312,15.610941886901855,180.0,,,,,,,,,,,,,,,
142336,15.098057746887207,180.0,-0.03441969445411815,0.297265625,690,-1.1920928955078125e-07,0.022710219,0.2,-5.673892660439014,0.0003,16.256874084472656,39.89089604616165,,,,,
143360,15.511061668395996,180.0,,,,,,,,,,,,,,,
143360,,,,,,,,,,,,,180.0,15.010176800000002,341,419,70
144384,13.959280967712402,180.0,-0.03492672677821247,0.298974609375,700,-1.1920928955078125e-07,0.022523887,0.2,-5.646879702806473,0.0003,11.470308303833008,39.009624254703525,,,,,
145408,14.295528411865234,180.0,,,,,,,,,,,,,,,
146432,16.52444076538086,180.0,-0.032084401149768384,0.282275390625,710,0.0,0.021474335,0.2,-5.652115942537785,0.0003,9.542221069335938,37.79832632541657,,,,,
147456,15.833894729614258,180.0,,,,,,,,,,,,,,,
148480,13.220340728759766,180.0,-0.036895398327033035,0.336572265625,720,0.0,0.02312858,0.2,-5.6631830483675,0.0003,32.20186233520508,42.72166112065315,,,,,
149504,14.034391403198242,180.0,,,,,,,,,,,,,,,
150528,14.823502540588379,180.0,-0.03172652336506872,0.28720703125,730,0.0,0.021327857,0.2,-5.6430591806769375,0.0003,19.686372756958008,42.06554573476315,,,,,
151552,14.682672500610352,180.0,,,,,,,,,,,,,,,
152576,14.664937973022461,180.0,-0.035628373584768266,0.329833984375,740,0.0,0.02405809,0.2,-5.647332493960858,0.0003,15.258038520812988,33.535810592770574,,,,,
153600,13.845114707946777,180.0,,,,,,,,,,,,,,,
154624,16.129304885864258,180.0,-0.03553511951467954,0.315185546875,750,0.0,0.022922145,0.2,-5.644013190269471,0.0003,29.719226837158203,44.61494700312615,,,,,
155648,16.892892837524414,180.0,,,,,,,,,,,,,,,
156672,15.506446838378906,180.0,-0.03714672735295608,0.3365234375,760,1.1920928955078125e-07,0.022718169,0.2,-5.639123931527138,0.0003,20.8751220703125,42.313165792822836,,,,,
157696,15.489341735839844,180.0,,,,,,,,,,,,,,,
158720,14.920442581176758,180.0,-0.034160907055775167,0.321240234375,770,0.0,0.022703795,0.2,-5.644687443971634,0.0003,21.767215728759766,37.35441792011261,,,,,
159744,14.46442699432373,180.0,,,,,,,,,,,,,,,
160768,13.016641616821289,180.0,-0.03169352044933475,0.296923828125,780,0.0,0.022252034,0.2,-5.613718691468239,0.0003,19.755590438842773,40.94677517712116,,,,,
161792,15.554874420166016,180.0,,,,,,,,,,,,,,,
162816,16.479690551757812,180.0,-0.035391842282842846,0.314404296875,790,-1.1920928955078125e-07,0.019896882,0.2,-5.607214000821114,0.0003,18.078330993652344,37.05940622091293,,,,,
163840,16.31939125061035,180.0,,,,,,,,,,,,,,,
163840,,,,,,,,,,,,,180.0,14.68794491,342,478,80
164864,14.948408126831055,180.0,-0.032849563687341286,0.303857421875,800,0.0,0.021986749,0.2,-5.601394097507,0.0003,17.738361358642578,42.653452694416046,,,,,
165888,15.477970123291016,180.0,,,,,,,,,,,,,,,
166912,13.569109916687012,180.0,-0.03134222594089806,0.295166015625,810,-2.384185791015625e-07,0.022060174,0.2,-5.586256603896618,0.0003,23.671329498291016,41.0310637652874,,,,,
167936,15.741111755371094,180.0,,,,,,,,,,,,,,,
168960,15.364028930664062,180.0,-0.029584668161260198,0.295458984375,820,0.0,0.021988215,0.2,-5.580870062112808,0.0003,18.14926528930664,48.126851457357404,,,,,
169984,14.231941223144531,180.0,,,,,,,,,,,,,,,
171008,16.41687774658203,180.0,-0.030541924180579372,0.291650390625,830,0.0,0.020944588,0.2,-5.590198406577111,0.0003,32.542057037353516,41.38088948428631,,,,,
172032,15.039623260498047,180.0,,,,,,,,,,,,,,,
173056,16.305749893188477,180.0,-0.03239681201957865,0.294482421875,840,0.0,0.021611866,0.2,-5.594384816288948,0.0003,17.099916458129883,40.88270340561867,,,,,
174080,15.375843048095703,180.0,,,,,,,,,,,,,,,
175104,15.668973922729492,180.0,-0.03113326469065214,0.271142578125,850,5.960464477539063e-08,0.019997183,0.2,-5.584324409067631,0.0003,16.720256805419922,46.392541819810866,,,,,
176128,14.995546340942383,180.0,,,,,,,,,,,,,,,
177152,15.485268592834473,180.0,-0.03516268919411232,0.300537109375,860,0.0,0.020627175,0.2,-5.5728638276457785,0.0003,29.411808013916016,38.701469293236734,,,,,
178176,15.478822708129883,180.0,,,,,,,,,,,,,,,
179200,14.83206558227539,180.0,-0.03469284087477718,0.33115234375,870,5.960464477539063e-08,0.022843467,0.2,-5.563865685462952,0.0003,30.792020797729492,45.97229192852974,,,,,
180224,15.125286102294922,180.0,,,,,,,,,,,,,,,
