eval/mean_ep_length,eval/mean_reward,time/total_timesteps,train/clip_fraction,train/clip_range,train/learning_rate,train/approx_kl,train/policy_gradient_loss,train/value_loss,train/loss,train/n_updates,train/entropy_loss,train/explained_variance,rollout/ep_rew_mean,time/fps,rollout/ep_len_mean,time/iterations,time/time_elapsed
40.0,71.15835571289062,365568,0.598681640625,0.2,0.0003,0.1319887,-0.04640411849541124,33.51773548126221,14.040482521057129,1780,-3.2935847654938697,0.0,,,,,
40.0,70.74764251708984,366592,,,,,,,,,,,,,,,
40.0,72.79412078857422,367616,0.64833984375,0.2,0.0003,0.13973549,-0.05767161206458695,37.33951550722122,26.588584899902344,1790,-3.3075507670640945,-1.1920928955078125e-07,,,,,
40.0,68.40982818603516,368640,,,,,,,,,,,,,,,
,,368640,,,,,,,,,,,77.08541261,374,40.0,180,983
40.0,67.0538101196289,369664,0.58115234375,0.2,0.0003,0.14552227,-0.05034103826037608,33.06471092104912,15.479279518127441,1800,-3.297400549054146,0.0,,,,,
40.0,69.81178283691406,370688,,,,,,,,,,,,,,,
40.0,73.73867797851562,371712,0.60166015625,0.2,0.0003,0.16213033,-0.05857409461168572,33.78706105351448,17.802946090698242,1810,-3.3000379882752897,0.0,,,,,
40.0,66.91488647460938,372736,,,,,,,,,,,,,,,
40.0,71.13932800292969,373760,0.60771484375,0.2,0.0003,0.1520637,-0.04093903124303324,27.90914343595505,11.472123146057129,1820,-3.301796332001686,5.960464477539063e-08,,,,,
40.0,66.59246826171875,374784,,,,,,,,,,,,,,,
40.0,69.62433624267578,375808,0.63515625,0.2,0.0003,0.18274817,-0.04851109533774434,32.704478120803834,18.463775634765625,1830,-3.3007534451782705,0.0,,,,,
40.0,69.46002197265625,376832,,,,,,,,,,,,,,,
40.0,69.601806640625,377856,0.638671875,0.2,0.0003,0.2086476,-0.05127207007317338,32.96080028414726,16.39226722717285,1840,-3.293435450643301,-1.1920928955078125e-07,,,,,
40.0,70.93302154541016,378880,,,,,,,,,,,,,,,
40.0,70.80513763427734,379904,0.60546875,0.2,0.0003,0.16299553,-0.046407252480275926,29.845797020196915,12.890254974365234,1850,-3.3221942722797393,0.0,,,,,
40.0,76.04480743408203,380928,,,,,,,,,,,,,,,
40.0,72.17726135253906,381952,0.6224609375,0.2,0.0003,0.17848553,-0.05353466602100525,34.137528377771375,20.963163375854492,1860,-3.332315856218338,1.1920928955078125e-07,,,,,
40.0,71.4827651977539,382976,,,,,,,,,,,,,,,
40.0,73.53944396972656,384000,0.657666015625,0.2,0.0003,0.16830745,-0.049057977522898,33.57843052744865,21.408100128173828,1870,-3.327143096923828,1.1920928955078125e-07,,,,,
40.0,74.17420959472656,385024,,,,,,,,,,,,,,,
40.0,68.57266998291016,386048,0.63701171875,0.2,0.0003,0.16934353,-0.05723673504689941,28.79326919913292,11.401589393615723,1880,-3.3065966568887233,-1.1920928955078125e-07,,,,,
40.0,70.53872680664062,387072,,,,,,,,,,,,,,,
40.0,75.16719055175781,388096,0.6294921875,0.2,0.0003,0.13081497,-0.03677502580540022,28.771943747997284,11.575628280639648,1890,-3.316727216541767,0.0,,,,,
40.0,71.78144836425781,389120,,,,,,,,,,,,,,,
,,389120,,,,,,,,,,,77.91173101999999,375,40.0,190,1036
40.0,70.89547729492188,390144,0.61806640625,0.2,0.0003,0.15175119,-0.05640142972697504,35.12720215916634,16.452791213989258,1900,-3.33941744863987,0.0,,,,,
40.0,74.01055908203125,391168,,,,,,,,,,,,,,,
40.0,76.14762878417969,392192,0.607373046875,0.2,0.0003,0.1370906,-0.05494981550436932,30.39256586432457,17.491622924804688,1910,-3.355602625757456,0.0,,,,,
40.0,70.53726196289062,393216,,,,,,,,,,,,,,,
40.0,72.01734924316406,394240,0.5966796875,0.2,0.0003,0.13166492,-0.05147702484973706,31.252149975299837,13.955768585205078,1920,-3.3664875976741313,0.0,,,,,
40.0,72.05963897705078,395264,,,,,,,,,,,,,,,
40.0,71.04875183105469,396288,0.603955078125,0.2,0.0003,0.11824793,-0.055801975689246316,32.25041325688362,18.6827392578125,1930,-3.3659751005470753,0.0,,,,,
40.0,74.20455932617188,397312,,,,,,,,,,,,,,,
40.0,68.78421020507812,398336,0.595166015625,0.2,0.0003,0.13184945,-0.05203784303739667,33.14477915763855,12.93249797821045,1940,-3.342076602578163,0.0,,,,,
40.0,71.25299072265625,399360,,,,,,,,,,,,,,,
40.0,70.69036865234375,400384,0.568603515625,0.2,0.0003,0.15614092,-0.051387845567660406,31.44256113767624,11.316579818725586,1950,-3.3507036328315736,0.0,,,,,
40.0,69.66578674316406,401408,,,,,,,,,,,,,,,
40.0,66.011962890625,402432,0.569482421875,0.2,0.0003,0.14216399,-0.05429507824301254,32.527273672819135,13.922085762023926,1960,-3.3347650825977326,1.1920928955078125e-07,,,,,
40.0,72.36536407470703,403456,,,,,,,,,,,,,,,
40.0,71.02325439453125,404480,0.54013671875,0.2,0.0003,0.13382712,-0.040638813874829795,26.717788171768188,9.926926612854004,1970,-3.3269121944904327,-1.1920928955078125e-07,,,,,
40.0,73.21565246582031,405504,,,,,,,,,,,,,,,
40.0,69.67221069335938,406528,0.591455078125,0.2,0.0003,0.17351818,-0.05110278284410015,33.345989269018176,14.471142768859863,1980,-3.2985332742333413,0.0,,,,,
40.0,72.76089477539062,407552,,,,,,,,,,,,,,,
40.0,69.13854217529297,408576,0.634033203125,0.2,0.0003,0.15483283,-0.04892852829070762,28.651445096731187,17.23379135131836,1990,-3.2798557452857495,0.0,,,,,
40.0,69.93304443359375,409600,,,,,,,,,,,,,,,
,,409600,,,,,,,,,,,76.8810277,375,40.0,200,1089
40.0,70.1291732788086,410624,0.591796875,0.2,0.0003,0.14494938,-0.04372792051290162,25.957098814845086,14.663545608520508,2000,-3.314682299643755,-1.1920928955078125e-07,,,,,
40.0,68.92342376708984,411648,,,,,,,,,,,,,,,
40.0,71.08889770507812,412672,0.62451171875,0.2,0.0003,0.19185123,-0.05876104939961806,32.520478057861325,11.272398948669434,2010,-3.310753574222326,0.0,,,,,
40.0,69.61943817138672,413696,,,,,,,,,,,,,,,
40.0,66.97438049316406,414720,0.6146484375,0.2,0.0003,0.16375151,-0.04826702365535311,32.761417815089224,15.816344261169434,2020,-3.298374607414007,-1.1920928955078125e-07,,,,,
40.0,70.58832550048828,415744,,,,,,,,,,,,,,,
40.0,74.85075378417969,416768,0.69130859375,0.2,0.0003,0.182973,-0.05500980872748187,34.24543116092682,20.253023147583008,2030,-3.295551471412182,-1.1920928955078125e-07,,,,,
40.0,67.46643829345703,417792,,,,,,,,,,,,,,,
40.0,69.79458618164062,418816,0.669482421875,0.2,0.0003,0.17880327,-0.05759492685465375,28.572605046629906,11.115753173828125,2040,-3.3101337149739267,5.960464477539063e-08,,,,,
40.0,70.9365234375,419840,,,,,,,,,,,,,,,
40.0,69.30072021484375,420864,0.642919921875,0.2,0.0003,0.15717727,-0.039685122869559566,33.68247883915901,10.904528617858887,2050,-3.289503553509712,0.0,,,,,
40.0,62.53691864013672,421888,,,,,,,,,,,,,,,
40.0,67.47978210449219,422912,0.68447265625,0.2,0.0003,0.18491217,-0.04847923497582087,28.94785795509815,14.144405364990234,2060,-3.278407471626997,0.0,,,,,
40.0,70.13954162597656,423936,,,,,,,,,,,,,,,
40.0,71.66552734375,424960,0.6978515625,0.2,0.0003,0.1666608,-0.047015510745404755,33.28415470719337,10.513810157775879,2070,-3.2883263029158116,-1.1920928955078125e-07,,,,,
40.0,69.21965026855469,425984,,,,,,,,,,,,,,,
40.0,68.83777618408203,427008,0.612890625,0.2,0.0003,0.13737333,-0.04499392410507426,29.312434631586076,13.383763313293457,2080,-3.328842919319868,0.0,,,,,
40.0,70.43224334716797,428032,,,,,,,,,,,,,,,
40.0,69.18406677246094,429056,0.62646484375,0.2,0.0003,0.16057694,-0.05072355618758593,33.86308053135872,19.525062561035156,2090,-3.298178593814373,0.0,,,,,
40.0,71.47782897949219,430080,,,,,,,,,,,,,,,
,,430080,,,,,,,,,,,78.80170507000001,376,40.0,210,1143
40.0,70.06076049804688,431104,0.6572265625,0.2,0.0003,0.16015688,-0.05302661848836578,32.342099368572235,21.572528839111328,2100,-3.310619670152664,0.0,,,,,
40.0,70.94680786132812,432128,,,,,,,,,,,,,,,
40.0,68.56761169433594,433152,0.637841796875,0.2,0.0003,0.16041109,-0.05517748845741153,29.280655372142792,14.24437141418457,2110,-3.3053650945425033,0.0,,,,,
40.0,70.95075988769531,434176,,,,,,,,,,,,,,,
40.0,70.69987487792969,435200,0.623291015625,0.2,0.0003,0.13215767,-0.04983130262116901,29.575797843933106,12.9566068649292,2120,-3.292934342473745,0.0,,,,,
40.0,70.14805603027344,436224,,,,,,,,,,,,,,,
40.0,69.10440826416016,437248,0.65546875,0.2,0.0003,0.13672403,-0.050005258398596195,34.10783029198647,16.36440658569336,2130,-3.256998612731695,-1.1920928955078125e-07,,,,,
40.0,71.41930389404297,438272,,,,,,,,,,,,,,,
40.0,69.255615234375,439296,0.66904296875,0.2,0.0003,0.15827222,-0.043649004626786336,34.07064437270164,17.035757064819336,2140,-3.267220963537693,1.1920928955078125e-07,,,,,
40.0,72.6304702758789,440320,,,,,,,,,,,,,,,
40.0,68.74137878417969,441344,0.64638671875,0.2,0.0003,0.15176453,-0.0491198644391261,31.9625912129879,15.263973236083984,2150,-3.2882487282156942,-1.1920928955078125e-07,,,,,
40.0,63.72763442993164,442368,,,,,,,,,,,,,,,
40.0,69.876953125,443392,0.674609375,0.2,0.0003,0.14749509,-0.049480245530139653,32.63625995516777,14.286338806152344,2160,-3.297656115144491,1.1920928955078125e-07,,,,,
40.0,67.5853042602539,444416,,,,,,,,,,,,,,,
40.0,71.21196746826172,445440,0.643701171875,0.2,0.0003,0.16265246,-0.05511400511022657,34.31794250011444,16.26407814025879,2170,-3.2809039361774923,1.1920928955078125e-07,,,,,
40.0,73.37413787841797,446464,,,,,,,,,,,,,,,
40.0,69.00827026367188,447488,0.638916015625,0.2,0.0003,0.14194277,-0.05427296100824606,28.856411778926848,14.461058616638184,2180,-3.277351685613394,0.0,,,,,
40.0,67.52818298339844,448512,,,,,,,,,,,,,,,
40.0,72.0930404663086,449536,0.619775390625,0.2,0.0003,0.14222679,-0.057573956099804494,30.11875668168068,14.216096878051758,2190,-3.2598408006131647,0.0,,,,,
40.0,72.13048553466797,450560,,,,,,,,,,,,,,,
,,450560,,,,,,,,,,,77.3957408,376,40.0,220,1196
40.0,71.46951293945312,451584,0.6154296875,0.2,0.0003,0.14667866,-0.050642394099850205,29.118855887651442,14.995147705078125,2200,-3.2640849970281125,5.960464477539063e-08,,,,,
40.0,68.81129455566406,452608,,,,,,,,,,,,,,,
40.0,67.9127426147461,453632,0.6646484375,0.2,0.0003,0.17573245,-0.05719431134057231,32.47579671144486,18.351985931396484,2210,-3.2533591337502004,0.0,,,,,
40.0,75.20049285888672,454656,,,,,,,,,,,,,,,
40.0,72.31979370117188,455680,0.62978515625,0.2,0.0003,0.15092316,-0.050528651860076934,32.23877255320549,10.79857349395752,2220,-3.26156162917614,0.0,,,,,
40.0,71.83222961425781,456704,,,,,,,,,,,,,,,
40.0,71.79388427734375,457728,0.5763671875,0.2,0.0003,0.1445528,-0.04794611229444854,30.033169007301332,21.258878707885742,2230,-3.262666068971157,0.0,,,,,
40.0,72.45622253417969,458752,,,,,,,,,,,,,,,
40.0,70.38076782226562,459776,0.621044921875,0.2,0.0003,0.15410852,-0.04634261028841138,33.300678545236586,17.41203498840332,2240,-3.283341673761606,0.0,,,,,
40.0,69.35281372070312,460800,,,,,,,,,,,,,,,
40.0,67.43180847167969,461824,0.59658203125,0.2,0.0003,0.1447223,-0.05756558995635715,38.793738406896594,15.959972381591797,2250,-3.2996065989136696,-1.1920928955078125e-07,,,,,
40.0,73.25752258300781,462848,,,,,,,,,,,,,,,
40.0,68.40803527832031,463872,0.600390625,0.2,0.0003,0.12921259,-0.05000907490903046,33.57792649865151,17.606966018676758,2260,-3.301519948989153,0.0,,,,,
40.0,70.21473693847656,464896,,,,,,,,,,,,,,,
40.0,68.8370361328125,465920,0.5826171875,0.2,0.0003,0.1440392,-0.050392195874883326,31.128937071561815,17.292802810668945,2270,-3.3044116273522377,0.0,,,,,
40.0,72.20169067382812,466944,,,,,,,,,,,,,,,
40.0,65.35087585449219,467968,0.608935546875,0.2,0.0003,0.14100844,-0.05031970024574548,31.00821772813797,15.804366111755371,2280,-3.294824919104576,-1.1920928955078125e-07,,,,,
40.0,68.04322814941406,468992,,,,,,,,,,,,,,,
40.0,69.75469970703125,470016,0.6634765625,0.2,0.0003,0.15858197,-0.05514074616366997,32.87492683529854,18.689626693725586,2290,-3.279822889715433,0.0,,,,,
40.0,72.64356231689453,471040,,,,,,,,,,,,,,,
,,471040,,,,,,,,,,,78.91587346,376,40.0,230,1250
40.0,70.74723052978516,472064,0.662158203125,0.2,0.0003,0.17862175,-0.058066035964293404,32.51486873626709,22.55632781982422,2300,-3.293921824544668,0.0,,,,,
40.0,71.34274291992188,473088,,,,,,,,,,,,,,,
40.0,71.17828369140625,474112,0.674462890625,0.2,0.0003,0.15077657,-0.05783354081795551,32.92387214899063,20.722095489501953,2310,-3.2886934354901314,0.0,,,,,
40.0,67.65970611572266,475136,,,,,,,,,,,,,,,
40.0,68.81719207763672,476160,0.6578125,0.2,0.0003,0.15531626,-0.04954403597657801,33.54166108369827,12.387253761291504,2320,-3.286584299057722,0.0,,,,,
40.0,70.55226135253906,477184,,,,,,,,,,,,,,,
40.0,69.87948608398438,478208,0.636376953125,0.2,0.0003,0.17055658,-0.04755915006971918,34.31907712221145,15.545016288757324,2330,-3.2764317117631436,0.0,,,,,
40.0,69.34416961669922,479232,,,,,,,,,,,,,,,
40.0,67.21342468261719,480256,0.632763671875,0.2,0.0003,0.17341688,-0.05585063808830455,31.20101021528244,11.059654235839844,2340,-3.2490238554775717,-1.1920928955078125e-07,,,,,
40.0,65.41162109375,481280,,,,,,,,,,,,,,,
40.0,66.41838073730469,482304,0.673974609375,0.2,0.0003,0.18508482,-0.05262425866676494,32.914643639326094,17.29018783569336,2350,-3.219470626860857,0.0,,,,,
40.0,70.55255889892578,483328,,,,,,,,,,,,,,,
40.0,68.9885482788086,484352,0.665869140625,0.2,0.0003,0.1567853,-0.04991287974116858,32.719442647695544,23.86966896057129,2360,-3.217157920449972,1.1920928955078125e-07,,,,,
40.0,63.49418640136719,485376,,,,,,,,,,,,,,,
40.0,67.89480590820312,486400,0.6044921875,0.2,0.0003,0.1684531,-0.05385180851444602,28.794473624229433,13.15527629852295,2370,-3.2198292195796965,0.0,,,,,
40.0,66.2205810546875,487424,,,,,,,,,,,,,,,
40.0,71.46021270751953,488448,0.643505859375,0.2,0.0003,0.18368958,-0.05104702270473353,34.66499127745628,14.308085441589355,2380,-3.222026990354061,0.0,,,,,
40.0,67.17462921142578,489472,,,,,,,,,,,,,,,
