time/total_timesteps,eval/mean_ep_length,eval/mean_reward,train/n_updates,train/policy_gradient_loss,train/approx_kl,train/loss,train/clip_fraction,train/explained_variance,train/clip_range,train/learning_rate,train/value_loss,train/entropy_loss,rollout/ep_rew_mean,time/fps,time/time_elapsed,time/iterations,rollout/ep_len_mean
49664,50.0,24.191959381103516,240,0.07786160944378935,0.13122803,37602.1171875,0.40517578125,-1.1920928955078125e-07,0.2,0.0003,81312.1720703125,-5.2649829417467116,,,,,
50176,50.0,19.701904296875,,,,,,,,,,,,,,,
50688,50.0,16.854034423828125,,,,,,,,,,,,,,,
51200,50.0,22.449764251708984,,,,,,,,,,,,,,,
51712,50.0,23.937856674194336,250,0.05644170666782884,0.12832355,39282.25,0.4072265625,0.0,0.2,0.0003,80368.62507324219,-5.2653080686926845,,,,,
52224,50.0,17.54659080505371,,,,,,,,,,,,,,,
52736,50.0,18.675018310546875,,,,,,,,,,,,,,,
53248,50.0,18.11496353149414,,,,,,,,,,,,,,,
53760,50.0,25.626731872558594,260,0.0690824015706312,0.13325837,35116.5546875,0.440185546875,0.0,0.2,0.0003,82486.78034667969,-5.262097916007042,,,,,
54272,50.0,15.10428237915039,,,,,,,,,,,,,,,
54784,50.0,32.23735427856445,,,,,,,,,,,,,,,
55296,50.0,23.177385330200195,,,,,,,,,,,,,,,
55808,50.0,23.73451042175293,270,0.06742378843773622,0.13064098,44661.21484375,0.44873046875,0.0,0.2,0.0003,88797.61833496093,-5.262138622999191,,,,,
