time/fps,time/iterations,rollout/ep_len_mean,rollout/ep_rew_mean,time/time_elapsed,time/total_timesteps,train/approx_kl,train/value_loss,train/n_updates,train/std,train/entropy_loss,train/policy_gradient_loss,train/clip_fraction,train/explained_variance,train/clip_range,train/learning_rate,train/loss,eval/mean_reward,eval/mean_ep_length
113,14,1200.0,4297.436344869567,253,28672,0.041733146,1834.1473896026612,130,1.0028128623962402,-284.3373727798462,-0.027781435023644007,0.443994140625,0.0,0.2,0.0003,763.84033203125,,
,,,,,30000,0.039534826,1764.9994079589844,140,1.002802848815918,-284.28642349243165,-0.032193957350682464,0.40732421875,0.0,0.2,0.0003,716.8046264648438,4469.099339962006,1200.0
58,15,1200.0,4298.2055288,521,30720,,,,,,,,,,,,,
61,16,1200.0,4298.182511518518,534,32768,0.038146764,1660.9388446807861,150,1.0031260251998901,-284.30761098861694,-0.030307157121569617,0.40908203125,-1.1920928955078125e-07,0.2,0.0003,718.113037109375,,
63,17,1200.0,4299.630056931034,547,34816,0.038702864,1570.6799140930175,160,1.0029395818710327,-284.3113257408142,-0.033707844179298264,0.42373046875,0.0,0.2,0.0003,660.9531860351562,,
,,,,,36000,0.036884885,1512.6531555175782,170,1.0038403272628784,-284.38260040283205,-0.03131002004665788,0.3970703125,1.1920928955078125e-07,0.2,0.0003,626.4783325195312,4376.99187040329,1200.0
62,18,1200.0,4300.182584,588,36864,,,,,,,,,,,,,
64,19,1200.0,4300.52459871875,602,38912,0.03871735,1444.6190502166749,180,1.0037380456924438,-284.45480251312256,-0.02966302742715925,0.392578125,0.0,0.2,0.0003,612.8545532226562,,
66,20,1200.0,4301.40107582353,615,40960,0.034219515,1339.5607788085938,190,1.0040745735168457,-284.4994086265564,-0.035340727894799785,0.3837890625,0.0,0.2,0.0003,548.4110107421875,,
,,,,,42000,0.039318826,1273.8578060150146,200,1.0039576292037964,-284.46380920410155,-0.032274244526342956,0.40107421875,0.0,0.2,0.0003,526.0184936523438,4416.564464569092,1200.0
67,21,1200.0,4301.077605657143,636,43008,,,,,,,,,,,,,
69,22,1200.0,4302.01112272973,649,45056,0.035809815,1204.7887104034423,210,1.0032294988632202,-284.38823184967043,-0.03350104606652167,0.3921875,5.960464477539063e-08,0.2,0.0003,520.0716552734375,,
71,23,1200.0,4302.820823410257,662,47104,0.03469567,1136.1309522628785,220,1.0037795305252075,-284.3694924354553,-0.03633606269140728,0.391552734375,0.0,0.2,0.0003,459.0192565917969,,
,,,,,48000,0.03409896,1064.7953243255615,230,1.003406047821045,-284.40160570144656,-0.033003622831893155,0.3828125,0.0,0.2,0.0003,424.01483154296875,5046.846075773239,1200.0
71,24,1200.0,4302.613801875001,682,49152,,,,,,,,,,,,,
73,25,1200.0,4303.457155095238,696,51200,0.03358997,1004.9061351776123,240,1.0032850503921509,-284.30915250778196,-0.033393208714551294,0.37421875,0.0,0.2,0.0003,406.7352294921875,,
74,26,1200.0,4303.342483454545,710,53248,0.037494037,941.6421070098877,250,1.003210425376892,-284.29165744781494,-0.03534176015964476,0.383740234375,0.0,0.2,0.0003,385.2290954589844,,
,,,,,54000,0.039093178,855.4310653686523,260,1.0034570693969727,-284.3241166114807,-0.03614299413893605,0.379150390625,0.0,0.2,0.0003,350.7115783691406,5181.823843240738,1200.0
75,27,1200.0,4303.618086760869,730,55296,,,,,,,,,,,,,
77,28,1200.0,4303.727681127659,744,57344,0.03743192,807.9496768951416,270,1.003442406654358,-284.3287085533142,-0.02834116429439746,0.42021484375,5.960464477539063e-08,0.2,0.0003,324.9842529296875,,
