eval/mean_ep_length,time/total_timesteps,eval/mean_reward,train/n_updates,train/loss,train/explained_variance,train/clip_range,train/clip_fraction,train/learning_rate,train/policy_gradient_loss,train/entropy_loss,train/value_loss,train/approx_kl,rollout/ep_rew_mean,time/fps,time/time_elapsed,rollout/ep_len_mean,time/iterations
180.0,140288,30.359472274780273,680,9.045093536376953,-1.1920928955078125e-07,0.2,0.189697265625,0.0003,-0.018119216564809904,-3.6662572540342806,16.24940352141857,0.016850384,,,,,
180.0,141312,31.85839080810547,,,,,,,,,,,,,,,
180.0,142336,33.85813903808594,690,4.117500305175781,0.0,0.2,0.163330078125,0.0003,-0.01454001813690411,-3.6749399729073047,17.240970996022224,0.014685214,,,,,
180.0,143360,33.894004821777344,,,,,,,,,,,,,,,
,143360,,,,,,,,,,,,31.023746759999995,256,559,180.0,70
180.0,144384,32.54571533203125,700,8.771256446838379,0.0,0.2,0.227392578125,0.0003,-0.020123637780488934,-3.670630468428135,14.126077428460121,0.018310592,,,,,
180.0,145408,30.521408081054688,,,,,,,,,,,,,,,
180.0,146432,35.297142028808594,710,9.747834205627441,0.0,0.2,0.283544921875,0.0003,-0.02586700862593716,-3.594528119266033,16.55447729676962,0.02030873,,,,,
180.0,147456,33.27360153198242,,,,,,,,,,,,,,,
180.0,148480,31.34667205810547,720,4.326887130737305,0.0,0.2,0.198681640625,0.0003,-0.018902771960711107,-3.650344417989254,13.948081043362617,0.017855361,,,,,
180.0,149504,34.44181442260742,,,,,,,,,,,,,,,
180.0,150528,32.846473693847656,730,4.302567481994629,0.0,0.2,0.18095703125,0.0003,-0.015386138242320158,-3.621337453275919,14.683690159022808,0.017398622,,,,,
180.0,151552,34.66161346435547,,,,,,,,,,,,,,,
180.0,152576,32.58723449707031,740,9.287117004394531,0.0,0.2,0.18330078125,0.0003,-0.01615802182495827,-3.701066019386053,15.488113576173783,0.01594812,,,,,
180.0,153600,32.80884552001953,,,,,,,,,,,,,,,
180.0,154624,34.776859283447266,750,7.799651145935059,0.0,0.2,0.207861328125,0.0003,-0.020603554663830438,-3.6845797739923,19.348826804757117,0.018006701,,,,,
180.0,155648,33.06648254394531,,,,,,,,,,,,,,,
180.0,156672,34.92988586425781,760,11.349908828735352,1.1920928955078125e-07,0.2,0.213037109375,0.0003,-0.018452198021259393,-3.6164188012480736,18.387672263383866,0.014543056,,,,,
180.0,157696,33.555381774902344,,,,,,,,,,,,,,,
180.0,158720,36.02827072143555,770,11.24554443359375,0.0,0.2,0.26591796875,0.0003,-0.02199111132649705,-3.516056038439274,16.16629591137171,0.020878222,,,,,
180.0,159744,36.302982330322266,,,,,,,,,,,,,,,
180.0,160768,35.73484802246094,780,12.832988739013672,0.0,0.2,0.210498046875,0.0003,-0.016060903389006852,-3.401017393171787,18.700941437482832,0.018877003,,,,,
180.0,161792,36.822505950927734,,,,,,,,,,,,,,,
180.0,162816,37.553062438964844,790,4.579716205596924,0.0,0.2,0.172802734375,0.0003,-0.017122162666055374,-3.4630953803658486,16.10386131107807,0.017200153,,,,,
