eval/mean_ep_length,time/total_timesteps,eval/mean_reward,train/clip_fraction,train/loss,train/policy_gradient_loss,train/entropy_loss,train/explained_variance,train/approx_kl,train/n_updates,train/learning_rate,train/clip_range,train/value_loss,rollout/ep_len_mean,time/time_elapsed,rollout/ep_rew_mean,time/fps,time/iterations
50.0,327904,32.60271453857422,0.05869140625,25648.166015625,-0.005149625238846056,-2.3039063990116118,0.0,0.014408277,1600,0.0003,0.2,54271.08354492187,,,,,
50.0,328404,31.66425323486328,,,,,,,,,,,,,,,
50.0,328904,32.1859245300293,,,,,,,,,,,,,,,
50.0,329404,32.04682922363281,,,,,,,,,,,,,,,
50.0,329904,31.344064712524414,0.075634765625,22133.490234375,-0.006757381118950434,-2.3038393653929234,0.0,0.014041303,1610,0.0003,0.2,50950.34470214844,,,,,
50.0,330404,32.39817810058594,,,,,,,,,,,,,,,
50.0,330904,33.688995361328125,,,,,,,,,,,,,,,
50.0,331404,30.839035034179688,,,,,,,,,,,,,,,
50.0,331904,31.571210861206055,0.079638671875,24885.033203125,-0.007619999602320604,-2.301824761927128,5.960464477539063e-08,0.015120527,1620,0.0003,0.2,51125.58912353516,,,,,
50.0,332404,31.55276870727539,,,,,,,,,,,,,,,
50.0,332904,31.025901794433594,,,,,,,,,,,,,,,
50.0,333404,32.550758361816406,,,,,,,,,,,,,,,
,333824,,,,,,,,,,,,50.0,862,1309.56009017,94,40
50.0,333904,31.93429946899414,0.1021484375,22974.80078125,-0.009314892123802565,-2.3070913299918177,-1.1920928955078125e-07,0.017003257,1630,0.0003,0.2,53597.31431884765,,,,,
50.0,334404,32.291297912597656,,,,,,,,,,,,,,,
50.0,334904,32.82730484008789,,,,,,,,,,,,,,,
50.0,335404,33.14573669433594,,,,,,,,,,,,,,,
50.0,335904,31.168041229248047,0.0849609375,26286.443359375,-0.006792452931404114,-2.308074466884136,-1.1920928955078125e-07,0.01608492,1640,0.0003,0.2,50757.79466552734,,,,,
50.0,336404,32.69860076904297,,,,,,,,,,,,,,,
50.0,336904,31.76112174987793,,,,,,,,,,,,,,,
50.0,337404,32.649776458740234,,,,,,,,,,,,,,,
50.0,337904,30.368528366088867,,,,,,,,,,,,,,,
